id,pali_1,root_base
8131,apajaha,√hā + hā + a > jaha
10654,assasitvā,√sas + a > sasa
12701,āvisati 1,√vis + a > visa
62588,upakappati,√kapp + a > kappa
62284,upabhuñjaka 1,√bhuj + ṃa > bhuñja
16520,cetayita,√cit + *aya > cetaya
19157,dharamāna,√dhar + a > dhara
39336,pabāḷha 1,√vah + *e > vāhe (caus)
14300,bhavissaṃ 2,√bhū + a > bhava
53490,sañjagghati,√jaggh + a > jaggha
67554,vinivijjhana,√vidh + ya > vijjha
68810,vivajjati,√vajj + a > vajja
