id,pali_1,source_1
3635,akaṃsu 1,MN 81
3693,akāraka,NIDD1 2
3718,akārita,MN 65
3719,akāritapubba,MN 65
3597,akālapuppha,DN 16.27
3871,akiccha,AN 7.67
2727,aggadhammasamāhita,AN 5.32
2725,aggadhamma 1,AN 5.32
2881,aghamūla,NIDD1 2
5904,aṅgulimāla,MN 86
1411,acc,DN 16.36
1524,acchati 2,TH 257
1545,acchindanta,NIDD1 2
3344,ajjatā,SNPa 1.4
3339,ajjadagge,SNPa 1.4
3356,ajjh,MN 51
3357,ajjha,SNP 13
3541,ajjhūpagata,AN 10.48
3491,ajjhogāḷha,SNPa
6162,añjanamakkhita,TH 251
6166,añjanī 1,TH 251
6245,aññamaññassa,SN 48.42
6240,aññamaññābhigijjhanti,SN 1.28
6272,aññārādhanā,MN 70
11711,aṭṭhatiṃsati,Sri Lanka
11641,aṭṭhapadakata,TH 251
11738,aṭṭhavīsati,Sri Lanka
11786,aṭṭhimiñjā,DN 22.5
11748,aṭṭhena,SNa 35.228
5929,aṇha,SN 12.63
10809,atandī,Trad
10803,atāṇa,NIDD1 2
11247,atiuṇhaṃ,DN 31.11
11111,atipāto,DN 31.11
11066,atimatta,Trad
11192,atisītaṃ,DN 31.11
11215,atītasatthuka 2,DN 16.21
11211,atītānāgate,SN 42.11
11415,attanudiṭṭhi,SNP 70
11448,attasammāpaṇidhi,SNP 16
11564,atthaladdha,AN 3.156
70963,attha 4.2,MN 19
11758,atthibhāva,SNa 35.70
10880,athaddha,SN 7.15
1778,addakkhu,AN 4.49
1854,addhaniya,DN 16.21
1846,addhānaṃ āpādeti,SN 35.127
2105,adhikuṭṭana,NIDD1 1
2043,adhigameyya,Trad
2010,adhiccāpattika,MN 65
2221,adhiṭṭhahati 2,AN 7.61
2231,adhiṭṭhānapāramī,Sri Lanka
2226,adhiṭṭhāna 3,Sri Lanka
2185,adhipati 2,DS 1
1998,adhibandha,MN 129
2128,adhimuccanta,NIDD1 2
2132,adhimucchita,TH 257
2286,adhivattati 1,AN 4.31
2351,adhuva,NIDD1 2
5539,anattani,AN 4.49
5571,anatthasañhita,SN 56.11
5263,anantara 2,DSa
5386,anāpattibahula,MN 65
5379,anāpanna,AN 4.244
6026,anikīḷitāvī,SN 35.127
6844,anudahana,NIDD1 1
6889,anudhāvita,TH 257
7157,anupādāniya,Abhi Dhs 1
7412,anuppadinna,KHP 7
7408,anuppādenta,SNa 35.228
6779,anubodhaka,Thai
6803,anubyañjanaso 2,SN 35.235
6804,anubyañjanassādagathita,SN 35.235
7086,anumodanā 1,Thai
7486,anurakkhamāna,DN-a 1.2
7640,anusikkhati 2,MIL 2.3.11
7647,anusocati,SN 1.10
7699,anussāviyamāna,VIN PAT NID
6425,anokamāgamma,DHP 087
6403,anodhi 2,AN 6.104
6492,antagaṇṭhi,VIN 4.8.206
6593,antarāyeva,AN 4.45
6197,annā,MN 107
7957,anventa,TH 257
8172,apakassa 2,SN 16.3
8038,apaciyati,DN 16.27
8131,apajaha,AN 5.58
8318,apaññatta 1,AN 7.23
8618,apaṭisevanta,MN 2.4
8306,apaṇṇakaṃ,TH 251
8631,apattamānasa,MN 107
73079,apatta 2,MN 107
8702,apayanta,Trad
8447,aparihāniya,AN 7.23
8669,apāṭuka,TH 257
8047,apādaka 2,AN 4.67
8348,apāra 2,DHP 385
9247,aputhujjanasevita,DHP 272
8749,apetaviññāṇa,DHP 041
9065,appaṭikūlasaññī,MN 152
9042,appaṭigha 1,DS 1
9156,appāya,AN 8.54
61,abbahe,SNP 22
1320,abyositatta,TH 251
537,abhikkantadassāvī,SNP 70
505,abhijjhitar,AN 10.176
1091,abhitthavati,SN 8.11
1096,abhitthuti,Thai
378,abhidhāna 3,Trad
685,abhinikkhamana,Sri Lanka
712,abhinimmita,Trad
825,abhipīḷita,Thai
850,abhipūjaneyyaka,Thai
851,abhipūjayati,Thai
1192,abhiyujjhita,Trad
1007,abhisaṅkharaṇa,MIL 2.3.11
1234,abhyati,Thai
4655,amatadhātu,MN 64
4629,amara 2,NIDD2 2.8
4761,ambilagga,SN 47.8
12862,ayamahamasmi,SN 22.47
12855,ayaṃ tattha samayo,VIN PAT NP 6
13007,ayosalākā,SN 35.235
9475,araṇī,MN 36
9769,arūpāvacara,VIBH 6.1
4339,alattaka,TH 251
4340,alattakakata,TH 251
4416,alippamāna,AN 5.196
4365,aleṇa,NIDD1 2
10132,asaṅkiliṭṭha,DS 1
10143,asaṅkuppa,MN 131
10144,asaññā,Abhi Vibh 6.1
10184,asantaṃ,MN 10.11
10178,asanta 1.2,SN 1.32
9950,asamapekkhita,SNa 35.228
9981,asaṃkilesika,Abhi Dhs 1
9976,asaṃhira,MN 131
10760,asukha,MN 10.9
10739,asuci 4,VIN 1.2.1
10734,asubhataddasa,AN 4.49
10352,asekkha 1,DS 1
10368,asesita,JA 351
10609,assapuṭa 1,AN 4.244
10610,assapuṭa 2,AN 4.244
10682,assayuja 1,Sri Lanka
10654,assasitvā,AN 8.73
70961,assasissati,MN 118
12126,avaṅkata,SN 12.22
11901,avacara 2,VIBH 6.1
11911,avacchidda,AN 9.11
12322,avatthāsi,VIN 1.1.3
73785,avatthukata,MN 140
