id,pali_1,sutta_1
39982,pacīyati,mālukyaputtasuttaṃ
39784,pacchābāhaṃ,āpattibhayasuttaṃ
39798,pacchāliyaṃ khipati,licchavikumārakasuttaṃ
40491,pajaheyyātha,kesamuttisuttaṃ (kalamasuttaṃ)
40530,pajīvanta,pārāpariya-thera-gāthā
41407,pañcatiṃsati,buddha-vassa-sajjhāyanā
41408,pañcatiṃsatima,buddha-vassa-sajjhāyanā
41268,pañcadasa,buddha-vassa-sajjhāyanā
41262,pañcabhi,jāgarasuttaṃ
41326,pañcamahāpariccāgā,buddha-vassa-sajjhāyanā
41433,pañcavīsati,buddha-vassa-sajjhāyanā
41729,paññapeti 3,cūḷagosiṅgasuttaṃ
41704,paññāpanāya,sattaṭṭhānasuttaṃ
41705,paññāpāramī,buddha-vassa-sajjhāyanā
41843,paññāya mattaso,kīṭāgirisuttaṃ
44893,paṭikata,samacittavaggo
45091,paṭinivatti,guttilavimānavaṇṇanā
44988,paṭilābhato,saḷāyatana-vibhaṅgasuttaṃ
45336,paṭisandhi 3,buddha-vassa-sajjhāyanā
45261,paṭisallānārāmatthaṃ,sabbāsavasuttaṃ
45318,paṭisaṃvidita 3,upavāṇasandiṭṭhikasuttaṃ vaṇṇanā
45424,paṭissatimattāya,kāyānupassanā
44791,paṭihaṅkhāmi,cattaro parikkhāra
44490,paṭhavī,cittavaggo
41198,paṇāmenta,tiracchānagata vatthu
41569,paṇīdhi,pubbaṇhasuttaṃ
41457,paṇḍaka 2,saṅghuposatha pubbakaraṇādi vidhi
41754,paṇṇarasama,buddha-vassa-sajjhāyanā
44951,patikoṭeti,dvedhāvitakkasuttaṃ
45503,patiṭṭhiyati,duṭṭhaṭṭhakasuttaniddeso
45679,pattakamma,pattakammasuttaṃ
45701,pattapiṇḍika,dhutaṅgapañho
45702,pattapiṇḍikaṅga,dhutaṅgapañho
40047,padāla,nama-kāra-siddhi-gāthā
40211,paditta 1,piṇḍolyasuttaṃ
40276,paduṭṭha 2,cundasuttaṃ
71056,panidaṃ,dhammacakkappavattanasuttaṃ
41566,panidhekacca,sunakkhattasuttaṃ
71059,panūdati,tāyanasuttaṃ
39336,pabāḷha 1,piṇḍolyasuttaṃ
46171,payirupāsanta,kīṭāgirisuttaṃ
42230,paramasacca,kīṭāgirisuttaṃ
42312,parānudayatā,hemaka māṇava pucchā niddeso
42313,parānudayatāpaṭisaṃyutta,hemaka māṇava pucchā niddeso
42236,parāmasati 2,brahmajālasuttaṃ
42869,parikittana,salutation to the triple gem
42879,parikkhā,nagaropamasuttaṃ
42596,pariccajitvā,pārāpariyattheragāthā
42808,parijjhāyanā,paṭicca samuppāda
42666,paridhāya,āpattibhayasuttaṃ
43070,pariniṭṭhita,dhammayuttika-pubbakicca
43045,parinibbānika,salutation to the triple gem
43033,parinetvā,āpattibhayasuttaṃ
43146,paripatitvā,"tatiyapārājikaṃ, vinītavatthu"
42428,paribāhira,pārāpariyattheragāthā
42468,paribhañjana,kāmasuttaniddeso
42944,parimaddana 2,methunasuttaṃ
