id,pali_1,sutta_2
3570,akaccha,kathāvatthusuttaṃ
3774,akata 1,sotasuttaṃ
3776,akata 3,nirayavaggo
3645,akaniṭṭha 1,paṭhama samuddasuttaṃ vaṇṇanā
3700,akaraṇīya 1,nagaropamasuttaṃ
3599,akālavādī,cundasuttaṃ
3768,akāsiṃ 1,āpattibhayasuttaṃ
3769,akāsiṃ 2,dvedhāvitakkasuttaṃ
3765,akāsi 1,tirokuṭṭasuttaṃ
3871,akiccha,pārāpariya-thera-gāthā
3919,akiriya,niruttipathasuttaṃ
4102,akubbato,pāpavaggo
4163,akusalavitakka,piṇḍolyasuttaṃ
3962,akkhadhutta 1,bālapaṇḍitasuttaṃ
3980,akkhāna 1,dhammayuttika-pubbakicca
3848,akhārika,sūdasuttaṃ
2670,agāriya,soṇasuttaṃ
2912,agiddha,pārāpariyattheragāthā
2781,aggappatta,cundīsuttaṃ
5885,aṅgika,buddhavaggo
1324,acala,nagaropamasuttaṃ
1653,acira,samiddhisuttaṃ
1411,acc,gaṇakamoggallānasuttaṃ
1415,accagamā 1,sīhanādasuttaṃ
1447,accatari,paṭhama samuddasuttaṃ
1464,accayena 2,mahāparinibbānasuttaṃ
1467,accayo accagamā,dhātuvibhaṅgasuttaṃ
1524,acchati 2,duṭṭhadosa sikkhāpada
6159,añjana 2,raṭṭhapālattheragāthā
6245,aññamaññassa,karaṇīya mettasuttaṃ
6200,añña 2,brahmanimantanikasuttaṃ
6318,aññātāvindriya,abhidhammabhājanīyaṃ
6317,aññātāvī 2.1,abhidhammabhājanīyaṃ
6358,aññātuṃ,sammādiṭṭhisuttaṃ
6278,aññāsikoṇḍañña,dhammacakkappavattanasuttaṃ
6390,aññindriya,abhidhammabhājanīyaṃ
11308,aṭṭa 1.1,piṇḍolyasuttaṃ
11844,aṭṭīyati,sukhumālasuttaṃ
11748,aṭṭhena,kāmasuttaniddeso
1831,aḍḍhamāsa 2,vassikasāṭika sikkhāpada
10849,atari,paṭhama samuddasuttaṃ
10907,ati,karaṇīya mettasuttaṃ
11032,atikkanta 2,dhammayuttika-pubbakicca
11026,atikkamitvā 1,bāhiyasuttaṃ vaṇṇanā
11029,atikkamma 1,kīṭāgirisuttaṃ
11098,atipāta,mahāsatipaṭṭhānasuttaṃ
11109,atipātī 1,asibandhakaputtasuttaṃ
11114,atippago,aggisuttaṃ
70962,atireka 2,dhammayuttika-pubbakicca
11371,attakilamatha,dhammacakkappavattanasuttaṃ
11372,attakilamathānuyoga,dhammacakkappavattanasuttaṃ
11398,attanāva attano,piyasuttaṃ
11397,attanāva attānaṃ,sabbāsavasuttaṃ
11402,attani 2,alagaddūpamasuttaṃ
11436,attapaṭilābha,"poṭṭhapādasuttaṃ, tayo attapaṭilābhā"
11463,attavāda,vibhaṅgasuttaṃ
11396,attānaṃyeva,sukhumālasuttaṃ
11617,atthaṅgata 2,yamakasuttaṃ
11505,atthadassī,khaggavisāṇasuttaṃ <br/>uragavaggo
11507,atthaddhiya,sallekhasuttaṃ
11728,atthavasika,piṇḍolyasuttaṃ
11565,atthaṃ,dutiyadasabalasuttaṃ
1746,adassī,māgaṇḍiyasuttaṃ<br/>aṭṭhakavaggo 9
2502,adukkha,mahāsatipaṭṭhānasuttaṃ
2504,adukkhamasukha 1,mahāsatipaṭṭhānasuttaṃ
1768,adda 1.1,daṭṭhabbasuttaṃ
1792,addha 2.2,mahāparinibbānasuttaṃ
1840,addhāna 1,caṅkamasuttaṃ
1841,addhāna 2,khajjanīyasuttaṃ
1956,adhammavādī,cundasuttaṃ
2083,adhikaraṇaṃ 1,gaṇakamoggallānasuttaṃ
2219,adhiṭṭhahanta,guhaṭṭhakasuttaniddeso
2160,adhipaññā,tatiyasikkhāsuttaṃ
2278,adhivāseti 2,parihānadhammasuttaṃ
1995,adhi 1,karaṇīya mettasuttaṃ
2337,adhunā,sappurisasuttaṃ
2315,adhogāmī 1,paṭhama mahānāmasuttaṃ
5247,anaññāta,abhidhammabhājanīyaṃ
