id,pali_1,source_2
12123,avañjha,SN 12.22
12281,avatiṭṭhati,DN 13.8
12315,avatthāraka,VIN 5.4.7
12238,avasitta,MN 35
12245,avassaṃ,DHPa 2.13.7
12454,avigata,Abhi-A Dh.s
12608,avinayavādī,AN 10.176
12653,avipariṇāma,SN 22.96
12771,avūpakaṭṭha,MN 36
12773,avūpasanta,AN 1.11-20
3141,aho 2,DN 3.13
4881,aṃsa 1.1,SN 47.12
4883,aṃsa 2.1,UD 45
1,ā,DN 22.18
2550,āgacchati 1,AN 7.23
70939,āgaccheyya,AN 7.23
1405,ācaya 1,SN 12.61
1624,ācikkhana,PAT PK
3243,ājañña,DHP 193
10816,ātapa 1,MN 2.4
1686,āda,AN 5.57
2451,ādittasīsa,AN 8.74
2389,ādīnava 1,TH 251
2495,ādu,DhA
1916,ādeti 1,SNP 7
1966,ādhāna 2,MN 65
2177,ādhipateyya,AN 10.58
5364,ānāpāna 1,MN 118
6750,ānubhāva 1,Trad
6751,ānubhāva 2,SN 1.41
8646,āpatti 1,SN 25.1
8301,āpanna 2,DN 14.11
8303,āpanna 4,VIN PAT PC 73
8071,āpādeti 1,SN 35.127
4601,āmantayati 1,DN 19.7
4800,āmisa 4,NIDD1 2
12924,āyatana 3,MN 137
12857,āyāma 1.1,SN 35.87
9381,ārakā 1,MN 36
9512,āraññikaṅga,NIDD1.3
9433,ārambha 1.1,AN 8.53
9457,ārammaṇa 5,SNa 35.70
9295,ārādhanā 1,Sri Lanka
9428,ārāmatā,AN 8.79
9661,ārogyamada,AN 5.57
9705,āropita 1,Thai
9670,āroha 1,MN 51
4459,ālokasaññā,AN 7.61
9909,āsāḷhā,Trad
11983,āvahati 1,TH 195
12569,āvikaroti 2,SNP 5
12397,āvesana 1,MN 81
3066,āhata 1.1,Thai
3014,āharati 2.1,VIN PAT PC 40
24500,icc,Thai
25046,iṭṭha 2,SNa 35.228
24760,iṇaṭṭa,SN 22.80
24959,itara 1,TH 257
25034,ittara 1,NIDD1 1
25061,itthaṃ,VIN PAT NP 8
25044,ittha 2,SN 35.93
25095,itthikathā,DN 2.14
25092,itthikā,SN 20.3
24558,ida,DN 9.3
24587,idappaccayā,AN 10.61
24562,idaṃ tasmiṃ,VIN PAT PC 73
24666,idhūpapanno,AN 5.23
24764,inda 1,Trad
24720,imasmiṃ 2,AN 10.92
24743,imināpetaṃ,SN 35.232
24734,imesaṃ 1,MN 51
24847,iriyā 1,TH 257
24898,isipatana,SN 22.59
24672,iha,SN 12.22
