source	abbreviation	meaning	category	notes
cpd	Nett-(a-)mhṭ	Peṭakâlamkāra.	text	a. Texts.; ref=2.7.2,13
cpd	Nett-(a-)pṭ	Nettipakaraṇa-aṭṭhakathāya līnatthavaṇṇanā,; B; e; .	text	a. Texts.; ref=2.7.2,11
cpd	Nett-(a-)ṭ	Nettivibhāvanī,; B; e; .	text	a. Texts.; ref=2.7.2,12
cpd	Nett-a	Nettipakaraṇa-aṭṭhakathā,; C; e; : page; (1—233); and line.	text	a. Texts.; ref=2.7.2,1
cpd	Nidd I	Mahāniddesa,; E; e; : page; (1—510); and line.	text	a. Texts.; ref=2.5.111
cpd	Nidd II	Cullaniddesa,; E; e; : page; (75—287); and line.	text	a. Texts.; ref=2.5.112
cpd	Nidd-a I	Mahāniddesa-aṭṭhakathā,; E; e; : page; (1—471); and line.	text	a. Texts.; ref=2.5.111,1
cpd	Nidd-a II	Cullaniddesa-aṭṭhakathā,; C; e; : page; (1—109); and line, since; 1940,; E; e; : page; (1—152); and line.	text	a. Texts.; ref=2.5.112,1
cpd	Nikāya-s	Nikāya-saṅgrahava,; C; e; : page; (1—32); and line.	text	a. Texts.; ref=4.3.(2)
cpd	Nir	Nirutti-(Nir-p, Nir-m, C-nir).	text	a. Texts.; ref=5.0.1. . . 4
cpd	Nāmac	Nāmacāradīpaka.	text	a. Texts.; ref=3.8.9
cpd	Nāmar-p	Nāmarūpapariccheda,; E; e; : verse; (1—1855).	text	a. Texts.; ref=3.8.3
cpd	Nāmar-s	Nāmarūpasamāsa (Khemapakaraṇa),; E; e; : page; (3—19); and line.	text	a. Texts.; ref=3.8.8
cpd	Pajj	Pajjamadhu,; E; e; : verse; (1—104).	text	a. Texts.; ref=4.5.4
cpd	Pajj-sn	sannaya; on prec, C; e; .	text	a. Texts.; ref=4.5.4,(1)
cpd	Parit	Paritta (Pirit-pota):; section and verse; see below; 93*—95*.	text	a. Texts.; ref=2.9.1
cpd	Pay	Payogasiddhi, Fausbøll's; transcript; sūtra-numbers of; Mogg.	text	a. Texts.; ref=5.3,5
cpd	Pañca-g	Pañcagatidīpanī,; E; e; (1):; verse (1; —114).	text	a. Texts.; ref=2.9.12
cpd	Paṭis	Paṭisambhidāmagga,; E; e; : vol.; (I—II),; page and line.	text	a. Texts.; ref=2.5.12
cpd	Paṭis-a	Saddhammapakāsinĩ,; E; e; : page; (1—704); and line.	text	a. Texts.; ref=2.5.12,1
cpd	Paṭṭh	Paṭṭhāna (Mahāpakaraṇa),; see; Tikap, Dukap.	text	a. Texts.; ref=3.7
cpd	Pd	etc.; Paramatthadīpanī I—VII = Ud-a, It-a, Vv-a, Pv-a, Th-a, Thī-a, Cp-a.	text	a. Texts.; ref=2.5.3,1,
cpd	Pds	Padasādhana,; C; e; : sūtra-numbers; (1—449),; see; Sadd; p.; 1065—67.	text	a. Texts.; ref=5.3,2
cpd	Peṭ	Peṭakôpadesa,; B; e; : section; (I—VIII).	text	a. Texts.; ref=2.7.1
cpd	Piṅg	Piṅgala, Chandahçāstra,; N; e; : section; (I—VIII); and; sūtra.	text	a. Texts.; ref=6.5.7.1
cpd	Piṅg-v	Halāyudha, Mṛtasamjīvanī,; to prec.	text	a. Texts.; ref=6.5.7.1,1
cpd	Piṭ-sm	"Piṭakat-samuiṅ; 3; (""Piṭakatthamain""),; B; e; : paragraph; (§ 1—462 [—2047])."	text	a. Texts.; ref=4.3.[6]
cpd	Pj  I	Paramatthajotikā; on; Khp,; E; e; :page; (11—253); andline.	text	a. Texts.; ref=2.5.1,1
cpd	Pj II	Paramatthajotikā; on; Sn,; E; e; : page; (1—608); and line.	text	a. Texts.; ref=2.5.5,1
cpd	Pm-vn	Paramatthavinicchaya.	text	a. Texts.; ref=3.8.2
cpd	Pp	Puggalapaññatti,; E; e; : page; (1—74); and line.	text	a. Texts.; ref=3.4
cpd	Pp-(a-)mṭ	mūla-ṭīkā; on prec, B; e; .	text	a. Texts.; ref=3.4,11
cpd	Pp-a	Puggalapaññatti-aṭṭhakathā (Ppk-a II),; E; e; : page; (171—254); and line.	text	a. Texts.; ref=3.4,1
cpd	Ppk-a	Pañcappakaraṇa-aṭṭhakathā ɔ: Dḥātuk-a, Pp-a, Kv-a, Yam-a, Paṭṭh-a (ɔ: Tikap-a,; etc).	text	a. Texts.; ref=3.3,1 ... 3.7,1
cpd	Prajñā-p	Prajñā-pāramitā,; see; Aṣṭa-Prajñā-p, Daça-Prajñā-p.; etc.	text	a. Texts.
cpd	Prāt	Prātiçākhya.	text	a. Texts.
cpd	Ps	Papañcasūdanī,; E; e; : vol.; (I—-V),; page and line.	text	a. Texts.; ref=2.2,1
cpd	Ps-pṭ	purāṇa-ṭīkā; on; Ps,; Ms: B; r; .	text	a. Texts.; ref=2.2,11
cpd	Pv	Petavatthu,; E; e; (2):; verse; (1—806),; see below; 93*.	text	a. Texts.; ref=2.5.7
cpd	Pv-a	Petavatthu-aṭṭhakathā,; E; e; : page; (1—287); and line.	text	a. Texts.; ref=2.5.7,1
cpd	pālim	pāli-muttaka.	text	a. Texts.
cpd	Pālim-vn-ṭ	Pālimuttakavinayavinicchayasaṅgahaṭīkā,; C; e; .	text	a. Texts.; ref=1.3.5,1
cpd	Pāt	Pātimokkha,; E; e; : page and line.	text	a. Texts.; ref=1.1
cpd	Pāt-a	- Kkh.	text	a. Texts.
cpd	Pāṇ	Pāṇinīya-sūtrapāṭha (Aṣṭādhyāyī),; N; e; (1): adhyāya (I—VIII), pāda; and; sūtra.	text	a. Texts.; ref=6.5.1
cpd	Pūjāv	Pūjāvaliya,; C; e; : page; (1—704); and line.	text	a. Texts.; ref=(under4.1.2)
cpd	Ras	Rasavāhinī,; C; e; : vol.; (I—II),; page; (1—104, 1—194); and line.	text	a. Texts.; ref=4.1.10
cpd	Rt	Saddharma-Ratnāvaliya,; C; e; (2):; page; (1—1032); and line.	text	a. Texts.; ref=2.5.2,1(5)
cpd	RV	Rgveda-samhitā, iV; e; : maṇdala (I—X), sūkta; and verse.	text	a. Texts.; ref=6.1.1
cpd	Rāmāy	Rāmāyaṇa,; N; e; (2): kāṇda (I—VII), sarga; and verse.	text	a. Texts.; ref=6.2.2.3
cpd	Rāṣṭrap	Rāṣṭrapālaparipṛcchā,; N; e; : page; (1—60); and line.	text	a. Texts.; ref=7.4.13
cpd	Rūp	(Mahā-)Rūpasiddhi,; C; e; : page; (1—279); and line.	text	a. Texts.; ref=5.1,4
cpd	Rūpār(ūp)	Rūpārūpavibhāga,; E; e; : page; (149—159); and line.	text	a. Texts.; ref=3.8.5
cpd	S	= SN.	text	a. Texts.
cpd	sa-Dhātup	Pāṇinīya-dhātupāṭha,; N; e; :; Westergaard's; paragraphs; (§ 1—35); and root-numbers [or like; Kṣĩr].	text	a. Texts.; ref=6.5.5.1
cpd	sa-Hc	Siddha-Hemacandra; adhyāya (I—VII), pāda; and; sūtra.	text	a. Texts.; ref=6.5.41
cpd	Sacc	Saccasaiiikhepa,; E; e; : verse; (1—387).	text	a. Texts.; ref=3.8.6
cpd	Sadd (= Sd)	Saddanīti,; E; e; : page; (1—928); and line.	text	a. Texts.; ref=5.2
cpd	Sadd-ns	Saddanīti-nissaya,; B; e; .	text	a. Texts.; ref=5.2,[2]
cpd	Saddh	Saddhammöpāyana,; E; e; : verse; (1—4521).	text	a. Texts.; ref=4.5.7
cpd	Saddh-sn	Saddhammôpāyana-sannaya,; C; e; .	text	a. Texts.; ref=4.5.7,(1)
cpd	Saddhamma-s	Saddhammasaṅgaha,; E; e; : page; (23—90); and line.	text	a. Texts.; ref=4.3.1
cpd	Saddharmap	Saddharmapuṇdarīka,; E; e; : page; (1—394); and line.	text	a. Texts.; ref=7.4.2
cpd	Samantak	Samantakūṭavaṇṇanā,; C; e; : verse; (1—796).	text	a. Texts.; ref=4.1.9
cpd	Samādhir	Samādhirāja,; E; e; :; section; (VIII, XIX, XXII; only) and verse, or; grantha.	text	a. Texts.; ref=7.4.8
cpd	Sanats	Sanatsujātīya, adhyāya (I—IV); and verse.	text	a. Texts.; ref=6.2.2.1
cpd	Sandes	Sandesakathā,; E; e; : page; (17—28); and line.	text	a. Texts.; ref=4.2.5
cpd	Saund	Açvaghoṣa, Saundaranandakāvya,; N; e; (2):; section; (I—XVIII); and verse.	text	a. Texts.; ref=7.5.2
cpd	Saňgs	Saňga-saraṇa,; C; e; : page; (1—60); and line.	text	a. Texts.; ref=2.9.(9)
cpd	Sd	= Sadd,	text	a. Texts.
cpd	Sid	Sidatsañgarāva,; C; e; (2),; section; (I—XII).	text	a. Texts.; ref=(DSL, LIX)
cpd	Sikhav	Sikhavaḷaňda,; C; e; : page; (1—16); and line.	text	a. Texts.; ref=1·4·(2)
cpd	Sikhav-vn	Sikhavaḷanda-vinisa,; C; e; : page; (17—87); and line.	text	a. Texts.; ref=1.4.(2,1)
cpd	Sn	Suttanipāta, E; e; (2):; verses; (1—1149),; or page; (1—223); and line.	text	a. Texts.; ref=2.5.5
cpd	SN (= S)	Samyutta-Nikāya,; E; e; : vol.; (I—V),; page and line.	text	a. Texts.; ref=2.3
cpd	Sp	Samantapāsādikā,; C; e; ad; Vin II; and; V;; E; e; ad; Vin III, IV, I:; page; (1—1154); and line.	text	a. Texts.; ref=1.2,1
cpd	Sp-y	Sarnantapāsādikāya atthayojanā,; S; e; : vol.; (I—II),; page and line.	text	a. Texts.; ref=1.2,14
cpd	Sp-ṭ	Sāratthadīpanī, (C; e; and) B; e; .	text	a. Texts.; ref=1.2,12
cpd	Spk	Sārattha(p)pakāsinī,; E; e; : vol.; (I—III),; page and line.	text	a. Texts.; ref=2.3,1
cpd	Spk-pṭ	purāṇaṭīkā; on prec, MS: B; r; .	text	a. Texts.; ref=2.3,11
cpd	Ss	Sārasaṅgaha,; C; e; : page; (1—256); and line.	text	a. Texts.; ref=2.9.3
cpd	Subodh	Subodhâlaiṅkāra,; C; e; : verse; (1—367).	text	a. Texts.; ref=5.8.1
cpd	Suttas	Suttasaṅgaha,; C; e; : section; (1—-85); below; 95*.	text	a. Texts.; ref=2.9.2
cpd	Suttas-a	Suttasaṅgaha-aṭṭhakathā,; C; e; : page; (1—218); and line.	text	a. Texts.; ref=2.9.2,1
cpd	Suvarṇa-p	Suvarṇa(pra)bhāsa,; E; e; : page; (1—251); and line; or section; (I—XIX); and verse.	text	a. Texts.; ref=7.4.5
cpd	Sv	Sumaṅgalavilāsinī,; E; e; : page; (1—1064); and line.	text	a. Texts.; ref=2.1,1
cpd	SV	Sāmaveda-samhitā.	text	a. Texts.; ref=6.1.3
cpd	Sv-pṭ	purāṇa-ṭīkā; on prec, B; e; .	text	a. Texts.; ref=2.1,11
cpd	Sās	Sāsanavarhsa,; E; e; : page; (1—170); and line.	text	a. Texts.; ref=4.3.4
cpd	Sīmāv	Sīmāvivādavinicchayakathā,; E; e; : page; (17—34); and line.	text	a. Texts.; ref=1.5.4
cpd	Taitt	Taittirīya; School of Black; YV (~-Samhitā,; etc).	text	a. Texts.; ref=6.1.2II
cpd	Tel	Telakaṭāhagāthā,; E; e; : verse; (1—98).	text	a. Texts.; ref=4.5.5
cpd	Th	Theragāthā,; E; e; : verse; (1—1279).	text	a. Texts.; ref=2.5.8
cpd	Th-a	Theragāthā-aṭṭhakathā (Pd V),; C; e; : vol.; ([I]—II),; page and line.	text	a. Texts.; ref=2.5.8,1
cpd	Thĩ	Therīgāthā,; E; e; : verse; (1—522).	text	a. Texts.; ref=2.5.9
cpd	Thī-a	Therīgāthā-aṭṭhakathā (Pd VI),; E; e; : page; (1—301); and line.	text	a. Texts.; ref=2.5.9,1
cpd	Thūp	Thūpavamsa,; E; e; : page; (1—105); and line.	text	a. Texts.; ref=4.1.41
cpd	Tikap	Tika-paṭṭhāna,; E; e; : page; (1—7, 69—229, 317—344); and line.	text	a. Texts.; ref=3.71
cpd	Tikap-(a-)mṭ	mūla-ṭīkā; on prec, B; e; .	text	a. Texts.; ref=3.71,11
cpd	Tikap-a	Tikapaṭṭhāna-aṭṭhakathā (Ppk-a V; 1; ),; E; e; : page; (8—68, 230—315, 345—367); and line.	text	a. Texts.; ref=3.71
cpd	Ud	Udāna,; E; e; : page; (1—94); and line.	text	a. Texts.; ref=2.5.3
cpd	Ud-a	Udāna-aṭṭhakathā (Pd I),; E; e; : page; (1—436); and line.	text	a. Texts.; ref=2.5.3,1
cpd	Udāna-v(g)	Udānavarga,; section; (I—XXXIII); and verse.	text	a. Texts.; ref=7.2.9.1,cf.2.5.2
cpd	Ujjv	Ujjvaladatta's Uṇādivṛtti,; N; e; :; section; (I—V); and sūtra.	text	a. Texts.; ref=6.5.1I,1
cpd	Utt(arajjh)	Uttarajjhayana, A; Te; (2):; section; (I—XXXVI); and verse.	text	a. Texts.; ref=8.6.1
cpd	Utt-vn	Uttara-vinicchaya,; E; e; : verse; (1—969).	text	a. Texts.; ref=1.3.4
cpd	Uṇ	Uṇādisūtra, Ujjv's; recension.	text	a. Texts.; ref=6.5.1*
cpd	Vibh	Vibhaṅga-pakaraṇa,; E; e; : page; (1—436); and line.	text	a. Texts.; ref=3.2
cpd	Vibh-(a-)mṭ	mūlaṭīkā; on prec.	text	a. Texts.; ref=3.2,11
cpd	Vibh-a	Sammohavinodanī,; E; e; : page; (1—524); and line.	text	a. Texts.; ref=3.2,1
cpd	Vin	Vinayapiṭaka,; E; e; : vol.; (I-—V),; page and line; one asterisk [e. g.; I 25,23*, V 216,2*] ɔ:; metrical lext; two asterisks; [; e. g.; IV 100,10**] ɔ: sikkhāpada;; an accent [e. g.; IV 100,2o'] ɔ: padabhājanīya.	text	a. Texts.; ref=1.2
cpd	Vin-vn	Vinayavinicchaya,; E; e; : verse; (1—3183).	text	a. Texts.; ref=1.3.3
cpd	Vism (=Vm)	Visuddhimagga,; E; e; : page; (1—713); and line.	text	a. Texts.; ref=2.8.1
cpd	Vism-bh	(abhinava-)Samkṣepa-bhāvasannaya,; to; Vism,; C; e; .	text	a. Texts.; ref=2.8.1,(5)
cpd	Vism-gp	Visuddhimagga-gaṇṭhipada.	text	a. Texts.; ref=2.8.1,01
cpd	Vism-mhṭ	Paramatthamañjūsā, Visuddhimagga-mahāṭīkā,; B; e; .	text	a. Texts.; ref=2.8.1,1
cpd	Vism-sn	Viçuddhimārga-vistarapadārthavyākhyānaya,; C; e; : uol.; I—VI; on; Vism; E; e; :; 1—558.	text	a. Texts.; ref=2.8.1,(4)
cpd	Vjb	Vajirabuddhiṭĩkā,; B; e; .	text	a. Texts.; ref=1.2,11
cpd	Vkp	Vākyapadīya, kāṇda (I—III), [samuddeça]; and verse.	text	a. Texts.; ref=6.5.1,11
cpd	Vm	= Vism.	text	a. Texts.
cpd	Vmv	Vimativinodanī,; B; e; .	text	a. Texts.; ref=1.2,13
cpd	VS	Vājasaneyi-samhitā,; N; e; (2): adhyāya (1—40); and; kaṇdikā.	text	a. Texts.; ref=6.1.2I
cpd	Vutt	Vuttodaya,; E; e; : verse, resp. rule; (1—136).	text	a. Texts.; ref=5.7.1
cpd	Vutt-sn	Vuttodaya-sannaya,; C; e; : page; (1—34); and line.	text	a. Texts.; ref=5.7.1,(8)
cpd	Vutt-viv	Vuttodaya-vivaraṇa,; C; e; : page; (35—48); and line.	text	a. Texts.; ref=5.7.1,7
cpd	Vutt-ṭ	Vuttodaya-ṭīkā,; C; e; : page; (49—72); and line.	text	a. Texts.; ref=5.7.1,1
cpd	Vv	Vimānavatthu,; E; e; (2):; uerse; (1—1015),; see below; 92*.	text	a. Texts.; ref=2.5.6
cpd	Vv-a	Vimānavatthu-aṭṭhakathā,; E; e; : page; (1—355); and line.	text	a. Texts.; ref=2.5.6,1
cpd	Vyu	Mahāvyutpatti,; N; e; (2):; section; (1—284); and word-number.	text	a. Texts.; ref=6.5.6.8
cpd	Vāgbh	Vāgbhaṭa, Aṣṭāṅgahṛdaya-samhitā.	text	a. Texts.; ref=6.4.8.3
cpd	Vām(-v)	Vāmana, Kāvyâlamkārasūtra(-vṛtti), N; e; (2): adhikaraṇa (I—V), adhyāya; and; sūtra.	text	a. Texts.; ref=6.5.8.3
cpd	Yam	Yamaka-pakaraṇa,; E; e; : vol.; (I—II),; page and line.	text	a. Texts.; ref=3.6
cpd	Yam-(a-)mṭ	mūlaṭīkā; on prec, B; e; .	text	a. Texts.; ref=3.6,11
cpd	Yam-a	Yamaka-aṭṭhakathā (Ppk-a IV),; E; e; : page; (52—107); and line.	text	a. Texts.; ref=3.6,1
cpd	YV	Yajurveda,; see; VS, ÇBr, Taitt.	text	a. Texts.; ref=6.1.2
cpd	Yājñ	Yājñavalkyasmṛti,; N; e; (2): adhyāya (I—III), prakaraṇa; and verse.	text	a. Texts.; ref=6.2.1.2
cpd	ÇB(r)	Çatapatha-brāhmaṇa, IV; e; : kāṇda (I—14), adhyāya, brāhmaṇa; and; grantha,; or page; (1—1109); and line.	text	a. Texts.; ref=6.1.2,I,1
cpd	Çikṣā-s	Çikṣāsamuccaya,; N; e; : page; (1—366); and line.	text	a. Texts.; ref=7.2.9.4
dpd_db	a	Aṅguttara (Nikāya)	text	
dpd_db	apa	Apadāna	text	
dpd_db	aṭṭha	aṭṭhakathā (commentary)	text	
dpd_db	bu	Buddha(vaṃsa)	text	
dpd_db	cūḷani	Cūḷaniddesa; canonical commentary on the Pārāyanavagga of the Sutta Nipāta	text	
dpd_db	cūḷava	Cūḷavagga	text	
dpd_db	dha	Dhamma (pada)	text	
dpd_db	dī	Dīgha (Nikāya)	text	
dpd_db	itivu	Itivuttaka	text	
dpd_db	ja	Jātaka	text	
dpd_db	ka	Cambodia; variant reading occurring in Cambodian texts	text	
dpd_db	kaṃ	Cambodia; variant reading occurring in Cambodian texts	text	
dpd_db	khu	Khuddaka (pāṭha)	text	
dpd_db	ma	(Paṭisambhidā) Magga	text	
dpd_db	ma	Majjhima (Nikāya)	text	
dpd_db	mahāni	Mahāniddesa, canonical commentary on the Aṭṭhakavagga of the Sutta Nipāta	text	
dpd_db	mahāva	Mahāvagga	text	
dpd_db	mahāva	Mahāvaṃsa	text	
dpd_db	mahāṭī	mahāṭīkā	text	
dpd_db	mūlaṭī	mūlaṭīkā, a sub-commentary on the Abhidhammapiṭaka	text	
dpd_db	netti	Netti(pakaraṇa)	text	
dpd_db	ni	(Saṃyutta etc.) Nikāya	text	
dpd_db	ni	(Sutta) Nipāta	text	
dpd_db	pa	(Dhamma) pada	text	
dpd_db	pa	Paṭisambhidāmagga	text	
dpd_db	pa	Paṭṭhāna	text	
dpd_db	pari	Parivāra	text	
dpd_db	paṭi	Paṭisambhidā (Magga)	text	
dpd_db	pe	Petavatthu	text	
dpd_db	pe	Peṭakopadesa	text	
dpd_db	pe	peyyāla, indicating missing repeated text	text	
dpd_db	peṭako	Peṭakopadesa	text	
dpd_db	pu	Puggalapaññatti	text	
dpd_db	pu	pucchā, question	text	
dpd_db	pā	(Khuddaka) pāṭha	text	
dpd_db	pāci	Pācittiya	text	
dpd_db	pāra	Pārājikakaṇḍa	text	
dpd_db	pī	Pāli (Text Society); variant reading occurring in PTS texts	text	
dpd_db	rū	rūpāvacara	text	
dpd_db	saṃ	Saṃyutta (Nikāya)	text	
dpd_db	su	Suttapiṭaka	text	
dpd_db	su	sutta	text	
dpd_db	syā	Syām; variant reading occurring in Thai texts	text	
dpd_db	sī	Sīhaḷa; variant reading occurring in Sri Lankan texts	text	
dpd_db	thera	Therāpadāna	text	
dpd_db	theragā	Theragāthā	text	
dpd_db	therīgā	Therīgāthā	text	
dpd_db	udā	Udāna	text	
dpd_db	va	(Vimāna)vatthu	text	
dpd_db	vaṃ	(Buddha)vaṃsa	text	
dpd_db	vi	Vimānavatthu	text	
dpd_db	vi	vissajjanā; response	text	
dpd_db	vibh	Vibhaṅga; 2nd book of the Abhidhamma	text	
dpd_db	vibha	Vibhaṅga Aṭṭhakathā	text	
dpd_db	visuddhi	Visuddhimagga	text	
dpd_db	ṭī	ṭīkā	text	
dpd_db	ṭṭha	aṭṭhakathā (commentary)	text	
general	ATI	Access to Insight http://www.accesstoinsight.org/tipitaka/	resource	Online resources
general	Be	Burmese edition	edition	Edition letter codes
general	Ce	Sinhalese edition (Buddhajayanti Tipiṭaka Series)	edition	Edition letter codes
general	cha	6th Council	edition	Edition letter codes
general	CSCD	Chaṭṭha Saṅgāyana CD (VRI) http://tipitaka.org/romn/	resource	Online resources
general	Ee	PTS edition	edition	Edition letter codes
general	jā.	jātakapāli	text	Abbreviations within variant readings
general	kaṃ. / ka.	Cambodian	edition	Chattha Saṅgayāna edition codes
general	Ke	Cambodian edition	edition	Edition letter codes
general	KN	Khom script edition	edition	Edition letter codes
general	LS	Tham Lanna (Thai) edition	edition	Edition letter codes
general	Machasaṃ	Maramma-chaṭṭha-saṃgīti-piṭaka-potthakaṃ (Burmese-6th-council-piṭaka-book)	edition	Specific named editions
general	moga.	moggallānabyākaraṇaṃ	text	Abbreviations within variant readings
general	mu.	mūla	text	Abbreviations within variant readings
general	po	Porāṇa (misc. SE Asia palm leaf)	edition	Edition letter codes
general	pārā.	pārājikakaṇḍapāli	text	Abbreviations within variant readings
general	rā	Rāmaññā (Mon)	edition	Edition letter codes
general	Se	Thailand Syāmaraṭṭhassa edition	edition	Edition letter codes
general	si	Syāmakkhara-potthakaṃ (Thai-letter-book)	edition	Specific named editions
general	SLTP	Sri Lanka Tipitaka Project — flat files (Metta Net) http://metta.lk/tipitaka/	resource	Online resources
general	Sīmu	Sīhalakkhara-muddita-potthakaṃ (Sinala-letter-printed-book)	edition	Specific named editions
general	VRI	Vipassana Research Institute	resource	Online resources
general	yu	European edition	edition	Edition letter codes
pts	*	denotes a hypothetical form (not quotable)	symbol	
pts	A.	Aṅguttara Nikāya	text	
pts	Abh.	Abhidhānappadīpikā	text	
pts	Abhp.	Abhidhānappadīpikā	text	
pts	Abhvt.	Abhidhammāvatāra	text	
pts	abs.	absolutive	grammar	
pts	acc.	accusative case	grammar	
pts	adj.	adjective	grammar	
pts	adv.	adverb	grammar	
pts	Ags.	Aggi Vaṁsa, author of Saddanīti	text	
pts	Akv.	Abhidhammattha-kalyāṇa-vaṇṇanā-ṭīkā (= Vibh-ṭ.)	text	
pts	Alloph.	Allophone	text	
pts	aor.	aorist	grammar	
pts	Ap.	Apadāna	text	
pts	app.	apparently	grammar	
pts	Artha-s.	Artha-sālinī (= DhsA.)	text	
pts	As.	Aṭṭhasālinī (= DhsA.)	text	
pts	Av.	Avadāna-śataka	text	
pts	AvŚ	Avadāna-śataka	text	
pts	B.	Buddhist (& Buddhism)	text	
pts	Bal.	Bālāvatāra	text	
pts	Bdhgh	Buddhaghosa	other	
pts	Bdhv.	Buddhavaṁsa	text	
pts	Beal	Buddhist Records of the Western World	other	
pts	beg.	beginning	other	
pts	BHS(G)	Buddhist Hybrid Sanskrit (Grammar)	text	
pts	BHS(V)	Buddhist Hybrid Sanskrit (Vocabulary)	text	
pts	Bhv	Bhāvanā	other	
pts	Bhvr.	Bhāvanārambha	text	
pts	Bode	Pali Literature of Burma	other	
pts	Bodhi-V.	Bodhi-Vaṁsa (ed. S. A. Strong)	text	
pts	BSk.	Buddhist Sanskrit	text	
pts	Buddh.	Buddhist (& Buddhism)	text	
pts	Burm.	Burmese	text	
pts	Bālâv.	Bālāvatāra	text	
pts	Bṛh. Ār. Up.	Bṛhad Āraṇyaka Upaniṣad	text	
pts	C.	Cingalese (Sinhalese)	text	
pts	c.	commentary, commentarial	other	
pts	C. (= c.)	commentary, commentarial	text	
pts	card.	cardinal number	other	
pts	Caunds.	Compendium of Philosophy	text	
pts	caus.	causative	grammar	
pts	cent.	century	other	
pts	cf.	confer, compare	other	
pts	Chap.	chapter	text	
pts	Childers	Dictionary of the Pali Language	other	
pts	Chin.	Chinese	text	
pts	Class.	Classical	text	
pts	Cld.	Childers	text	
pts	cmpd.	compound	other	
pts	Coll.	Collection	text	
pts	colloq.	colloquial(ly)	other	
pts	Comy.	Commentary	text	
pts	conj.	conjunction	other	
pts	conn.	connected with, connection	other	
pts	cons.	consonant	other	
pts	contr.	contracted, contraction	other	
pts	Cp.	Cariyā-piṭaka	text	
pts	cp.	compare	other	
pts	Cpd.	Compendium of Philosophy	text	
pts	Cpd. Dipani	Abhidhammattha-saṅgaha-dīpanī	text	
pts	Cpdd.	Compendium of Philosophy	text	
pts	CV.	Cūḷa Vagga of Vinaya	text	
pts	Cāṇ.	Cāṇakya-nīti	text	
pts	Cūḷa-Nidd.	Cūḷa-Niddesa (= Niddesa II.)	text	
pts	Cūḷavs.	Cūḷavaṁsa	text	
pts	D.	Dīgha Nikāya	text	
pts	DA.	Dīgha Nikāya Aṭṭhakathā (= Sumaṅgala-vilāsinī)	text	
pts	dat.	dative case	grammar	
pts	Davs.	Dāṭhavaṁsa	text	
pts	Def.	Definition	text	
pts	den.	denominative	grammar	
pts	der.	derived from, derivation	other	
pts	Dev.	Devanāgarī	text	
pts	Dewa	Dewa-dhamma-jātaka	other	
pts	Dh.	Dhammapada	text	
pts	DhA.	Dhammapada Aṭṭhakathā	text	
pts	Dha.	Dhātumañjūsā	text	
pts	Dhammap.	Dhammapada	text	
pts	Dhammas.	Dhammasaṅgani	text	
pts	Dhan.	Dhanapāla	text	
pts	Dhs.	Dhammasaṅgani	text	
pts	DhsA.	Dhammasaṅgani Aṭṭhakathā (= Aṭṭhasālinī)	text	
pts	DhSk.	Dhātu-kathā	text	
pts	Dhv.	Dhātvaṁsa	text	
pts	Dhātup.	Dhātupāṭha	text	
pts	Dial.	Dialogues of the Buddha	text	
pts	dict.	dictionary	other	
pts	diff.	different	other	
pts	Divy.	Divyâvadāna	text	
pts	Dpl.	Dhammapāla	text	
pts	Dpv.	Dīpavaṁsa	text	
pts	Dpv. G.	Dīpavaṁsa ed. Geiger	text	
pts	Dpv. O.	Dīpavaṁsa ed. Oldenberg	text	
pts	Dr.	Doctor	text	
pts	DS.	Dhammasaṅgaṇi (= Dhs.)	text	
pts	Du.	Dutch	text	
pts	Dutoit	Jātaka translation (German)	other	
pts	Dāṭh.	Dāṭhavaṁsa	text	
pts	Dīp.	Dīpavaṁsa	text	
pts	E.	English	text	
pts	e.g.	exempli gratia, for instance	other	
pts	ed.	edition, edited by	other	
pts	Edh.	Edhel or Old Welsh	text	
pts	Eka-Nip.	Eka-Nipāta (of the Aṅguttara Nikāya)	text	
pts	emph.	emphatic	other	
pts	Ency. Rel. Eth.	Encyclopaedia of Religion & Ethics	text	
pts	Ep.	Epistle	text	
pts	Ep. Ind.	Epigraphia Indica	text	
pts	Ep. Zeyl.	Epigraphia Zeylanica	text	
pts	Epil.	Epilogue	text	
pts	eq.	equivalent, equal to	other	
pts	esp.	especially	other	
pts	etc.	et cetera, and so forth	other	
pts	Eth.	Ethics	text	
pts	euph.	euphonic, euphony	other	
pts	Exp.	Expositor	text	
pts	expl.	explained, explanation	other	
pts	F.	French	grammar	
pts	f.	feminine gender	grammar	
pts	Fausböll	Jātaka (text)	other	
pts	fig.	figurative(ly)	other	
pts	Fin.	Finnish	text	
pts	Finot	Pra-kāraṇa-pāramitā	other	
pts	folk	folk etymology	other	
pts	foll.	following	other	
pts	Fr.	French	text	
pts	fr.	from	other	
pts	Franke	Dīgha Nikāya, etc.	other	
pts	freq.	frequentative	other	
pts	Frisböll	Dhammapadam (text)	other	
pts	ft.	footnote	other	
pts	fut.	future tense	grammar	
pts	G.	German	text	
pts	Gaud.	Gaudama Sāgara	text	
pts	Gavaṁ	Gavaṁpati-thera-uttejanaṁ	other	
pts	gd.	gerund	grammar	
pts	Geiger	Pali Literatur u. Sprache, etc.	other	
pts	gen.	genitive case	grammar	
pts	geog.	geography	other	
pts	Ger.	German	grammar	
pts	ger.	gerund	grammar	
pts	Germ.	Germanic	text	
