source	abbreviation	meaning	category	notes
cone	WZKS(O)	Wiener Zeitschrift für die Kunde Süd- (und Ost)asiens; , Wien	text	
cone	ZVS	Zeitschrift für Vergleichende Sprachforschung; , Berlin, et al.	text	
cone	~	represents the stem of the nearest preceding word in bold character	symbol	
cone	°	represents the head-word of the article	symbol	
cone	´	after a Ja reference: denotes the quotation is from the word commentary	symbol	
cone	Ātm.	ātmanepada	text	
cone	≠	stands between parallel, not quite identical, passages	symbol	
cpd	-a	-aṭṭhakathā,; see ct. under; A. c,; below.	text	a. Texts.
cpd	-anuṭ	-anuṭīkā,; see; ṭ.	text	a. Texts.
cpd	-Ar	-Āraṇyaka.	text	a. Texts.
cpd	-Br	-Brāhmaṇa.	text	a. Texts.
cpd	-gp	(-gaṇṭhipada; or); gæṭapadaya ɔ:; (Pūli or) Sinhalese gloss on difficult terms.	text	a. Texts.
cpd	-GṛS	-Gṛhya-sūtra.	text	a. Texts.
cpd	-k, -koça, -kosa:	Am-k, Abhidh-k,; etc.	text	a. Texts.
cpd	-mhṭ	-mahā-ṭīkā,; see; -ṭ.	text	a. Texts.
cpd	-mṭ	-mūla-ṭīkā,; see; -ṭ.	text	a. Texts.
cpd	-ns	-nis(sa)ya, [; Burmese; ]; word-for-word interpretation (cf. -sn), see; Piṭ-sm §463—1028, ALB 127—130.	text	a. Texts.
cpd	-nsn	-nava-sannaya.	text	a. Texts.
cpd	-nṭ	-nava-ṭīkā,; see; -ṭ; above.	text	a. Texts.
cpd	-psn	-purāṇa-sannaya.	text	a. Texts.
cpd	-pt	purāṇa-(porāṇa-)ṭīkā,; see; -ṭ.	text	a. Texts.
cpd	-sn	-sannaya, sannē, sanyaya,; (Sinhalese) word-for-word interpretation.	text	a. Texts.
cpd	-Up	-Upaniṣad.	text	a. Texts.
cpd	-v	-vutti, -vṛtti.	text	a. Texts.
cpd	-vn	-vinicchaya, (-vinisa),; as; Vin-vn (Sikhav-vn).	text	a. Texts.
cpd	-y	-yojanā, -(atthayojanā); as; Sp-y, As-y.	text	a. Texts.
cpd	-ÇrS	-Çrauta-sūtra.	text	a. Texts.
cpd	-ṭ	-ṭīkā,; a sub-commentary; (on; the; Aṭṭhakathā; and later works), like; Sāriputta's Sp-ṭ . . . Mp-ṭ; pt = purāṇa-(porāṇa-)ṭīkā [ṭīkā hoṅ; 3; ],; as; Dhammapāla; on; Suttanta-cṝ·s; or; Vjb; on; Sp; mṭ = mūlaṭīkā,; as; Ānanda; on; Abhidhamma-cṝ.s; mhṭ — mahāṭīkā [ṭīkā kyo; 2; ],; as; Dhammapāla; on; Vism (Sumaṅgala; on; Abhidh-s); anuṭ = anuṭīkā,; q. v.,; nṭ = nava- (abhinava-)ṭīkā [ṭīkā sac],; as; Sv-nṭ; (cūḷa-ṭ, B. a. 3.8.1,3).	text	a. Texts.
cpd	A	= AN.	text	a. Texts.
cpd	Abh	Abhidhānappadīpikā,; C; e; (1; st; or; 2; nd; ed.): verse; (1—1203). Abh-sūcī = Subhūti's; index to; Abh, Colombo 1893.	text	a. Texts.; ref=5.6.1
cpd	Abh-sūcī	see; Abh.	text	a. Texts.
cpd	Abhidh-av	Abhidhammâvatāra,; E; e; :; page; .(1—140); and line.	text	a. Texts.; ref=3.8.4
cpd	Abhidh-k	Abhidharma-koça,; only with foll.	text	a. Texts.
cpd	Abhidh-k-vy	Abhidharmakoça-vyākhyā (; E; e; ); ~; Trsl.; (1923—31),; vol.; I—VI,; quoted as Chapitre; I—IX,; page and line.	text	a. Texts.; ref=7.3.8.1
cpd	Abhidh-s	Abhidhammattha-saṅgaha,; E; e; : page; (1—46); and line.	text	a. Texts.; ref=3.8.1
cpd	Abhidh-s-(mh)ṭ	Abhidhammattha-vibhāvinī,; S; e; : page; (61—279); and line.	text	a. Texts.; ref=3.8.1,2
cpd	Ait	Aitareya; School of; RV (~-Br, ~-Ār, ~-Up).	text	a. Texts.; ref=6.1.1,1I
cpd	Am-k	Amara-koça, N; e; : kāṇda (I—III), varga; and verse.	text	a. Texts.; ref=6.5.6.1
cpd	Amāv	Amāvatura,; C; e; : page; (1—267); and line; below; 97*.	text	a. Texts.; ref=2.9.(5)
cpd	AN(= A)	Aṅguttara-Nikāya,; E; e; : vol.; (I—IV),; page and line.	text	a. Texts.; ref=2.4
cpd	Anāg	Anāgatavarhsa,; E; e; (1; st; or; 2; nd; ed.): verse; (1—142).	text	a. Texts.; ref=4.4.1
cpd	Ap	Apadāna,; E; e; : page; (1—615); and line.	text	a. Texts.; ref=2.5.13
cpd	Ap-a	Apadāna-aṭṭhakathā,; C; e; .	text	a. Texts.; ref=2.5.13,1
cpd	As	Atthasālinī,; E; e; : page; (1—431); and line.	text	a. Texts.; ref=3.1,1
cpd	As-mṭ	Atthasālinī-mūlaṭīkā,; B; e; .	text	a. Texts.; ref=3.1,11
cpd	As-y	"Atthasālinī-atthayojanā; 1; ""; 2; ."	text	a. Texts.; ref=3.1,151-2
cpd	Att	Hatthavanagallavihāra-vamsa,; C; e; : section; (I—XI),; verse or; grantha.	text	a. Texts.; ref=4.1.8
cpd	Aup	Aupapātika-sūtra,; E; e; : page; (21—90); and line.	text	a. Texts.; ref=8.2.1
cpd	AV	Atharvaveda-samhitā; kāṇda (I—XX),; hymn and verse.	text	a. Texts.; ref=6.1.4
cpd	Av-klp	Avadānakalpalatā,; N; e; :; pallava (I-CVIII); and verse.	text	a. Texts.; ref=7.5.19
cpd	Av-ç	Avadānaçataka,; N; e; : vol.; (I—II),; page and line.	text	a. Texts.; ref=7.5.13
cpd	Aṣṭa-Prajñā-p	Aṣṭasāhasrikā Prajñāpāramitā,; E; e; : page; (1—995); and line.	text	a. Texts.; ref=7.4.12
cpd	Bhavis	Dhaṇavāla, Bhavisatta-kahā,; E; e; ;; kadavaka (1—354); and verse.	text	a. Texts.; ref=8.9.1.4
cpd	Bhaṭṭi	Bhaṭṭikāvya;; verse; (1—1624).	text	a. Texts.; ref=6.3.1.5
cpd	Bhes	Bhesajjamañjūsā,; C; e; : section; (1—12); and verse.	text	a. Texts.; ref=2.9.22
cpd	Bhes-sn	Bhaiṣajyamañjūṣā-sannaya,; to prec.	text	a. Texts.; ref=2.9.22,(2)
cpd	Bhg	Bhagavadgītā, adhyāya (I—XVIII); and verse.	text	a. Texts.; ref=6.2.2.11
cpd	Bodhic-av	Çāntideva, Bodhicaryāvatāra,; N; e; : section; (I—IX); and verse.	text	a. Texts.; ref=7.5.5
cpd	Bodhis-bh	Asaṅga, Bodhisattvabhūmi,; E; e; :page(\; —414); and line.	text	a. Texts.; ref=7.6.3.1
cpd	Bu-up	Buddhaghosuppatti,; E; e; : page; (37—67); and line.	text	a. Texts.; ref=4.2.4
cpd	Buddha-c	Açvaghoṣa, Buddhacarita,; N; e; (2):; section; (I—XIV [XV—XXVIII]); and verse.	text	a. Texts.; ref=7.5.1
cpd	Buts	Butsaraṇa,; C; e; : page; (1—333); and line.	text	a. Texts.; ref=2.9.(7)
cpd	Bv	Buddhavamsa,; E; e; : section; (I—XXVIII); and page.	text	a. Texts.; ref=2.5.14
cpd	Bv-a	Buddhavamsa-aṭṭhakathā,; C; e; ; after; 1946; E; e; : page; (1—300); and line.	text	a. Texts.; ref=2.5.14,1
cpd	Bālāv	Bālâvatāra,; E; e; (1):; page; (1—325); and line.	text	a. Texts.; ref=5.1,5
cpd	Bālāv-sn	Gadalādeṇi-sannaya,; C; e; : page; (1—194); and line.	text	a. Texts.; ref=5.1,5(3)
cpd	Bṛh-Up	Bṛhadāraṇyaka-upaniṣad: adhyāya (I—VI), brāhmaṇa; and; grantha; (verse).	text	a. Texts.; ref=6.1.2I3
cpd	Candra	Cāndravyākaraṇa,; E; e; :; adhyāya (I—VI), pāda; and; sūtra.	text	a. Texts.; ref=6.5.2
cpd	Candra-v	Cāndrá-vṛtti,; N; e; : as prec.	text	a. Texts.; ref=6.5.2,1
cpd	Catubh-a	Catubhāṇavār'-aṭṭhakathā (ö: Parit-a),; C; e; ; below; 93*.	text	a. Texts.; ref=2.9.1,1
cpd	Ch-Up	Chāndogya-Upaniṣad,; N; e; (2): adhyāya (I—VIII); and; khaṇda.	text	a. Texts.; ref=6.1.3II,3
cpd	Cha-k	Ghakesadhātu-vamsa,; E; e; : page; (6—16); and line.	text	a. Texts.; ref=4.1.71
cpd	Chap	Chappaṭa, Suttaniddesa,; E; e; :; Kacc's sūtr; a-numbers.	text	a. Texts.; ref=5.1,2
cpd	Cp	Cariyāpiṭaka,; E; e; : book; (I—III),; section and verse; or: verse only; (1—373),; see below; 93*.	text	a. Texts.; ref=2.5.15
cpd	Cp-a	Cariyāpiṭaka-aṭṭhakathā, PdVII (; C; e; (1); and since; 1936); E; e; : page; (1—336); and line.	text	a. Texts.; ref=2.5.15,1
cpd	D	= DN.	text	a. Texts.
cpd	Dasab	Dasabodhisatta-uddesa,; E; e; : page; (1—39); and line.	text	a. Texts.; ref=4.4.2
cpd	Daça-bh	Daçabhūmika-sūtra,; E; e; : page; (1—235); and line.	text	a. Texts.; ref=7.4.9
cpd	Daça-bh-g	The; gāthās; of; Daça-bh,; E; e; :; bhūmi (I—X); and verse.	text	a. Texts.; ref=7.4.9
cpd	Daça-Prajñā-p	Daçasāhasrikā Prajñāpāramitā,; E; e; : page; (93—113); and line.	text	a. Texts.; ref=7.4.13
cpd	Daçavaik	Daçavaikālika-sūtra,; N; e; : page and line, or section; (I—XII); and verse resp.; grantha.	text	a. Texts.; ref=8.6.2
cpd	Deç	= Hc-Deç.	text	a. Texts.
cpd	Dharmapr	Dharmapradīpikā,; C; e; : page; (1—323); and line.	text	a. Texts.; ref=2.9.(6)
cpd	Dhms	Daham-saraṇa,; C; e; : page; (1—400); and line.	text	a. Texts.; ref=2.9.(8)
cpd	Dhp	Dhammapada,; E; e; (1; st; and; 2; nd; ed.):; verse; (1—423).	text	a. Texts.; ref=2.5.2
cpd	Dhp-a	Dhammapad'-aṭṭhakathā,; E; e; : vol.; (I—IV),; page and line.	text	a. Texts.; ref=2.5.2,1
cpd	Dhp-a-gp	D(h)ampiyā-aṭuvā-gæṭapadaya,; C; e; : page; (1—290); and line.	text	a. Texts.; ref=2.5.2,1(4)
cpd	Dhs	Dhammasaṅgaṇī,; E; e; : page; (1—8); and line, paragraph; (1—1599).	text	a. Texts.; ref=3.1
cpd	Dhātuk	Dhātukathā(pakaraṇa),; E; e; : page; (1.—113); and line.	text	a. Texts.; ref=3.3
cpd	Dhātuk-(a)-mṭ	mūlaṭīkā; on prec, B; e; .	text	a. Texts.; ref=3.3,11
cpd	Dhātuk-a	Dhātukathā-aṭṭhakathā (Ppk I),; E; e; : page; (114—138); and line.	text	a. Texts.; ref=3.3,1
cpd	Dhātum	Dhātumañjūsā,; E; e; : root-numbers; (1—884).	text	a. Texts.; ref=5.5.2
cpd	Dhātup	(Pāli); Dhātupāṭha,; E; e; : root-numbers; (1—639).	text	a. Texts.; ref=5.5.1
cpd	Divy	Divyâvadāna,; E; e; : page; (1—655); and line.	text	a. Texts.; ref=7.1.3
cpd	DN (= D)	Dīgha-Nikāya,; E; e; : vol.; (I—III); page and line.	text	a. Texts.; ref=2.1
cpd	Dp	= Dharmapr.	text	a. Texts.
cpd	Dukap	Dukapaṭṭhāna,; E; e; : (vol.; I!); page; (1—365); and line.	text	a. Texts.; ref=3.72
cpd	Dukap-a	Dukapaṭṭhāna-aṭṭhakathā (Ppk-a V; 2; ),; S; e; : page; (664—677); and line.	text	a. Texts.; ref=3.72,1
cpd	Dāṭh	Dāṭhāvamsa,; E; e; : section; (I—V + VI); and verse.	text	a. Texts.; ref=4.1.5
cpd	Dīp	Dĩpavamsa,; E; e; : section; (I—XXII); and verse.	text	a. Texts.; ref=4.1.1
cpd	Ekakkh	Ekakkharakosa,; C; e; (1; st; and; 2; nd; ed.): verse; (1—123).	text	a. Texts.; ref=5.6.2
cpd	Gaṇdav	Gaṇdavyūha,; N; e; : page; (1—551); and line.	text	a. Texts.; ref=7.4.6
cpd	Gv	Gandha-[ɔ: Gantha-]vaṁsa,; E; e; : page; (55—80); and line.	text	a. Texts.; ref=4.3.3
cpd	Hariv	Harivaṁçapurāṇa,; E; e; : page; (200—328); and line.	text	a. Texts.; ref=8.9.1.1
cpd	Hc	Siddha-HcmacandraVIII,; J; E; e; :secṝiori(I—IV)ancṝsūtra.	text	a. Texts.; ref=6.5.42
cpd	Hc-abhidh	Hemacandra, Abhidhānacintāmaṇi,; N; e; : section; (I—VI); and verse.	text	a. Texts.; ref=6.5.6.41
cpd	Hc-anek	Hemacandra, Anekārthasaṅgraha, N; e; :; section; (I—VII); and verse.	text	a. Texts.; ref=6.5.6.42
cpd	Hc-ch	Hemacandra, Chandonuçāsana,; N; e; : section; (I—VIII); and; sūtra.	text	a. Texts.; ref=6.5.7.4
cpd	Hc-Deç	Hemacandra, Deçīnāmamālā,; N; e; : section; (I—VIII); and verse; .	text	a. Texts.; ref=6.5.6.43
cpd	Hc-uṇ	Hemacandra, Uṇādigaṇavivṛti,; N; e; : sūtr; a-numbers; (1—1006).	text	a. Texts.; ref=6.5.41,1
cpd	Heraṇas	Heraṇasikha,; C; e; : page; (1—2); and line.	text	a. Texts.; ref=1.4.(1)
cpd	Heraṇas-vn	Heraṇasikha-vinisa,; C; e; : page; (3—36); and line.	text	a. Texts.; ref=1.4.(1,1)
cpd	Hv	Harivaṁça;; verse; (1—16274).	text	a. Texts.; ref=6.2.2.2
cpd	Hīnaṭ	Hīnaṭiku[HHL M with breve]iburē Sumaṅgala, Milindapraçnaya,; C; e; (1; or; 2).	text	a. Texts.; ref=2.6,0(1)
cpd	It	Itivuttaka,; E; e; : page; (1—124); and line.	text	a. Texts.; ref=2.5.4
cpd	It-a	Itivuttaka-aṭṭhakathā (Pd II),; E; e; : vol.; (I—II),; page and line.	text	a. Texts.; ref=2.5.4,1
cpd	J-sn	Jātakagāthāsannaya.	text	a. Texts.; ref=2.5.10,0(1)
cpd	Ja	Jātaka; and; Jātak'-aṭṭhakathā,; E; e; : vol.; (I—VI); page and line; one asterisk [e. g.; VI 274,10*] ɔ:; metrical (mostly canonical) text; two asterisks [e. g.; V 416,18**] 6:; canonical prose; an accent [e. g.; VI 203,15'] ɔ:; grammatical commentary.	text	a. Texts.; ref=2.5.10and2.5.10,1
cpd	Ja-gp	Jātakaṭṭhakathā-gaṇṭhipadatthavaṇṇanā,; C; e; .	text	a. Texts.; ref=2.5.10,1(4)
cpd	Ja-pot	Pansiyapanas-jātaka-pota,; C; e; (1):; page; (1—1758); and line.	text	a. Texts.; ref=2.5.10,1(5)
cpd	Ja-pṭ	Jātakaṭṭhakathā-purāṇaṭīkā,; B; r; .	text	a. Texts.; ref=2.5.10,11
cpd	Jina-c	Jinacarita,; E; e; : verse; (1—472).	text	a. Texts.; ref=4.5.6
cpd	Jināl	Jinâlamkāra,; E; e; : verse; (1—250).	text	a. Texts.; ref=4.5.13
cpd	Jāt-m	Jātakamālā, iV; e; :; page; (1—241); and line.	text	a. Texts.; ref=7.5.12
cpd	Kacc —= Kc	Kaccāyanappakaraṇa,; C; e; :; sūtr; SL-numbers, see below p.; 96*.	text	a. Texts.; ref=5.1
cpd	Kacc-v	Kaccāyana-vutti,; as prec.	text	a. Texts.; ref=5.1,1
cpd	Kammav	Kammavācā,; E; e; : page; (3—6); and line.	text	a. Texts.; ref=1.2,16
cpd	Karuṇāp	Karuṇāpuṇdarīka,; N; e; : page; (1—127); and line.	text	a. Texts.; ref=7.4.12
cpd	Kc	= Kacc.	text	a. Texts.
cpd	Kedār	Kedārabhaṭṭa, Vṛttaratnākara, N; e; :; section; (I—VI); and; sūtra.	text	a. Texts.; ref=6.5.7.2
cpd	Khp	Khuddakapāṭha,; E; e; (2):; section; (I—IX),; paragraph or verse.	text	a. Texts.; ref=2.5.1
