timestamp,file,line,control,handler,event,ms
2026-09-17T18:27:38.863,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,0.5
2026-09-17T18:27:39.214,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,1.1
2026-09-17T18:27:39.256,gui2/dpd_fields.py,1181,DpdDropdown,DpdFields.derivative_change,select,0.3
2026-09-17T18:27:39.430,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,0.6
2026-09-17T18:27:39.644,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,0.3
2026-09-17T18:27:42.816,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,0.3
2026-09-17T18:27:42.850,gui2/dpd_fields.py,1200,DpdTextField,DpdFields.suffix_on_change,change,0.3
2026-09-17T18:27:44.005,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,0.9
2026-09-17T18:27:44.164,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,0.6
2026-09-17T18:27:44.469,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,1.1
2026-09-17T18:27:44.698,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,0.5
2026-09-17T18:27:44.734,gui2/dpd_fields.py,913,DpdTextField,DpdFields.phonetic_focus,focus,1.7
2026-09-17T18:27:45.352,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,0.7
2026-09-17T18:27:45.946,gui2/dpd_fields.py,905,DpdDropdown,DpdFields.compound_type_blur,blur,72.2
2026-09-17T18:27:45.983,gui2/dpd_fields_compound_construction.py,105,DpdTextField,DpdCompoundConstructionField.compound_construction_focus,focus,36.5
2026-09-17T18:27:46.342,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,0.6
2026-09-17T18:27:47.075,gui2/dpd_fields.py,973,DpdTextField,DpdFields.sanskrit_focus,focus,0.9
2026-09-17T18:27:48.068,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,0.6
2026-09-17T18:27:48.267,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,0.5
2026-09-17T18:27:48.302,gui2/dpd_fields.py,954,DpdTextField,DpdFields.sanskrit_blur,blur,0.3
2026-09-17T18:27:48.807,gui2/dpd_fields.py,1073,DpdTextField,DpdFields.source_1_focus,focus,0.7
2026-09-17T18:27:49.723,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,36.8
2026-09-17T18:27:50.970,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,0.5
2026-09-17T18:27:51.094,gui2/wordfinder_popup.py,90,TextField,WordFinderPopup._handle_search,submit,123.6
2026-09-17T18:27:52.897,gui2/wordfinder_popup.py,196,TextButton,WordFinderPopup._handle_close,click,35.0
2026-09-17T18:27:52.953,gui2/dpd_fields.py,1073,DpdTextField,DpdFields.source_1_focus,focus,0.4
2026-09-17T18:27:53.105,.venv/lib/python3.13/site-packages/flet/controls/base_page.py,463,AlertDialog,BasePage._wrap_dialog_on_dismiss.<locals>.wrapped_on_dismiss,dismiss,0.6
2026-09-17T18:27:53.639,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,0.6
2026-09-17T18:27:54.351,gui2/dpd_fields_examples.py,290,IconButton,DpdExampleField._toggle_tools_visibility,click,35.5
2026-09-17T18:27:55.086,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,0.6
2026-09-17T18:27:55.240,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,0.3
2026-09-17T18:27:55.354,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,0.7
2026-09-17T18:27:55.635,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,0.5
2026-09-17T18:27:55.669,gui2/dpd_fields_examples.py,310,Dropdown,DpdExampleField._handle_book_blur,blur,33.8
2026-09-17T18:27:55.788,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,0.4
2026-09-17T18:27:55.960,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,0.4
2026-09-17T18:27:55.998,gui2/dpd_fields_examples.py,480,Button,DpdExampleField.click_clean_example,click,0.3
2026-09-17T18:28:00.973,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,0.5
2026-09-17T18:28:01.218,gui2/dpd_fields_examples.py,306,TextField,DpdExampleField._click_search_dialog_ok,submit,244.9
2026-09-17T18:28:04.096,gui2/dpd_fields_examples.py,438,RadioGroup,DpdExampleField.update_example_index,change,0.2
2026-09-17T18:28:10.034,gui2/dpd_fields_examples.py,458,TextButton,DpdExampleField.click_choose_example_ok,click,71.2
2026-09-17T18:28:10.237,.venv/lib/python3.13/site-packages/flet/controls/base_page.py,463,AlertDialog,BasePage._wrap_dialog_on_dismiss.<locals>.wrapped_on_dismiss,dismiss,0.9
2026-09-17T18:28:12.650,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,1.1
2026-09-17T18:28:12.965,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,0.5
2026-09-17T18:28:13.078,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,0.3
2026-09-17T18:28:13.235,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,1.0
2026-09-17T18:28:13.475,gui2/dpd_fields_examples.py,306,TextField,DpdExampleField._click_search_dialog_ok,submit,239.4
2026-09-17T18:28:15.617,gui2/dpd_fields_examples.py,441,TextButton,DpdExampleField.click_choose_example_cancel,click,34.9
2026-09-17T18:28:15.821,.venv/lib/python3.13/site-packages/flet/controls/base_page.py,463,AlertDialog,BasePage._wrap_dialog_on_dismiss.<locals>.wrapped_on_dismiss,dismiss,0.3
2026-09-17T18:28:17.002,gui2/dpd_fields_examples.py,574,DpdTextField,DpdExampleField.update_counter,focus,35.1
2026-09-17T18:28:18.042,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,0.5
2026-09-17T18:28:18.580,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,0.6
2026-09-17T18:28:18.990,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,0.4
2026-09-17T18:28:19.250,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,0.7
2026-09-17T18:28:19.646,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,1.1
2026-09-17T18:28:19.648,gui2/dpd_fields_examples.py,473,TextField,DpdExampleField.click_bold_example,submit,1.3
2026-09-17T18:28:19.693,gui2/dpd_fields_examples.py,314,TextField,DpdExampleField._handle_last_control_blur,blur,45.0
2026-09-17T18:28:21.867,gui2/dpd_fields_examples.py,574,DpdTextField,DpdExampleField.update_counter,focus,37.0
2026-09-17T18:28:22.645,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,0.5
2026-09-17T18:28:22.715,gui2/dpd_fields_examples.py,561,DpdTextField,DpdExampleField.clean_text,change,70.4
2026-09-17T18:28:24.082,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,0.8
2026-09-17T18:28:24.250,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,0.6
2026-09-17T18:28:24.412,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,0.6
2026-09-17T18:28:24.573,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,0.3
2026-09-17T18:28:24.727,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,0.7
2026-09-17T18:28:24.911,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,0.5
2026-09-17T18:28:25.559,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,0.6
2026-09-17T18:28:25.631,gui2/dpd_fields_examples.py,561,DpdTextField,DpdExampleField.clean_text,change,70.7
2026-09-17T18:28:25.817,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,0.6
2026-09-17T18:28:25.887,gui2/dpd_fields_examples.py,561,DpdTextField,DpdExampleField.clean_text,change,70.1
2026-09-17T18:28:26.360,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,0.6
2026-09-17T18:28:26.429,gui2/dpd_fields_examples.py,561,DpdTextField,DpdExampleField.clean_text,change,69.2
