chA	chB	ch1	ch2	eg	for
j	ā	jā	ā	kasivaṇijjādīni	general
j	ā	jā	a	rājāhaṃ	general
j	ā	ja	ā	samajjādi	general
j	ā	jā	i	rājātiādimāha	general
j	a	jiṃ	a	bhuñj'ahaṃ	general
j	e	ja	e	ajjekadivasaṃ	general
j	ī	ja	i	rāj'īsayo	general
j	i	ji	a	nikūji'haṃ	general
j	ī	jī	a	sabbajīsmīti	general
j	j		j	rūpa'j'jhāne	general
j	j	j		yatasaṅkappa'j'jhāyīti	general
j	o	jo	a	suddhasaṅkhārapuñjo'yaṃ	general
j	ū	ja	u	bījūpamena	general
k	ā	kā	a	ārakāssa	general
k	ā	ka	ā	orabbhikādīsu	general
k	a	kā	a	padak'asma	general
k	ā	kā	ā	pāduk'āruyha	general
k	a	ka	a	sakalikaggi	general
k	ā	ka	a	savitakk'āvitakka	general
k	ā	ka	i	ajanakāti	iti
k	ā	kā	i	gaṇikā'va	general
k	i	ka	i	jeṭṭhakitthiyo	general
k	ī	kī	i	kikīva	general
k	k		k	citta'k'khaṇiko	general
k	k	k		upadhi'k'khayaṃ	general
k	o	ka	o	ek'obhāsajāto	general
k	o	ko	a	ekomhi	general
k	o	ko	u	pāṭik'odumbarīceva	general
k	u	ka	u	ekucchaṅgena	general
k	ū	ka	u	khajjopanakūpamā	general
k	y	ke	a	ky'assa	general
l	ā	lā	a	abbūḷhasall'āhaṃ	general
l	a	la	a	celaṇḍakena	general
ḷ	a	ḷa	a	cūḷantevāsikassa	general
l	ā	la	ā	kālādīsu	general
ḷ	ā	ḷa	a	kīḷāvasāne	general
ḷ	ā	ḷa	ā	naḷādayo	general
l	ā	la	a	sīlālaṅkāra	general
l	ā	la	i	sīlāti	general
l	ā	le	ā	phal'āsāva	general
l	i	la	i	avikalindriyaṃ	general
l	ī	lī	i	kalī'va	general
l	o	la	o	cūḷarāhulovāde	general
ḷ	o	ḷa	u	guḷ'odaka	general
l	o	la	u	musal'odukkhalena	general
ḷ	o	ḷo	a	jaḷosi	general
l	o	lo	a	kallosi	general
l	o	lo	i	akhilo'dha	general
l	o	lo	u	musal'odukkhalena	general
l	u	la	u	bālussannāya	general
l	ū	la	u	phalūpapannaṃ	general
l	ū	lū	a	anabhijjhālūhamasmi	general
m	a		a	bālena'm'avijānatā	general
m	ā		ā	vihāramidha'm'āhu	general
m	a	ṃ	a	ahamasmi	general
m	ā	ṃ	a	sakimābhinandī	general
m	ā	ṃ	ā	sāvakamāsajja	general
m	ā	mā	ā	āyāmāvuso	general
m	a	mā	a	brahm'ajjadiṭṭho	general
m	ā	ma	ā	kammānubhāvena	general
m	ā	mā	a	mābhinandi	general
m	ā	ma	a	mamānucchavikaṃ	general
m	a	ma	a	mamassa	general
m	a	ma	e	mama'sā	general
m	ā	mā	e	metaṃ	general
m	ā	ma	i	carāmāti	iti
m	a	ma	i	mamedaṃ	general
m	a	maṃ	a	cittassūpasam'ajjhagaṃ	general
m	ā	maṃ	a	khem'ābhipassaṃ	general
m	ā	me	a	māyaṃ	general
m	a	mi	a	abhijānāmahaṃ	general
m	a	mo	a	pañcam'atthi	general
m	b	ṃ	b	garumbhāraṃ	general
ṃ	d		d	yassa'ṃ'disaṃ	general
m	e		e	idheva'm'eso	general
