bjt_sutta_code	bjt_web_code	bjt_filename	bjt_book_id	bjt_page_num	bjt_page_offset	bjt_piṭaka	bjt_nikāya	bjt_book	bjt_paṇṇāsa	bjt_vagga	bjt_sutta
an-1-3-10	an-1-3-10	an-1	22	12	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		akammaniyavaggo	1. 3. 10.
an-1-4-1	an-1-4-1	an-1	22	12	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		adantavaggo	1. 4. 1.
an-1-4-2	an-1-4-2	an-1	22	12	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		adantavaggo	1. 4. 2.
an-1-4-3	an-1-4-3	an-1	22	12	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		adantavaggo	1. 4. 3.
an-1-4-4	an-1-4-4	an-1	22	12	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		adantavaggo	1. 4. 4.
an-1-4-5	an-1-4-5	an-1	22	14	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		adantavaggo	1. 4. 5.
an-1-4-6	an-1-4-6	an-1	22	14	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		adantavaggo	1. 4. 6.
an-1-4-7	an-1-4-7	an-1	22	14	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		adantavaggo	1. 4. 7.
an-1-4-8	an-1-4-8	an-1	22	14	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		adantavaggo	1. 4. 8.
an-1-4-9	an-1-4-9	an-1	22	14	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		adantavaggo	1. 4. 9.
an-1-4-10	an-1-4-10	an-1	22	14	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		adantavaggo	1. 4. 10.
an-1-5-1	an-1-5-1	an-1	22	16	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		sūkavaggo	1. 5. 1.
an-1-5-2	an-1-5-2	an-1	22	16	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		sūkavaggo	1. 5. 2.
an-1-5-3	an-1-5-3	an-1	22	16	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		sūkavaggo	1. 5. 3.
an-1-5-4	an-1-5-4	an-1	22	16	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		sūkavaggo	1. 5. 4.
an-1-5-5	an-1-5-5	an-1	22	18	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		sūkavaggo	1. 5. 5.
an-1-5-6	an-1-5-6	an-1	22	18	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		sūkavaggo	1. 5. 6.
an-1-5-7	an-1-5-7	an-1	22	18	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		sūkavaggo	1. 5. 7.
an-1-5-8	an-1-5-8	an-1	22	18	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		sūkavaggo	1. 5. 8.
an-1-5-9	an-1-5-9	an-1	22	18	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		sūkavaggo	1. 5. 9.
an-1-5-10	an-1-5-10	an-1	22	18	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		sūkavaggo	1. 5. 10.
an-1-6-1	an-1-6-1	an-1	22	20	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		pabhassaravaggo	1. 6. 1.
an-1-6-2	an-1-6-2	an-1	22	20	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		pabhassaravaggo	1. 6. 2.
an-1-6-3	an-1-6-3	an-1	22	20	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		pabhassaravaggo	1. 6. 3.
an-1-6-4	an-1-6-4	an-1	22	20	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		pabhassaravaggo	1. 6. 4.
an-1-6-5	an-1-6-5	an-1	22	20	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		pabhassaravaggo	1. 6. 5.
an-1-6-6	an-1-6-6	an-1	22	20	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		pabhassaravaggo	1. 6. 6.
an-1-6-7	an-1-6-7	an-1	22	20	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		pabhassaravaggo	1. 6. 7.
an-1-6-8	an-1-6-8	an-1	22	22	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		pabhassaravaggo	1. 6. 8.
an-1-6-9	an-1-6-9	an-1	22	22	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		pabhassaravaggo	1. 6. 9.
an-1-6-10	an-1-6-10	an-1	22	22	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		pabhassaravaggo	1. 6. 10.
an-1-7-1	an-1-7-1	an-1	22	22	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		vīriyārambhavaggo	1. 7. 1.
an-1-7-2	an-1-7-2	an-1	22	22	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		vīriyārambhavaggo	1. 7. 2.
an-1-7-3	an-1-7-3	an-1	22	22	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		vīriyārambhavaggo	1. 7. 3.
an-1-7-4	an-1-7-4	an-1	22	24	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		vīriyārambhavaggo	1. 7. 4.
an-1-7-5	an-1-7-5	an-1	22	24	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		vīriyārambhavaggo	1. 7. 5.
an-1-7-6	an-1-7-6	an-1	22	24	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		vīriyārambhavaggo	1. 7. 6.
an-1-7-7	an-1-7-7	an-1	22	24	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		vīriyārambhavaggo	1. 7. 7.
an-1-7-8	an-1-7-8	an-1	22	24	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		vīriyārambhavaggo	1. 7. 8.
an-1-7-9	an-1-7-9	an-1	22	24	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		vīriyārambhavaggo	1. 7. 9.
an-1-7-10	an-1-7-10	an-1	22	24	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		vīriyārambhavaggo	1. 7. 10.
an-1-8-1	an-1-8-1	an-1	22	26	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		kalyāṇamittavaggo	1. 8. 1.
an-1-8-2	an-1-8-2	an-1	22	26	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		kalyāṇamittavaggo	1. 8. 2.
