bjt_sutta_code   	 bjt_web_code	 bjt_filename	 bjt_book_id	 bjt_page_num	 bjt_page_offset	 bjt_piṭaka    	 bjt_nikāya     	 bjt_major_section	 bjt_book	 bjt_minor_section                	 bjt_vagga                	 bjt_sutta
1. 4. 4          	 an-1-4-4    	 an-1        	          22	           12	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 4. adantavaggo           	 1. 4. 4.
1. 4. 5          	 an-1-4-5    	 an-1        	          22	           14	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 4. adantavaggo           	 1. 4. 5.
1. 4. 6          	 an-1-4-6    	 an-1        	          22	           14	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 4. adantavaggo           	 1. 4. 6.
1. 4. 7          	 an-1-4-7    	 an-1        	          22	           14	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 4. adantavaggo           	 1. 4. 7.
1. 4. 8          	 an-1-4-8    	 an-1        	          22	           14	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 4. adantavaggo           	 1. 4. 8.
1. 4. 9          	 an-1-4-9    	 an-1        	          22	           14	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 4. adantavaggo           	 1. 4. 9.
1. 4. 10         	 an-1-4-10   	 an-1        	          22	           14	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 4. adantavaggo           	 1. 4. 10.
1. 5. 1          	 an-1-5-1    	 an-1        	          22	           16	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 5. sūkavaggo             	 1. 5. 1.
1. 5. 2          	 an-1-5-2    	 an-1        	          22	           16	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 5. sūkavaggo             	 1. 5. 2.
1. 5. 3          	 an-1-5-3    	 an-1        	          22	           16	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 5. sūkavaggo             	 1. 5. 3.
1. 5. 4          	 an-1-5-4    	 an-1        	          22	           16	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 5. sūkavaggo             	 1. 5. 4.
1. 5. 5          	 an-1-5-5    	 an-1        	          22	           18	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 5. sūkavaggo             	 1. 5. 5.
1. 5. 6          	 an-1-5-6    	 an-1        	          22	           18	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 5. sūkavaggo             	 1. 5. 6.
1. 5. 7          	 an-1-5-7    	 an-1        	          22	           18	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 5. sūkavaggo             	 1. 5. 7.
1. 5. 8          	 an-1-5-8    	 an-1        	          22	           18	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 5. sūkavaggo             	 1. 5. 8.
1. 5. 9          	 an-1-5-9    	 an-1        	          22	           18	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 5. sūkavaggo             	 1. 5. 9.
1. 5. 10         	 an-1-5-10   	 an-1        	          22	           18	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 5. sūkavaggo             	 1. 5. 10.
1. 6. 1          	 an-1-6-1    	 an-1        	          22	           20	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 6. pabhassaravaggo       	 1. 6. 1.
1. 6. 2          	 an-1-6-2    	 an-1        	          22	           20	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 6. pabhassaravaggo       	 1. 6. 2.
1. 6. 3          	 an-1-6-3    	 an-1        	          22	           20	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 6. pabhassaravaggo       	 1. 6. 3.
1. 6. 4          	 an-1-6-4    	 an-1        	          22	           20	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 6. pabhassaravaggo       	 1. 6. 4.
1. 6. 5          	 an-1-6-5    	 an-1        	          22	           20	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 6. pabhassaravaggo       	 1. 6. 5.
1. 6. 6          	 an-1-6-6    	 an-1        	          22	           20	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 6. pabhassaravaggo       	 1. 6. 6.
1. 6. 7          	 an-1-6-7    	 an-1        	          22	           20	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 6. pabhassaravaggo       	 1. 6. 7.
1. 6. 8          	 an-1-6-8    	 an-1        	          22	           22	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 6. pabhassaravaggo       	 1. 6. 8.
1. 6. 9          	 an-1-6-9    	 an-1        	          22	           22	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 6. pabhassaravaggo       	 1. 6. 9.
1. 6. 10         	 an-1-6-10   	 an-1        	          22	           22	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 6. pabhassaravaggo       	 1. 6. 10.
1. 7. 1          	 an-1-7-1    	 an-1        	          22	           22	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 7. vīriyārambhavaggo     	 1. 7. 1.
1. 7. 2          	 an-1-7-2    	 an-1        	          22	           22	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 7. vīriyārambhavaggo     	 1. 7. 2.
1. 7. 3          	 an-1-7-3    	 an-1        	          22	           22	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 7. vīriyārambhavaggo     	 1. 7. 3.
1. 7. 4          	 an-1-7-4    	 an-1        	          22	           24	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 7. vīriyārambhavaggo     	 1. 7. 4.
1. 7. 5          	 an-1-7-5    	 an-1        	          22	           24	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 7. vīriyārambhavaggo     	 1. 7. 5.
1. 7. 6          	 an-1-7-6    	 an-1        	          22	           24	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 7. vīriyārambhavaggo     	 1. 7. 6.
1. 7. 7          	 an-1-7-7    	 an-1        	          22	           24	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 7. vīriyārambhavaggo     	 1. 7. 7.
1. 7. 8          	 an-1-7-8    	 an-1        	          22	           24	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 7. vīriyārambhavaggo     	 1. 7. 8.
1. 7. 9          	 an-1-7-9    	 an-1        	          22	           24	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 7. vīriyārambhavaggo     	 1. 7. 9.
1. 7. 10         	 an-1-7-10   	 an-1        	          22	           24	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 7. vīriyārambhavaggo     	 1. 7. 10.
1. 8. 1          	 an-1-8-1    	 an-1        	          22	           26	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 8. kalyāṇamittavaggo     	 1. 8. 1.
1. 8. 2          	 an-1-8-2    	 an-1        	          22	           26	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 8. kalyāṇamittavaggo     	 1. 8. 2.
1. 8. 3          	 an-1-8-3    	 an-1        	          22	           26	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 8. kalyāṇamittavaggo     	 1. 8. 3.
1. 8. 4          	 an-1-8-4    	 an-1        	          22	           26	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 8. kalyāṇamittavaggo     	 1. 8. 4.
1. 8. 5          	 an-1-8-5    	 an-1        	          22	           26	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 8. kalyāṇamittavaggo     	 1. 8. 5.
1. 8. 6          	 an-1-8-6    	 an-1        	          22	           26	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 8. kalyāṇamittavaggo     	 1. 8. 6.
1. 8. 7          	 an-1-8-7    	 an-1        	          22	           28	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 8. kalyāṇamittavaggo     	 1. 8. 7.
1. 8. 8          	 an-1-8-8    	 an-1        	          22	           28	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 8. kalyāṇamittavaggo     	 1. 8. 8.
1. 8. 9          	 an-1-8-9    	 an-1        	          22	           28	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 8. kalyāṇamittavaggo     	 1. 8. 9.
1. 8. 10         	 an-1-8-10   	 an-1        	          22	           28	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 8. kalyāṇamittavaggo     	 1. 8. 10.
1. 8. 11         	 an-1-8-11   	 an-1        	          22	           28	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 8. kalyāṇamittavaggo     	 1. 8. 11.
1. 9. 1          	 an-1-9-1    	 an-1        	          22	           28	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 9. pamādavaggo           	 1. 9. 1.
1. 9. 2          	 an-1-9-2    	 an-1        	          22	           28	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 9. pamādavaggo           	 1. 9. 2.
