bjt_sutta_code	 bjt_web_code	 bjt_filename	 bjt_book_id	 bjt_page_num	 bjt_page_offset	 bjt_piṭaka    	 bjt_nikāya    	 bjt_major_section	 bjt_book            	 bjt_minor_section	 bjt_vagga           	 bjt_sutta
mn 1. 3. 7.   	 mn-1-3-7    	 mn-1-3      	          13	          426	               0	 suttantapiṭake	 majjhimanikāyo	                  	 1. mūlapaṇṇāsako    	                  	 3. opammavaggo      	 7. cūḷahatthipadopamasuttaṃ
mn 1. 3. 8.   	 mn-1-3-8    	 mn-1-3      	          13	          448	               0	 suttantapiṭake	 majjhimanikāyo	                  	 1. mūlapaṇṇāsako    	                  	 3. opammavaggo      	 8. mahāhatthipadopamasuttaṃ
mn 1. 3. 9.   	 mn-1-3-9    	 mn-1-3      	          13	          462	               0	 suttantapiṭake	 majjhimanikāyo	                  	 1. mūlapaṇṇāsako    	                  	 3. opammavaggo      	 9. mahāsāropamasuttaṃ
mn 1. 3. 10.  	 mn-1-3-10   	 mn-1-3      	          13	          478	               0	 suttantapiṭake	 majjhimanikāyo	                  	 1. mūlapaṇṇāsako    	                  	 3. opammavaggo      	 10. cūḷasāropamasuttaṃ
mn 1. 4. 1.   	 mn-1-4-1    	 mn-1-4      	          13	          494	               0	 suttantapiṭake	 majjhimanikāyo	                  	 1. mūlapaṇṇāsako    	                  	 4. mahāyamakavaggo  	 1. cūḷagosiṅgasuttaṃ
mn 1. 4. 2.   	 mn-1-4-2    	 mn-1-4      	          13	          508	               0	 suttantapiṭake	 majjhimanikāyo	                  	 1. mūlapaṇṇāsako    	                  	 4. mahāyamakavaggo  	 2. mahāgosiṅgasuttaṃ
mn 1. 4. 3.   	 mn-1-4-3    	 mn-1-4      	          13	          526	               0	 suttantapiṭake	 majjhimanikāyo	                  	 1. mūlapaṇṇāsako    	                  	 4. mahāyamakavaggo  	 3. mahāgopālakasuttaṃ
mn 1. 4. 4.   	 mn-1-4-4    	 mn-1-4      	          13	          536	               0	 suttantapiṭake	 majjhimanikāyo	                  	 1. mūlapaṇṇāsako    	                  	 4. mahāyamakavaggo  	 4. cūḷagopālakasuttaṃ
mn 1. 4. 5.   	 mn-1-4-5    	 mn-1-4      	          13	          540	               0	 suttantapiṭake	 majjhimanikāyo	                  	 1. mūlapaṇṇāsako    	                  	 4. mahāyamakavaggo  	 5. cūḷasaccakasuttaṃ
mn 1. 4. 6.   	 mn-1-4-6    	 mn-1-4      	          13	          560	               0	 suttantapiṭake	 majjhimanikāyo	                  	 1. mūlapaṇṇāsako    	                  	 4. mahāyamakavaggo  	 6. mahāsaccakasuttaṃ
