bjt_sutta_code	bjt_web_code	bjt_filename	bjt_book_id	bjt_page_num	bjt_page_offset	bjt_piṭaka	bjt_nikāya	bjt_book	bjt_minor_section	bjt_vagga	bjt_sutta
kn-dhp-12	kn-dhp-12	kn-dhp	28	64	0	suttantapiṭake	khuddakanikāyo	dhammapadapāḷi		attavaggo	
kn-dhp-13	kn-dhp-13	kn-dhp	28	66	0	suttantapiṭake	khuddakanikāyo	dhammapadapāḷi		lokavaggo	
kn-dhp-14	kn-dhp-14	kn-dhp	28	70	0	suttantapiṭake	khuddakanikāyo	dhammapadapāḷi		buddhavaggo	
kn-dhp-15	kn-dhp-15	kn-dhp	28	74	0	suttantapiṭake	khuddakanikāyo	dhammapadapāḷi		sukhavaggo	
kn-dhp-16	kn-dhp-16	kn-dhp	28	78	0	suttantapiṭake	khuddakanikāyo	dhammapadapāḷi		piyavaggo	
kn-dhp-17	kn-dhp-17	kn-dhp	28	80	0	suttantapiṭake	khuddakanikāyo	dhammapadapāḷi		kodhavaggo	
kn-dhp-18	kn-dhp-18	kn-dhp	28	84	0	suttantapiṭake	khuddakanikāyo	dhammapadapāḷi		malavaggo	
kn-dhp-19	kn-dhp-19	kn-dhp	28	88	0	suttantapiṭake	khuddakanikāyo	dhammapadapāḷi		dhammaṭṭhavaggo	
kn-dhp-20	kn-dhp-20	kn-dhp	28	92	0	suttantapiṭake	khuddakanikāyo	dhammapadapāḷi		maggavaggo	
kn-dhp-21	kn-dhp-21	kn-dhp	28	96	0	suttantapiṭake	khuddakanikāyo	dhammapadapāḷi		pakiṇṇakavaggo	
kn-dhp-22	kn-dhp-22	kn-dhp	28	100	0	suttantapiṭake	khuddakanikāyo	dhammapadapāḷi		nirayavaggo	
kn-dhp-23	kn-dhp-23	kn-dhp	28	104	0	suttantapiṭake	khuddakanikāyo	dhammapadapāḷi		nāgavaggo	
kn-dhp-24	kn-dhp-24	kn-dhp	28	108	0	suttantapiṭake	khuddakanikāyo	dhammapadapāḷi		taṇhāvaggo	
kn-dhp-25	kn-dhp-25	kn-dhp	28	114	0	suttantapiṭake	khuddakanikāyo	dhammapadapāḷi		bhikkhuvaggo	
kn-dhp-26	kn-dhp-26	kn-dhp	28	118	0	suttantapiṭake	khuddakanikāyo	dhammapadapāḷi		brāhmaṇavaggo	
kn-ud-1-1	kn-ud-1-1	kn-ud	28	130	0	suttantapiṭake	khuddakanikāyo	udānapāḷi		bodhivaggo paṭhamo	paṭhamabodhisuttaṃ
kn-ud-1-2	kn-ud-1-2	kn-ud	28	132	0	suttantapiṭake	khuddakanikāyo	udānapāḷi		bodhivaggo paṭhamo	dutiyabodhisuttaṃ
kn-ud-1-3	kn-ud-1-3	kn-ud	28	132	0	suttantapiṭake	khuddakanikāyo	udānapāḷi		bodhivaggo paṭhamo	tatiyabodhisuttaṃ
kn-ud-1-4	kn-ud-1-4	kn-ud	28	134	0	suttantapiṭake	khuddakanikāyo	udānapāḷi		bodhivaggo paṭhamo	nigrodhasuttaṃ
kn-ud-1-5	kn-ud-1-5	kn-ud	28	136	0	suttantapiṭake	khuddakanikāyo	udānapāḷi		bodhivaggo paṭhamo	brāhmaṇasuttaṃ
kn-ud-1-6	kn-ud-1-6	kn-ud	28	136	0	suttantapiṭake	khuddakanikāyo	udānapāḷi		bodhivaggo paṭhamo	kassapasuttaṃ
kn-ud-1-7	kn-ud-1-7	kn-ud	28	138	0	suttantapiṭake	khuddakanikāyo	udānapāḷi		bodhivaggo paṭhamo	pāvāsuttaṃ
kn-ud-1-8	kn-ud-1-8	kn-ud	28	138	0	suttantapiṭake	khuddakanikāyo	udānapāḷi		bodhivaggo paṭhamo	saṅgāmajisuttaṃ
kn-ud-1-9	kn-ud-1-9	kn-ud	28	140	0	suttantapiṭake	khuddakanikāyo	udānapāḷi		bodhivaggo paṭhamo	jaṭilasuttaṃ
kn-ud-1-10	kn-ud-1-10	kn-ud	28	142	0	suttantapiṭake	khuddakanikāyo	udānapāḷi		bodhivaggo paṭhamo	bāhiyasuttaṃ
kn-ud-2-1	kn-ud-2-1	kn-ud	28	148	0	suttantapiṭake	khuddakanikāyo	udānapāḷi		mucalindavaggo dutiyo	mucalindasuttaṃ
