root_key	root_group	root_sign	root_meaning	sanskrit_root	sanskrit_root_class	sanskrit_root_meaning	pali_root_family	sanskrit_root_family	sanskrit_dump
√ādā	3	ya	take, seize	√dā	1, 2, 3, 4	give	apa √ādā	apādā	apādāna
√ādā	3	ya	take, seize	√dā	1, 2, 3, 4	give	upa √ādā	upādā	upādatte, upādīyamāna, upādāya, upādāna, sa + upādāna, na + upādāna, upātta +, upādānīya, na + upādīyamāna, upādāyat, na + upādāyat, na + upādānīya, na +, upātta
√ādā	3	ya	take, seize	√dā	1, 2, 3, 4	give	pari √ādā	paryādā	paryādetum, paryādāna, na + paryādāna, paryādītvā, aparyātta, na +, paryādāya, paryātta
√ādā	3	*āpe	take, seize	√dā	1, 2, 3, 4	give	saṃ √ādā	samādā	samādītvā, samādetum, samādāpayati, samādāpayāyitum, samādadāti, samādāpaka, su + samātta (bsk), dus + samātta (bsk), samādatta, samādāyat, samādāpayat, samādeya, samādetavya, samādāna, samātta, samādatte, samādāpana, samādāpayitavya, samādāya
√āp	4	uṇā	be wet	ap	-	water	√āp	ap	āpa, āpāt, āpas, āpas +
√ās	1	a	sit	√ās	2	sit	√ās	ās	na + āsana, āste, āsanika, āsīna, āsyati, āsana, āsiṣṭa
√ās	1	a	sit	√ās	2	sit	upa √ās	upās	upāsāna, upāsitṛ, upāsaka, anupāsita, upāsita, upāsana, upāsikā, upāste
√ās	1	a	sit	√ās	2	sit	pari upa √ās	paryupās	paryupāsita, paryupāsitvā, paryupāste, paryupāstvā, paryupāsitavya, paryupāsanā, paryupāsitṛ, paryupāsana
√ās	1	a	sit	√ās	2	sit	saṃ √ās	samās	samāste, samāsa, samāsatas
√i 1	1	a	come, go	√i	1, 2	go	√i	i	eṣyant, eṣyat, īt, eyāt, aya, anaya, na + et, sa + īti +, etu, anīt, ayana, nairayika, anīti +, eta, eh, eṣyas, ita, etum / etave, et, ayat, niraya
√i 1	1	a	come, go	√i	1, 2	go	ati √i	atī	atīyate, atīta, atyāsam, atyaya, atyeti, atīta +, ātyayika, atīte, atītam, na + atīta, duratyaya (inaccessible)
√i 1	1	a	come, go	√i	1, 2	go	ati saṃ pa √i		ati + sāṃpreya (bsk)
√i 1	1	a	come, go	√i	1, 2	go	adhi upa √i		abhyupeta
√i 1	1	a	come, go	√i	1, 2	go	adhi pa √i	adhiprī	abhipreta, abhiprāya
√i 1	1	a	come, go	√i	1, 2	go	anu √i	anve	na + anvayat, anvaya, anvayat, anvaiti, duranvaya
√i 1	1	a	come, go	√i	1, 2	go	anu pa √i	anupre	
√i 1	1	a	come, go	√i	1, 2	go	anu pari √i	anuparye	
√i 1	1	a	come, go	√i	1, 2	go	apa √i	ape	apetya, anapāyin, anapāya, apāya, apāyin, apaiti, apāyati, na + apaiti, apāyati, apeta, āpāyika
√i 1	1	a	come, go	√i	1, 2	go	abhi ati √i	abhyatī	abhyatīta, abhyati
√i 1	1	a	come, go	√i	1, 2	go	abhi ud √i	abhyude	abhyudeti, abhyudayati
√i 1	1	a	come, go	√i	1, 2	go	abhi saṃ √i	abhisami	abhisametya, abhisamītvā, abhisamitāvin (bsk), abhisameti, abhisameta (assembled), abhisamaya, na + abhisameta (not assembled), na + abhisametya, na + abhisamaya, abhisamita, abhisamayat
√i 1	1	a	come, go	√i	1, 2	go	abhi saṃ parā √i		abhisamparāya, abhi + sāmparāya
√i 1	1	a	come, go	√i	1, 2	go	ava √i	ave	avetya (bsk)
√i 1	1	a	come, go	√i	1, 2	go	ā √i		āyuṣmat, āyuṣka, āyuṣmat, āya, āyus, āyuṣmān, āyuṣā, āyuṣman (vocative of āyuṣmat)
√i 1	1	a	come, go	√i	1, 2	go	ud √i	udi	sa + udaya, udāyin (bsk), udeti, udīcī, udita, udaya, udīcya
√i 1	1	a	come, go	√i	1, 2	go	upa √i	upe	upāya, anupeta, upeta, sopāna, upāya +, upāya (approach), upeti, upeṣyati, dur + upeta, upetya, upeṣyasi, anupayat, na + upeti
