root_key	root_group	root_sign	root_meaning	sanskrit_root	sanskrit_root_class	sanskrit_root_meaning	pali_root_family	sanskrit_root_family	sanskrit_dump
√phand	1	a	shake, quiver	√spand	1	quiver	vi √phand	vispand	+ spandamāna, vispandana, vispandamāna, vispandita, vispandya
√phar	1	a	suffuse, pervade	√sphar √sphṛ	6	expand	√phar	sphar	asphuṭa, asphorīt, spharaṇa, spharamāṇa, spharitavya, sphartvā, sphārayat, sphuṭa, sphur, sphurati, sphuritum
√phar	1	a	suffuse, pervade	√sphar √sphṛ	6	expand	anu √phar	-	
√phar	1	a	suffuse, pervade	√sphar √sphṛ	6	expand	ava √phar		ava + sphuṭa
√phar	1	a	suffuse, pervade	√sphar √sphṛ	6	expand	ni √phar	-	
√phar	1	a	suffuse, pervade	√sphar √sphṛ	6	expand	pati √phar	-	na + pratisphurati, pratisphurati, pratisphurta
√phar	1	a	suffuse, pervade	√sphar √sphṛ	6	expand	pari √phar	parisphar	parispharati, parisphuṭa
√phar	1	a	suffuse, pervade	√sphar √sphṛ	6	expand	vi √phar	visphar	visphāra
√phal 1	1	a	split open	√phal √sphaṭ	1	burst	√phal	phal	aphālīt, phala, phalaka, phalat, phalati, phalgu, phāla, phālayaitvā, phālayat, phālayati, sphaṭika, sphaṭika, sphāṭīka, sphāṭita, sphoṭana
√phal 1	1	*e	split open	√phal √sphaṭ	1	burst	ud √phal	utphal	
√phal 1	1	*e	split open	√phal √sphaṭ	1	burst	vi √phal	viphal	sphāṭita
√phal 2	1	a	fruit, ripen	√phal	1	fruit	√phal	phal	aphala, na + aphala, na + niṣphala, niṣphala, phala, phalat, phalati, phalin, saphala, phalita, saphala
√phal 2	1	a	fruit, ripen	√phal	1	fruit	vi √phal	viphal	
√phā	1	a	swell, get fat	√sphāy √sphā	1	fatten	√phā	sphāy	sphāti, sphīta
√phuṭ 1	8	*e	beat, smash	√sphuṭ	1, 6	burst	√phuṭ	sphuṭ	sprṣṭa, sphuṭayati, sphuṭayitvā, sphoṭana (splitting)
√phuṭ 1	8	*aya	beat, smash	√sphuṭ	1, 6	burst	ā √phuṭ	āsphuṭ	āsphoṭayat, āsphoṭayati
√phuṭ 1	8	*e	beat, smash	√sphuṭ	1, 6	burst	ni √phuṭ	sphuṭ	nir + sphuṭayati, prasphoṭana, sphoṭa
√phuṭ 1	8	*e	beat, smash	√sphuṭ	1, 6	burst	pa √phuṭ	prasphuṭ	prasphuṭayitvā
√phuṭ 2	1	a	swell, burst	√sphuṭ	1, 6	burst	√phuṭ	sphuṭ	sphuṭa, sphoṭa
√phuṭ 2	1	*e	swell, burst	√sphuṭ	1, 6	burst	vi √phuṭ	visphuṭ	visphuṭita
√phuṭ 2	1	a	swell, burst	√sphuṭ	1, 6	burst	saṃ √phuṭ	sphuṭ	saṃsphuṭa
√phull	1	a	expand, bloom	√phull	1	expand	√phull		phulla, suphulla
√phull	1	a	expand, bloom	√phull	1	expand	pari √phull		pratiphullaka
√phull	1	a	expand, bloom	√phull	1	expand	saṃ √phull		
