book	book_code	dpd_code	cst_code	cst_nikaya	cst_book	cst_section	cst_vagga	cst_sutta	cst_paranum	cst_m_page	cst_v_page	cst_p_page	cst_t_page	cst_file
Aṅguttara Nikāya	AN	AN8.1-30	an8.1.3.1	Aṅguttaranikāyo	Aṭṭhakanipātapāḷi	1. Paṭhamapaṇṇāsakaṃ	3. Gahapativaggo	1. Paṭhamauggasuttaṃ	1	3.0047	3.0046	4.0208	4.0211	romn/s0404m1.mul.xml
Aṅguttara Nikāya	AN	AN8.1-40	an8.1.4.1	Aṅguttaranikāyo	Aṭṭhakanipātapāḷi	1. Paṭhamapaṇṇāsakaṃ	4. Dānavaggo	1. Paṭhamadānasuttaṃ	1	3.0068	3.0068	4.0235	4.0240	romn/s0404m1.mul.xml
Aṅguttara Nikāya	AN	AN8.1-50	an8.1.5.1	Aṅguttaranikāyo	Aṭṭhakanipātapāḷi	1. Paṭhamapaṇṇāsakaṃ	5. Uposathavaggo	1. Saṅkhittūposathasuttaṃ	1	3.0078	3.0079	4.0248	4.0253	romn/s0404m1.mul.xml
Aṅguttara Nikāya	AN	AN8.1-60	an8.2.1.1	Aṅguttaranikāyo	Aṭṭhakanipātapāḷi	2. Dutiyapaṇṇāsakaṃ	1. Gotamīvaggo	1. Gotamīsuttaṃ	1	3.0100	3.0102	4.0273	4.0280	romn/s0404m1.mul.xml
Aṅguttara Nikāya	AN	AN8.1-70	an8.2.2.1	Aṅguttaranikāyo	Aṭṭhakanipātapāḷi	2. Dutiyapaṇṇāsakaṃ	2. Bhūmicālavaggo	1. Icchāsuttaṃ	1	3.0116	3.0119	4.0293	4.0302	romn/s0404m1.mul.xml
Aṅguttara Nikāya	AN	AN8.1-80	an8.2.3.1	Aṅguttaranikāyo	Aṭṭhakanipātapāḷi	2. Dutiyapaṇṇāsakaṃ	3. Yamakavaggo	1. Paṭhamasaddhāsuttaṃ	1	3.0133	3.0137	4.0314	4.0324	romn/s0404m1.mul.xml
Aṅguttara Nikāya	AN	AN8.1-90	an8.2.4.1	Aṅguttaranikāyo	Aṭṭhakanipātapāḷi	2. Dutiyapaṇṇāsakaṃ	4. Sativaggo	1. Satisampajaññasuttaṃ	1	3.0150	3.0156	4.0336	4.0348	romn/s0404m1.mul.xml
Aṅguttara Nikāya	AN	AN8.117-119	an8.3.117	Aṅguttaranikāyo	Aṭṭhakanipātapāḷi	2. Dutiyapaṇṇāsakaṃ	(11). Rāgapeyyālaṃ		117	3.0160	3.0167	4.0348	4.0359	romn/s0404m1.mul.xml
Aṅguttara Nikāya	AN	AN9.1-10	an9.1.1.1	Aṅguttaranikāyo	Navakanipātapāḷi	1. Paṭhamapaṇṇāsakaṃ	1. Sambodhivaggo	1. Sambodhisuttaṃ	1					romn/s0404m2.mul.xml
Aṅguttara Nikāya	AN	AN9.1-20	an9.1.2.1	Aṅguttaranikāyo	Navakanipātapāḷi	1. Paṭhamapaṇṇāsakaṃ	2. Sīhanādavaggo	1. Sīhanādasuttaṃ	1	3.0180	3.0189	4.0373	4.0386	romn/s0404m2.mul.xml
Aṅguttara Nikāya	AN	AN9.1-31	an9.1.3.1	Aṅguttaranikāyo	Navakanipātapāḷi	1. Paṭhamapaṇṇāsakaṃ	3. Sattāvāsavaggo	1. Tiṭhānasuttaṃ	1	3.0197	3.0206	4.0396	4.0408	romn/s0404m2.mul.xml
Aṅguttara Nikāya	AN	AN9.1-41	an9.1.4.1	Aṅguttaranikāyo	Navakanipātapāḷi	1. Paṭhamapaṇṇāsakaṃ	4. Mahāvaggo	1. Anupubbavihārasuttaṃ	1	3.0209	3.0218	4.0409	4.0424	romn/s0404m2.mul.xml
Aṅguttara Nikāya	AN	AN9.1-51	an9.1.5.1	Aṅguttaranikāyo	Navakanipātapāḷi	1. Paṭhamapaṇṇāsakaṃ	5. Sāmaññavaggo	1. Sambādhasuttaṃ	1	3.0241	3.0251	4.0448	4.0469	romn/s0404m2.mul.xml
Aṅguttara Nikāya	AN	AN9.1-62	an9.2.1.1	Aṅguttaranikāyo	Navakanipātapāḷi	2. Dutiyapaṇṇāsakaṃ	1. Khemavaggo	1. Khemasuttaṃ	1	3.0247	3.0258	4.0455	4.0476	romn/s0404m2.mul.xml
Aṅguttara Nikāya	AN	AN9.1-72	an9.2.2.1	Aṅguttaranikāyo	Navakanipātapāḷi	2. Dutiyapaṇṇāsakaṃ	2. Satipaṭṭhānavaggo	1. Sikkhādubbalyasuttaṃ	1	3.0249	3.0261	4.0457	4.0478	romn/s0404m2.mul.xml
Aṅguttara Nikāya	AN	AN9.1-82	an9.2.3.1	Aṅguttaranikāyo	Navakanipātapāḷi	2. Dutiyapaṇṇāsakaṃ	3. Sammappadhānavaggo	1. Sikkhasuttaṃ	1	3.0253	3.0266	4.0462	4.0483	romn/s0404m2.mul.xml
Aṅguttara Nikāya	AN	AN9.1-92	an9.2.4.1	Aṅguttaranikāyo	Navakanipātapāḷi	2. Dutiyapaṇṇāsakaṃ	4. Iddhipādavaggo	1. Sikkhasuttaṃ	1	3.0255	3.0268	4.0463	4.0485	romn/s0404m2.mul.xml
Aṅguttara Nikāya	AN	AN9.93-94	an9.2.5.93	Aṅguttaranikāyo	Navakanipātapāḷi	2. Dutiyapaṇṇāsakaṃ	5. Rāgapeyyālaṃ		93	3.0256	3.0270	4.0464	4.0486	romn/s0404m2.mul.xml
Aṅguttara Nikāya	AN	AN10.1-10	an10.1.1.1	Aṅguttaranikāyo	Dasakanipātapāḷi	1. Paṭhamapaṇṇāsakaṃ	1. Ānisaṃsavaggo	1. Kimatthiyasuttaṃ	1					romn/s0404m3.mul.xml
Aṅguttara Nikāya	AN	AN10.1-20	an10.1.2.1	Aṅguttaranikāyo	Dasakanipātapāḷi	1. Paṭhamapaṇṇāsakaṃ	2. Nāthavaggo	1. Senāsanasuttaṃ	1	3.0267	3.0012	5.0014	5.0016	romn/s0404m3.mul.xml
Aṅguttara Nikāya	AN	AN10.1-30	an10.1.3.1	Aṅguttaranikāyo	Dasakanipātapāḷi	1. Paṭhamapaṇṇāsakaṃ	3. Mahāvaggo	1. Sīhanādasuttaṃ	1	3.0282	3.0028	5.0032	5.0034	romn/s0404m3.mul.xml
Aṅguttara Nikāya	AN	AN10.1-40	an10.1.4.1	Aṅguttaranikāyo	Dasakanipātapāḷi	1. Paṭhamapaṇṇāsakaṃ	4. Upālivaggo	1. Upālisuttaṃ	1	3.0311	3.0057	5.0070	5.0074	romn/s0404m3.mul.xml
Aṅguttara Nikāya	AN	AN10.1-50	an10.1.5.1	Aṅguttaranikāyo	Dasakanipātapāḷi	1. Paṭhamapaṇṇāsakaṃ	5. Akkosavaggo	1. Vivādasuttaṃ	1	3.0316	3.0063	5.0077	5.0080	romn/s0404m3.mul.xml
Aṅguttara Nikāya	AN	AN10.1-60	an10.2.1.1	Aṅguttaranikāyo	Dasakanipātapāḷi	2. Dutiyapaṇṇāsakaṃ	1. Sacittavaggo	1. Sacittasuttaṃ	1	3.0328	3.0076	5.0092	5.0096	romn/s0404m3.mul.xml
Aṅguttara Nikāya	AN	AN10.1-70	an10.2.2.1	Aṅguttaranikāyo	Dasakanipātapāḷi	2. Dutiyapaṇṇāsakaṃ	2. Yamakavaggo	1. Avijjāsuttaṃ	1	3.0345	3.0093	5.0112	5.0120	romn/s0404m3.mul.xml
Aṅguttara Nikāya	AN	AN10.1-80	an10.2.3.1	Aṅguttaranikāyo	Dasakanipātapāḷi	2. Dutiyapaṇṇāsakaṃ	3. Ākaṅkhavaggo	1. Ākaṅkhasuttaṃ	1	3.0360	3.0108	5.0131	5.0141	romn/s0404m3.mul.xml
Aṅguttara Nikāya	AN	AN10.1-90	an10.2.4.1	Aṅguttaranikāyo	Dasakanipātapāḷi	2. Dutiyapaṇṇāsakaṃ	4. Theravaggo	1. Vāhanasuttaṃ	1	3.0376	3.0125	5.0151	5.0161	romn/s0404m3.mul.xml
Aṅguttara Nikāya	AN	AN10.1-100	an10.2.5.1	Aṅguttaranikāyo	Dasakanipātapāḷi	2. Dutiyapaṇṇāsakaṃ	5. Upālivaggo	1. Kāmabhogīsuttaṃ	1	3.0398	3.0149	5.0176	5.0188	romn/s0404m3.mul.xml
Aṅguttara Nikāya	AN	AN10.1-112	an10.3.1.1	Aṅguttaranikāyo	Dasakanipātapāḷi	3. Tatiyapaṇṇāsakaṃ	1. Samaṇasaññāvaggo	1. Samaṇasaññāsuttaṃ	1	3.0426	3.0178	5.0210	5.0224	romn/s0404m3.mul.xml
Aṅguttara Nikāya	AN	AN10.1-122	an10.3.2.1	Aṅguttaranikāyo	Dasakanipātapāḷi	3. Tatiyapaṇṇāsakaṃ	2. Paccorohaṇivaggo	1. Paṭhamaadhammasuttaṃ	1	3.0436	3.0189	5.0222	5.0238	romn/s0404m3.mul.xml
Aṅguttara Nikāya	AN	AN10.1-133	an10.3.3.1	Aṅguttaranikāyo	Dasakanipātapāḷi	3. Tatiyapaṇṇāsakaṃ	3. Parisuddhavaggo	1. Paṭhamasuttaṃ	1	3.0450	3.0204	5.0237	5.0255	romn/s0404m3.mul.xml
Aṅguttara Nikāya	AN	AN10.1-144	an10.3.4.1	Aṅguttaranikāyo	Dasakanipātapāḷi	3. Tatiyapaṇṇāsakaṃ	4. Sādhuvaggo	1. Sādhusuttaṃ	1	3.0452	3.0207	5.0240	5.0258	romn/s0404m3.mul.xml
Aṅguttara Nikāya	AN	AN10.1-154	an10.3.5.1	Aṅguttaranikāyo	Dasakanipātapāḷi	3. Tatiyapaṇṇāsakaṃ	5. Ariyavaggo	1. Ariyamaggasuttaṃ	1	3.0455	3.0211	5.0244	5.0261	romn/s0404m3.mul.xml
Aṅguttara Nikāya	AN	AN10.1-155	an10.4.1.1	Aṅguttaranikāyo	Dasakanipātapāḷi	4. Catutthapaṇṇāsakaṃ	1. Puggalavaggo	1. Sevitabbasuttaṃ	1	3.0457	3.0214	5.0247	5.0265	romn/s0404m3.mul.xml
Aṅguttara Nikāya	AN	AN10.1-177	an10.4.2.1	Aṅguttaranikāyo	Dasakanipātapāḷi	4. Catutthapaṇṇāsakaṃ	2. Jāṇussoṇivaggo	1. Brāhmaṇapaccorohaṇīsuttaṃ	1	3.0459	3.0216	5.0249	5.0267	romn/s0404m3.mul.xml
Aṅguttara Nikāya	AN	AN10.1-188	an10.4.3.1	Aṅguttaranikāyo	Dasakanipātapāḷi	4. Catutthapaṇṇāsakaṃ	3. Sādhuvaggo	1. Sādhusuttaṃ	1	3.0482	3.0241	5.0273	5.0295	romn/s0404m3.mul.xml
Aṅguttara Nikāya	AN	AN10.1-198	an10.4.4.1	Aṅguttaranikāyo	Dasakanipātapāḷi	4. Catutthapaṇṇāsakaṃ	4. Ariyamaggavaggo	1. Ariyamaggasuttaṃ	1	3.0485	3.0245	5.0277	5.0299	romn/s0404m3.mul.xml
Aṅguttara Nikāya	AN	AN10.199-210	an10.4.5.199	Aṅguttaranikāyo	Dasakanipātapāḷi	4. Catutthapaṇṇāsakaṃ	5. Aparapuggalavaggo		199	3.0488	3.0249	5.0281	5.0302	romn/s0404m3.mul.xml
Aṅguttara Nikāya	AN	AN10.1-220	an10.5.1	Aṅguttaranikāyo	Dasakanipātapāḷi	4. Catutthapaṇṇāsakaṃ	1. Karajakāyavaggo	1. Paṭhamanirayasaggasuttaṃ	1	3.0489	3.0251	5.0282	5.0304	romn/s0404m3.mul.xml
Aṅguttara Nikāya	AN	AN10.221-224	an10.6.221	Aṅguttaranikāyo	Dasakanipātapāḷi	4. Catutthapaṇṇāsakaṃ	2. Sāmaññavaggo		221	3.0506	3.0270	5.0303	5.0325	romn/s0404m3.mul.xml
Aṅguttara Nikāya	AN	AN10.237-239	an10.7.237	Aṅguttaranikāyo	Dasakanipātapāḷi	4. Catutthapaṇṇāsakaṃ	23. Rāgapeyyālaṃ		237	3.0512	3.0275	5.0309	5.0333	romn/s0404m3.mul.xml
Aṅguttara Nikāya	AN	AN11.1-10	an11.1.1	Aṅguttaranikāyo	Ekādasakanipātapāḷi		1. Nissayavaggo	1. Kimatthiyasuttaṃ	1					romn/s0404m4.mul.xml
Aṅguttara Nikāya	AN	AN11.1-21	an11.2.1	Aṅguttaranikāyo	Ekādasakanipātapāḷi		2. Anussativaggo	1. Paṭhamamahānāmasuttaṃ	1	3.0530	3.0295	5.0328	5.0354	romn/s0404m4.mul.xml
Aṅguttara Nikāya	AN	AN11.502	an11.4.502	Aṅguttaranikāyo	Ekādasakanipātapāḷi		4. Rāgapeyyālaṃ		502	3.0557	3.0324	5.0360	5.0392	romn/s0404m4.mul.xml
