book	book_code	dpd_code	dpd_sutta	dpd_sutta_var	id	lemma_1	family_set	meaning_1	meaning_lit	meaning_2	notes
Aṅguttara Nikāya	AN	AN8.1-10	mettāvagga		53236	mettāvagga	vaggas of Aṅguttara Nikāya 8	Vagga 1 of Aṭṭhakanipāta (AN8.1-10)		Chapter 1 of Aṭṭhakanipāta, Aṅguttara Nikāya 8.1-10	
Aṅguttara Nikāya	AN	AN8.71-80	yamakavagga 2		53781	yamakavagga 2	vaggas of Aṅguttara Nikāya 8	Vagga 8 of Aṭṭhakanipāta (AN8.71-80)		Chapter 8 of Aṭṭhakanipāta, Aṅguttara Nikāya 8.71-80	
Aṅguttara Nikāya	AN	AN10.61-70	yamakavagga 3		53782	yamakavagga 3	vaggas of Aṅguttara Nikāya 10	Vagga 7 of Dasakanipāta (AN10.61-70)		Chapter 7 of Dasakanipāta, Aṅguttara Nikāya 10.61-70	
Aṅguttara Nikāya	AN	AN3.134-146	yodhājīvavagga 1		54296	yodhājīvavagga 1	vaggas of Aṅguttara Nikāya 3	Vagga 14 of Tikanipāta (AN3.134-146)		Chapter 14 of Tikanipāta, Aṅguttara Nikāya 3.134-146	
Aṅguttara Nikāya	AN	AN5.71-80	yodhājīvavagga 2		54297	yodhājīvavagga 2	vaggas of Aṅguttara Nikāya 5	Vagga 8 of Pañcakanipāta (AN5.71-80)		Chapter 8 of Pañcakanipāta, Aṅguttara Nikāya 5.71-80	
Aṅguttara Nikāya	AN	AN3.11-20	rathakāravagga		54610	rathakāravagga	vaggas of Aṅguttara Nikāya 3	Vagga 2 of Tikanipāta (AN3.11-20)		Chapter 2 of Tikanipāta, Aṅguttara Nikāya 3.11-20	
Aṅguttara Nikāya	AN	AN2.231-246	rāgapeyyāla 1		54813	rāgapeyyāla 1	vaggas of Aṅguttara Nikāya 2	Vagga 19 of Dukanipāta (AN2.231-246)		Chapter 19 of Dukanipāta, Aṅguttara Nikāya 2.231-246	
Aṅguttara Nikāya	AN	AN11.502-671	rāgapeyyāla 10		54814	rāgapeyyāla 10	vaggas of Aṅguttara Nikāya 11	Vagga 4 of Ekādasakanipāta (AN11.502-671)		Chapter 4 of Ekādasakanipāta, Aṅguttara Nikāya 11.502-671	
Aṅguttara Nikāya	AN	AN3.184	rāgapeyyāla 2		54815	rāgapeyyāla 2	vaggas of Aṅguttara Nikāya 3	Vagga 18 of Tikanipāta (AN3.184)		Chapter 18 of Tikanipāta, Aṅguttara Nikāya 3.184	
Aṅguttara Nikāya	AN	AN4.274-783	rāgapeyyāla 3		54816	rāgapeyyāla 3	vaggas of Aṅguttara Nikāya 4	Vagga 28 of Catukkanipāta (AN4.274-783)		Chapter 28 of Catukkanipāta, Aṅguttara Nikāya 4.274-783	
Aṅguttara Nikāya	AN	AN5.303-1151	rāgapeyyāla 4		54817	rāgapeyyāla 4	vaggas of Aṅguttara Nikāya 5	Vagga 29 of Pañcakanipāta (AN5.303-1151)		Chapter 29 of Pañcakanipāta, Aṅguttara Nikāya 5.303-1151	
Aṅguttara Nikāya	AN	AN6.140-649	rāgapeyyāla 5		54818	rāgapeyyāla 5	vaggas of Aṅguttara Nikāya 6	Vagga 13 of Chakkanipāta (AN6.140-649)		Chapter 13 of Chakkanipāta, Aṅguttara Nikāya 6.140-649	
Aṅguttara Nikāya	AN	AN7.623-1132	rāgapeyyāla 6		54819	rāgapeyyāla 6	vaggas of Aṅguttara Nikāya 7	Vagga 11 of Sattakanipāta (AN7.623-1132)		Chapter 11 of Sattakanipāta, Aṅguttara Nikāya 7.623-1132	
Aṅguttara Nikāya	AN	AN8.117-626	rāgapeyyāla 7		54820	rāgapeyyāla 7	vaggas of Aṅguttara Nikāya 8	Vagga 11 of Aṭṭhakanipāta (AN8.117-626)		Chapter 11 of Aṭṭhakanipāta, Aṅguttara Nikāya 8.117-626	
Aṅguttara Nikāya	AN	AN9.93-432	rāgapeyyāla 8		54821	rāgapeyyāla 8	vaggas of Aṅguttara Nikāya 9	Vagga 10 of Navakanipāta (AN9.93-432)		Chapter 10 of Navakanipāta, Aṅguttara Nikāya 9.93-432	
Aṅguttara Nikāya	AN	AN10.237-746	rāgapeyyāla 9		54822	rāgapeyyāla 9	vaggas of Aṅguttara Nikāya 10	Vagga 23 of Dasakanipāta (AN10.237-746)		Chapter 23 of Dasakanipāta, Aṅguttara Nikāya 10.237-746	
Aṅguttara Nikāya	AN	AN5.131-140	rājavagga 2		54939	rājavagga 2	vaggas of Aṅguttara Nikāya 5	Vagga 14 of Pañcakanipāta (AN5.131-140)		Chapter 14 of Pañcakanipāta, Aṅguttara Nikāya 5.131-140	
