book	book_code	dpd_code	dpd_sutta	dpd_sutta_var	id	lemma_1	family_set	meaning_1	meaning_lit	meaning_2	notes
Aṅguttara Nikāya	AN	AN4.254-263	abhiññāvagga		7696	abhiññāvagga	vaggas of Aṅguttara Nikāya 4	Vagga 26 of Catukkanipāta (AN4.254-263)		Chapter 26 of Catukkanipāta, Aṅguttara Nikāya 4.254-263	
Aṅguttara Nikāya	AN	AN1.600-611	amatavagga 2		8477	amatavagga 2	vaggas of Aṅguttara Nikāya 1	Vagga 31 of Ekakanipāta (AN1.600-611)	section on the deathless	Chapter 31 of Ekakanipāta, Aṅguttara Nikāya 1.600-611	
Aṅguttara Nikāya	AN	AN5.181-190	araññavagga		8856	araññavagga	vaggas of Aṅguttara Nikāya 5	Vagga 19 of Pañcakanipāta (AN5.181-190)		Chapter 19 of Pañcakanipāta, Aṅguttara Nikāya 5.181-190	
Aṅguttara Nikāya	AN	AN6.75-84	arahattavagga		8925	arahattavagga	vaggas of Aṅguttara Nikāya 6	Vagga 8 of Chakkanipāta (AN6.75-84)		Chapter 8 of Chakkanipāta, Aṅguttara Nikāya 6.75-84	
Aṅguttara Nikāya	AN	AN10.189-198	ariyamaggavagga		9015	ariyamaggavagga	vaggas of Aṅguttara Nikāya 10	Vagga 19 of Dasakanipāta (AN10.189-198)		Chapter 19 of Dasakanipāta, Aṅguttara Nikāya 10.189-198	
Aṅguttara Nikāya	AN	AN10.145-154	ariyavagga		9033	ariyavagga	vaggas of Aṅguttara Nikāya 10	Vagga 15 of Dasakanipāta (AN10.145-154)		Chapter 15 of Dasakanipāta, Aṅguttara Nikāya 10.145-154	
Aṅguttara Nikāya	AN	AN4.91-100	asuravagga		9843	asuravagga	vaggas of Aṅguttara Nikāya 4	Vagga 10 of Catukkanipāta (AN4.91-100)		Chapter 10 of Catukkanipāta, Aṅguttara Nikāya 4.91-100	
Aṅguttara Nikāya	AN	AN10.71-80	ākaṅkhavagga		10993	ākaṅkhavagga	vaggas of Aṅguttara Nikāya 10	Vagga 8 of Dasakanipāta (AN10.71-80)		Chapter 8 of Dasakanipāta, Aṅguttara Nikāya 10.71-80	
Aṅguttara Nikāya	AN	AN5.161-170	āghātavagga		11253	āghātavagga	vaggas of Aṅguttara Nikāya 5	Vagga 17 of Pañcakanipāta (AN5.161-170)		Chapter 17 of Pañcakanipāta, Aṅguttara Nikāya 5.161-170	
Aṅguttara Nikāya	AN	AN3.72-81	ānandavagga		11748	ānandavagga	vaggas of Aṅguttara Nikāya 3	Vagga 8 of Tikanipāta (AN3.72-81)		Chapter 8 of Tikanipāta, Aṅguttara Nikāya 3.72-81	
Aṅguttara Nikāya	AN	AN6.96-106	ānisaṃsavagga 1		11778	ānisaṃsavagga 1	vaggas of Aṅguttara Nikāya 6	Vagga 10 of Chakkanipāta (AN6.96-106)		Chapter 10 of Chakkanipāta, Aṅguttara Nikāya 6.96-106	
Aṅguttara Nikāya	AN	AN10.1-10	ānisaṃsavagga 2		11779	ānisaṃsavagga 2	vaggas of Aṅguttara Nikāya 10	Vagga 1 of Dasakanipāta (AN10.1-10)		Chapter 1 of Dasakanipāta, Aṅguttara Nikāya 10.1-10	
Aṅguttara Nikāya	AN	AN4.243-253	āpattibhayavagga		11887	āpattibhayavagga	vaggas of Aṅguttara Nikāya 4	Vagga 25 of Catukkanipāta (AN4.243-253)		Chapter 25 of Catukkanipāta, Aṅguttara Nikāya 4.243-253	
Aṅguttara Nikāya	AN	AN3.114-123	āpāyikavagga		11947	āpāyikavagga	vaggas of Aṅguttara Nikāya 3	Vagga 12 of Tikanipāta (AN3.114-123)		Chapter 12 of Tikanipāta, Aṅguttara Nikāya 3.114-123	
Aṅguttara Nikāya	AN	AN4.141-150	ābhāvagga		12020	ābhāvagga	vaggas of Aṅguttara Nikāya 4	Vagga 15 of Catukkanipāta (AN4.141-150)		Chapter 15 of Catukkanipāta, Aṅguttara Nikāya 4.141-150	
Aṅguttara Nikāya	AN	AN2.131-141	āyācanavagga 2		12254	āyācanavagga 2	vaggas of Aṅguttara Nikāya 2	Vagga 12 of Dukanipāta (AN2.131-141)		Chapter 12 of Dukanipāta, Aṅguttara Nikāya 2.131-141	
Aṅguttara Nikāya	AN	AN2.119-130	āsāduppajahavagga		12866	āsāduppajahavagga	vaggas of Aṅguttara Nikāya 2	Vagga 11 of Dukanipāta (AN2.119-130)		Chapter 11 of Dukanipāta, Aṅguttara Nikāya 2.119-130	
Aṅguttara Nikāya	AN	AN5.231-240	āvāsikavagga		13062	āvāsikavagga	vaggas of Aṅguttara Nikāya 5	Vagga 24 of Pañcakanipāta (AN5.231-240)		Chapter 24 of Pañcakanipāta, Aṅguttara Nikāya 5.231-240	
Aṅguttara Nikāya	AN	AN6.1-10	āhuneyyavagga 1	āhuneyyavagga 2	13285	āhuneyyavagga 1	vaggas of Aṅguttara Nikāya 6	Vagga 1 of Chakkanipāta (AN6.1-10)		Chapter 1 of Chakkanipāta, Aṅguttara Nikāya 6.1-10	
Aṅguttara Nikāya	AN	AN7.95-622	āhuneyyavagga 3		13287	āhuneyyavagga 3	vaggas of Aṅguttara Nikāya 7	Vagga 10 of Sattakanipāta (AN7.95-622)		Chapter 10 of Sattakanipāta, Aṅguttara Nikāya 7.95-622	
Aṅguttara Nikāya	AN	AN9.83-92	iddhipādavagga		13663	iddhipādavagga	vaggas of Aṅguttara Nikāya 9	Vagga 9 of Navakanipāta (AN9.83-432)		Chapter 9 of Navakanipāta, Aṅguttara Nikāya 9.83-92	
Aṅguttara Nikāya	AN	AN4.151-160	indriyavagga		13769	indriyavagga	vaggas of Aṅguttara Nikāya 4	Vagga 16 of Catukkanipāta (AN4.151-160)		Chapter 16 of Catukkanipāta, Aṅguttara Nikāya 4.151-160	
Aṅguttara Nikāya	AN	AN5.251-271	upasampadāvagga		16132	upasampadāvagga	vaggas of Aṅguttara Nikāya 5	Vagga 26 of Pañcakanipāta (AN5.251-271)		Chapter 26 of Pañcakanipāta, Aṅguttara Nikāya 5.251-271	
Aṅguttara Nikāya	AN	AN10.31-40	upālivagga 1		16402	upālivagga 1	vaggas of Aṅguttara Nikāya 10	Vagga 4 of Dasakanipāta (AN10.31-40)		Chapter 4 of Dasakanipāta, Aṅguttara Nikāya 10.31-40	
Aṅguttara Nikāya	AN	AN10.91-100	upālivagga 2		16403	upālivagga 2	vaggas of Aṅguttara Nikāya 10	Vagga 10 of Dasakanipāta (AN10.91-100)		Chapter 10 of Dasakanipāta, Aṅguttara Nikāya 10.91-100	
Aṅguttara Nikāya	AN	AN5.171-180	upāsakavagga 2		16421	upāsakavagga 2	vaggas of Aṅguttara Nikāya 5	Vagga 18 of Pañcakanipāta (AN5.171-180)		Chapter 18 of Pañcakanipāta, Aṅguttara Nikāya 5.171-180	
Aṅguttara Nikāya	AN	AN8.41-50	uposathavagga		16524	uposathavagga	vaggas of Aṅguttara Nikāya 8	Vagga 5 of Aṭṭhakanipāta (AN8.41-50)		Chapter 5 of Aṭṭhakanipāta, Aṅguttara Nikāya 8.41-50	
Aṅguttara Nikāya	AN	AN4.21-30	uruvelavagga		17016	uruvelavagga	vaggas of Aṅguttara Nikāya 4	Vagga 3 of Catukkanipāta (AN4.21-30)		Chapter 3 of Catukkanipāta, Aṅguttara Nikāya 4.21-30	
Aṅguttara Nikāya	AN	AN1.296-297	ekadhammapāḷi		17507	ekadhammapāḷi	vaggas of Aṅguttara Nikāya 1	Vagga 24 of Ekakanipāta (AN1.296-297)		Chapter 24 of Ekakanipāta, Aṅguttara Nikāya 1.296-297	
Aṅguttara Nikāya	AN	AN1.170-187	ekapuggalavagga		17588	ekapuggalavagga	vaggas of Aṅguttara Nikāya 1	Vagga 13 of Ekakanipāta (AN1.170-187)		Chapter 13 of Ekakanipāta, Aṅguttara Nikāya 1.170-187	
Aṅguttara Nikāya	AN	AN1.188-197	etadaggavagga 2		17858	etadaggavagga 2	vaggas of Aṅguttara Nikāya 1	Vagga 14 of Ekakanipāta (AN1.188-197)		Chapter 14 of Ekakanipāta, Aṅguttara Nikāya 1.188-197	
Aṅguttara Nikāya	AN	AN5.91-100	kakudhavagga		19187	kakudhavagga	vaggas of Aṅguttara Nikāya 5	Vagga 10 of Pañcakanipāta (AN5.91-100)		Chapter 10 of Pañcakanipāta, Aṅguttara Nikāya 5.91-100	
Aṅguttara Nikāya	AN	AN2.1-10	kammakaraṇavagga		20246	kammakaraṇavagga	vaggas of Aṅguttara Nikāya 2	Vagga 1 of Dukanipāta (AN2.1-10)		Chapter 1 of Dukanipāta, Aṅguttara Nikāya 2.1-10	
Aṅguttara Nikāya	AN	AN3.164-183	kammapathapeyyāla		20316	kammapathapeyyāla	vaggas of Aṅguttara Nikāya 3	Vagga 17 of Tikanipāta (AN3.164-183)		Chapter 17 of Tikanipāta, Aṅguttara Nikāya 3.164-183	
Aṅguttara Nikāya	AN	AN4.264-273	kammapathavagga 2		20318	kammapathavagga 2	vaggas of Aṅguttara Nikāya 4	Vagga 27 of Catukkanipāta (AN4.264-273)		Chapter 27 of Catukkanipāta, Aṅguttara Nikāya 4.264-273	
Aṅguttara Nikāya	AN	AN4.232-242	kammavagga		20356	kammavagga	vaggas of Aṅguttara Nikāya 4	Vagga 24 of Catukkanipāta (AN4.232-242)		Chapter 24 of Catukkanipāta, Aṅguttara Nikāya 4.232-242	
Aṅguttara Nikāya	AN	AN10.211-220	karajakāyavagga		20448	karajakāyavagga	vaggas of Aṅguttara Nikāya 10	Vagga 21 of Dasakanipāta (AN10.211-220)		Chapter 21 of Dasakanipāta, Aṅguttara Nikāya 10.211-220	
Aṅguttara Nikāya	AN	AN1.71-80	kalyāṇamittādivagga		20676	kalyāṇamittādivagga	vaggas of Aṅguttara Nikāya 1	Vagga 8 of Ekakanipāta (AN1.71-80)		Chapter 8 of Ekakanipāta, Aṅguttara Nikāya 1.71-80	
Aṅguttara Nikāya	AN	AN1.563-599	kāyagatāsativagga		21152	kāyagatāsativagga	vaggas of Aṅguttara Nikāya 1	Vagga 30 of Ekakanipāta (AN1.563-599)		Chapter 30 of Ekakanipāta, Aṅguttara Nikāya 1.563-599	
Aṅguttara Nikāya	AN	AN5.201-210	kimilavagga		21786	kimilavagga	vaggas of Aṅguttara Nikāya 5	Vagga 21 of Pañcakanipāta (AN5.201-210)		Chapter 21 of Pañcakanipāta, Aṅguttara Nikāya 5.201-210	
Aṅguttara Nikāya	AN	AN3.124-133	kusināravagga		22686	kusināravagga	vaggas of Aṅguttara Nikāya 3	Vagga 13 of Tikanipāta (AN3.124-133)		Chapter 13 of Tikanipāta, Aṅguttara Nikāya 3.124-133	
Aṅguttara Nikāya	AN	AN4.111-120	kesivagga		22890	kesivagga	vaggas of Aṅguttara Nikāya 4	Vagga 12 of Catukkanipāta (AN4.111-120)		Chapter 12 of Catukkanipāta, Aṅguttara Nikāya 4.111-120	
Aṅguttara Nikāya	AN	AN2.181-190	kodhapeyyāla		23060	kodhapeyyāla	vaggas of Aṅguttara Nikāya 2	Vagga 16 of Dukanipāta (AN2.181-190)		Chapter 16 of Dukanipāta, Aṅguttara Nikāya 2.181-190	
Aṅguttara Nikāya	AN	AN9.52-62	khemavagga		23948	khemavagga	vaggas of Aṅguttara Nikāya 9	Vagga 6 of Navakanipāta (AN9.52-62)		Chapter 6 of Navakanipāta, Aṅguttara Nikāya 9.52-62	
Aṅguttara Nikāya	AN	AN8.21-30	gahapativagga 4		24676	gahapativagga 4	vaggas of Aṅguttara Nikāya 8	Vagga 3 of Aṭṭhakanipāta (AN8.21-30)	section on householders	Chapter 3 of Aṭṭhakanipāta, Aṅguttara Nikāya 8.21-30	
Aṅguttara Nikāya	AN	AN5.121-130	gilānavagga 3		24983	gilānavagga 3	vaggas of Aṅguttara Nikāya 5	Vagga 13 of Pañcakanipāta (AN5.121-130)		Chapter 13 of Pañcakanipāta, Aṅguttara Nikāya 5.121-130	
Aṅguttara Nikāya	AN	AN8.51-60	gotamīvagga		25283	gotamīvagga	vaggas of Aṅguttara Nikāya 8	Vagga 6 of Aṭṭhakanipāta (AN8.51-60)		Chapter 6 of Aṭṭhakanipāta, Aṅguttara Nikāya 8.51-60	
Aṅguttara Nikāya	AN	AN4.31-40	cakkavagga		25691	cakkavagga	vaggas of Aṅguttara Nikāya 4	Vagga 4 of Catukkanipāta (AN4.31-40)		Chapter 4 of Catukkanipāta, Aṅguttara Nikāya 4.31-40	
Aṅguttara Nikāya	AN	AN1.219-234	catutthavagga 3		25944	catutthavagga 3	vaggas of Aṅguttara Nikāya 1	Vagga 17 of Ekakanipāta (AN1.219-234)		Chapter 17 of Ekakanipāta, Aṅguttara Nikāya 1.219-234	
Aṅguttara Nikāya	AN	AN1.322-363-365	catutthavagga 4		25945	catutthavagga 4	vaggas of Aṅguttara Nikāya 1	Vagga 27 of Ekakanipāta (AN1.322-365)		Chapter 27 of Ekakanipāta, Aṅguttara Nikāya 1.322-363-365	
Aṅguttara Nikāya	AN	AN4.11-20	caravagga		26288	caravagga	vaggas of Aṅguttara Nikāya 4	Vagga 2 of Catukkanipāta (AN4.11-20)		Chapter 2 of Catukkanipāta, Aṅguttara Nikāya 4.11-20	
Aṅguttara Nikāya	AN	AN3.41-51	cūḷavagga 2		27003	cūḷavagga 2	vaggas of Aṅguttara Nikāya 3	Vagga 5 of Tikanipāta (AN3.41-51)		Chapter 5 of Tikanipāta, Aṅguttara Nikāya 3.41-51	
Aṅguttara Nikāya	AN	AN1.248-257	chaṭṭhavagga		27299	chaṭṭhavagga	vaggas of Aṅguttara Nikāya 1	Vagga 19 of Ekakanipāta (AN1.248-257)		Chapter 19 of Ekakanipāta, Aṅguttara Nikāya 1.248-257	
Aṅguttara Nikāya	AN	AN10.167-177	jāṇussoṇivagga		28176	jāṇussoṇivagga	vaggas of Aṅguttara Nikāya 10	Vagga 17 of Dasakanipāta (AN10.167-177)		Chapter 17 of Dasakanipāta, Aṅguttara Nikāya 10.167-177	
Aṅguttara Nikāya	AN	AN1.209-218	tatiyavagga 5		29515	tatiyavagga 5	vaggas of Aṅguttara Nikāya 1	Vagga 16 of Ekakanipāta (AN1.209-218)		Chapter 16 of Ekakanipāta, Aṅguttara Nikāya 1.209-218	
Aṅguttara Nikāya	AN	AN1.287-295	tatiyavagga 6		29516	tatiyavagga 6	vaggas of Aṅguttara Nikāya 1	Vagga 23 of Ekakanipāta (AN1.287-295)		Chapter 23 of Ekakanipāta, Aṅguttara Nikāya 1.287-295	
Aṅguttara Nikāya	AN	AN1.308-321	tatiyavagga 7		29517	tatiyavagga 7	vaggas of Aṅguttara Nikāya 1	Vagga 26 of Ekakanipāta (AN1.308-321)		Chapter 26 of Ekakanipāta, Aṅguttara Nikāya 1.308-321	
Aṅguttara Nikāya	AN	AN5.141-150	tikaṇḍakīvagga		30447	tikaṇḍakīvagga	vaggas of Aṅguttara Nikāya 5	Vagga 15 of Pañcakanipāta (AN5.141-150)		Chapter 15 of Pañcakanipāta, Aṅguttara Nikāya 5.141-150	
Aṅguttara Nikāya	AN	AN6.107-116	tikavagga		30457	tikavagga	vaggas of Aṅguttara Nikāya 6	Vagga 11 of Chakkanipāta (AN6.107-116)		Chapter 11 of Chakkanipāta, Aṅguttara Nikāya 6.107-116	
Aṅguttara Nikāya	AN	AN5.81-90	theravagga 2		31631	theravagga 2	vaggas of Aṅguttara Nikāya 5	Vagga 9 of Pañcakanipāta (AN5.81-90)		Chapter 9 of Pañcakanipāta, Aṅguttara Nikāya 5.81-90	
Aṅguttara Nikāya	AN	AN10.81-90	theravagga 3		31632	theravagga 3	vaggas of Aṅguttara Nikāya 10	Vagga 9 of Dasakanipāta (AN10.81-90)		Chapter 9 of Dasakanipāta, Aṅguttara Nikāya 10.81-90	
Aṅguttara Nikāya	AN	AN2.142-151	dānavagga 1		32277	dānavagga 1	vaggas of Aṅguttara Nikāya 2	Vagga 13 of Dukanipāta (AN2.142-151)		Chapter 13 of Dukanipāta, Aṅguttara Nikāya 2.142-151	
Aṅguttara Nikāya	AN	AN8.31-40	dānavagga 2		32278	dānavagga 2	vaggas of Aṅguttara Nikāya 8	Vagga 4 of Aṭṭhakanipāta (AN8.31-40)		Chapter 4 of Aṭṭhakanipāta, Aṅguttara Nikāya 8.31-40	
Aṅguttara Nikāya	AN	AN5.221-230	dīghacārikavagga		32725	dīghacārikavagga	vaggas of Aṅguttara Nikāya 5	Vagga 23 of Pañcakanipāta (AN5.221-230)		Chapter 23 of Pañcakanipāta, Aṅguttara Nikāya 5.221-230	
Aṅguttara Nikāya	AN	AN4.221-231	duccaritavagga 1		33067	duccaritavagga 1	vaggas of Aṅguttara Nikāya 4	Vagga 23 of Catukkanipāta (AN4.221-231)		Chapter 23 of Catukkanipāta, Aṅguttara Nikāya 4.221-231	
Aṅguttara Nikāya	AN	AN5.241-250	duccaritavagga 2		33068	duccaritavagga 2	vaggas of Aṅguttara Nikāya 5	Vagga 25 of Pañcakanipāta (AN5.241-250)		Chapter 25 of Pañcakanipāta, Aṅguttara Nikāya 5.241-250	
Aṅguttara Nikāya	AN	AN1.98-132-139	dutiyapamādādivagga		33307	dutiyapamādādivagga	vaggas of Aṅguttara Nikāya 1	Vagga 10 of Ekakanipāta (AN1.98-139)		Chapter 10 of Ekakanipāta, Aṅguttara Nikāya 1.98-132-139	
Aṅguttara Nikāya	AN	AN1.198-208	dutiyavagga 14		33471	dutiyavagga 14	vaggas of Aṅguttara Nikāya 1	Vagga 15 of Ekakanipāta (AN1.198-208)		Chapter 15 of Ekakanipāta, Aṅguttara Nikāya 1.198-208	
Aṅguttara Nikāya	AN	AN1.278-286	dutiyavagga 15		33472	dutiyavagga 15	vaggas of Aṅguttara Nikāya 1	Vagga 22 of Ekakanipāta (AN1.278-286)		Chapter 22 of Ekakanipāta, Aṅguttara Nikāya 1.278-286	
Aṅguttara Nikāya	AN	AN1.298-307	dutiyavagga 16		33473	dutiyavagga 16	vaggas of Aṅguttara Nikāya 1	Vagga 25 of Ekakanipāta (AN1.298-307)		Chapter 25 of Ekakanipāta, Aṅguttara Nikāya 1.298-307	
Aṅguttara Nikāya	AN	AN6.31-42	devatāvagga 1	sekkhaparihāniyavagga	34053	devatāvagga 1	vaggas of Aṅguttara Nikāya 6	Vagga 4 of Chakkanipāta (AN6.31-42)		Chapter 4 of Chakkanipāta, Aṅguttara Nikāya 6.31-42	
Aṅguttara Nikāya	AN	AN6.65-74	devatāvagga 2		34054	devatāvagga 2	vaggas of Aṅguttara Nikāya 6	Vagga 7 of Chakkanipāta (AN6.65-74)		Chapter 7 of Chakkanipāta, Aṅguttara Nikāya 6.65-74	
Aṅguttara Nikāya	AN	AN7.32-43	devatāvagga 3		34055	devatāvagga 3	vaggas of Aṅguttara Nikāya 7	Vagga 4 of Sattakanipāta (AN7.32-43)		Chapter 4 of Sattakanipāta, Aṅguttara Nikāya 7.32-43	
Aṅguttara Nikāya	AN	AN3.31-40	devadūtavagga		34082	devadūtavagga	vaggas of Aṅguttara Nikāya 3	Vagga 4 of Tikanipāta (AN3.31-40)		Chapter 4 of Tikanipāta, Aṅguttara Nikāya 3.31-40	
Aṅguttara Nikāya	AN	AN7.1-10	dhanavagga		34569	dhanavagga	vaggas of Aṅguttara Nikāya 7	Vagga 1 of Sattakanipāta (AN7.1-10)		Chapter 1 of Sattakanipāta, Aṅguttara Nikāya 7.1-10	
Aṅguttara Nikāya	AN	AN2.88-98	dhammavagga		34904	dhammavagga	vaggas of Aṅguttara Nikāya 2	Vagga 9 of Dukanipāta (AN2.88-98)		Chapter 9 of Dukanipāta, Aṅguttara Nikāya 2.88-98	
Aṅguttara Nikāya	AN	AN6.43-54	dhammikavagga		34976	dhammikavagga	vaggas of Aṅguttara Nikāya 6	Vagga 5 of Chakkanipāta (AN6.43-54)		Chapter 5 of Chakkanipāta, Aṅguttara Nikāya 6.43-54	
Aṅguttara Nikāya	AN	AN10.11-20	nāthavagga		36196	nāthavagga	vaggas of Aṅguttara Nikāya 10	Vagga 2 of Dasakanipāta (AN10.11-20)		Chapter 2 of Dasakanipāta, Aṅguttara Nikāya 10.11-20	
Aṅguttara Nikāya	AN	AN11.1-10	nissayavagga	nissāyavagga	38305	nissayavagga	vaggas of Aṅguttara Nikāya 11	Vagga 1 of Ekādasakanipāta (AN11.1-10)		Chapter 1 of Ekādasakanipāta, Aṅguttara Nikāya 11.1-10	
Aṅguttara Nikāya	AN	AN1.11-20	nīvaraṇappahānavagga		38620	nīvaraṇappahānavagga	vaggas of Aṅguttara Nikāya 1	Vagga 2 of Ekakanipāta (AN1.11-20)		Chapter 2 of Ekakanipāta, Aṅguttara Nikāya 1.11-20	
Aṅguttara Nikāya	AN	AN5.51-60	nīvaraṇavagga 2		38625	nīvaraṇavagga 2	vaggas of Aṅguttara Nikāya 5	Vagga 6 of Pañcakanipāta (AN5.51-60)		Chapter 6 of Pañcakanipāta, Aṅguttara Nikāya 5.51-60	
Aṅguttara Nikāya	AN	AN10.113-122	paccorohaṇivagga		39583	paccorohaṇivagga	vaggas of Aṅguttara Nikāya 10	Vagga 12 of Dasakanipāta (AN10.113-122)		Chapter 12 of Dasakanipāta, Aṅguttara Nikāya 10.113-122	
Aṅguttara Nikāya	AN	AN5.21-30	pañcaṅgikavagga		39787	pañcaṅgikavagga	vaggas of Aṅguttara Nikāya 5	Vagga 3 of Pañcakanipāta (AN5.21-30)		Chapter 3 of Pañcakanipāta, Aṅguttara Nikāya 5.21-30	
Aṅguttara Nikāya	AN	AN1.235-247	pañcamavagga		39852	pañcamavagga	vaggas of Aṅguttara Nikāya 1	Vagga 18 of Ekakanipāta (AN1.235-247)		Chapter 18 of Ekakanipāta, Aṅguttara Nikāya 1.235-247	
Aṅguttara Nikāya	AN	AN4.161-170	paṭipadāvagga		40557	paṭipadāvagga	vaggas of Aṅguttara Nikāya 4	Vagga 17 of Catukkanipāta (AN4.161-170)		Chapter 17 of Catukkanipāta, Aṅguttara Nikāya 4.161-170	
Aṅguttara Nikāya	AN	AN1.41-50	paṇihitaacchavagga	paṇihitācchavagga	41565	paṇihitaacchavagga	vaggas of Aṅguttara Nikāya 1	Vagga 5 of Ekakanipāta (AN1.41-50)		Chapter 5 of Ekakanipāta, Aṅguttara Nikāya 1.41-50	
Aṅguttara Nikāya	AN	AN4.61-70	pattakammavagga		41856	pattakammavagga	vaggas of Aṅguttara Nikāya 4	Vagga 7 of Catukkanipāta (AN4.61-70)		Chapter 7 of Catukkanipāta, Aṅguttara Nikāya 4.61-70	
Aṅguttara Nikāya	AN	AN1.81-97	pamādādivagga		42702	pamādādivagga	vaggas of Aṅguttara Nikāya 1	Vagga 9 of Ekakanipāta (AN1.81-97)		Chapter 9 of Ekakanipāta, Aṅguttara Nikāya 1.81-97	
Aṅguttara Nikāya	AN	AN4.211-220	parisasobhaṇavagga	parisāvagga; sobhanavagga	44103	parisasobhaṇavagga	vaggas of Aṅguttara Nikāya 4	Vagga 22 of Catukkanipāta (AN4.211-220)		Chapter 22 of Catukkanipāta, Aṅguttara Nikāya 4.211-220	
Aṅguttara Nikāya	AN	AN2.43-52	parisavagga		44105	parisavagga	vaggas of Aṅguttara Nikāya 2	Vagga 5 of Dukanipāta (AN2.43-52)		Chapter 5 of Dukanipāta, Aṅguttara Nikāya 2.43-52	
Aṅguttara Nikāya	AN	AN10.123-133	parisuddhavagga		44154	parisuddhavagga	vaggas of Aṅguttara Nikāya 10	Vagga 13 of Dasakanipāta (AN10.123-133)		Chapter 13 of Dasakanipāta, Aṅguttara Nikāya 10.123-133	
Aṅguttara Nikāya	AN	AN1.366-381	pasādakaradhammavagga		44653	pasādakaradhammavagga	vaggas of Aṅguttara Nikāya 1	Vagga 28 of Ekakanipāta (AN1.366-381)		Chapter 28 of Ekakanipāta, Aṅguttara Nikāya 1.366-381	
Aṅguttara Nikāya	AN	AN2.53-64	puggalavagga 1		46465	puggalavagga 1	vaggas of Aṅguttara Nikāya 2	Vagga 6 of Dukanipāta (AN2.53-64)		Chapter 6 of Dukanipāta, Aṅguttara Nikāya 2.53-64	
Aṅguttara Nikāya	AN	AN3.21-30	puggalavagga 2		46466	puggalavagga 2	vaggas of Aṅguttara Nikāya 3	Vagga 3 of Tikanipāta (AN3.21-30)		Chapter 3 of Tikanipāta, Aṅguttara Nikāya 3.21-30	
Aṅguttara Nikāya	AN	AN4.131-140	puggalavagga 3		46467	puggalavagga 3	vaggas of Aṅguttara Nikāya 4	Vagga 14 of Catukkanipāta (AN4.131-140)		Chapter 14 of Catukkanipāta, Aṅguttara Nikāya 4.131-140	
