edited	book	book_code	dpd_code	dpd_sutta	dpd_sutta_var	cleaned	cst_code	cst_nikaya	cst_book	cst_section	cst_vagga	cst_sutta	cst_paranum	cst_m_page	cst_v_page	cst_p_page	cst_t_page	cst_file	dpr_code	dpr_link	sc_code	sc_book	sc_vagga	sc_sutta	sc_eng_sutta	sc_blurb	sc_card_link	sc_pali_link	sc_eng_link	sc_file_path	bjt_sutta_code	bjt_web_code	bjt_filename	bjt_book_id	bjt_page_num	bjt_page_offset	bjt_piṭaka	bjt_nikāya	bjt_major_section	bjt_book	bjt_minor_section	bjt_vagga	bjt_sutta	status
	Majjhima Nikāya	MN	MN51-60	gahapativagga 1			mn2.1.1	Majjhimanikāye	Majjhimapaṇṇāsapāḷi		1. Gahapativaggo	1. Kandarakasuttaṃ	1	2.0001	2.0001	1.0339	2.0001	romn/s0202m.mul.xml	MN51	https://www.digitalpalireader.online/_dprhtml/index.html?loc=m.1.0.0.0.0.0.m	mn51	Majjhima Nikāya 51	Gahapativagga	Kandarakasutta	With Kandaraka	The Buddha discusses mindfulness meditation with lay practitioners. Contrasting the openness of animals with the duplicity of humans, he explains how to practice in a way that causes no harm to oneself or others.	https://suttacentral.net/mn51	https://suttacentral.net/mn51/pli/ms	https://suttacentral.net/mn51/en/sujato	sc_bilara_data/root/pli/ms/sutta/mn/mn51_root-pli-ms.json	mn 2. 1. 1.	mn-2-1-1	mn-2	14	2	0	suttantapiṭake	majjhimanikāyo		2. majjhimapaṇṇāsako		1. gahapati vaggo	1. kandaraka suttaṃ	ok
	Majjhima Nikāya	MN	MN61-70	bhikkhuvagga 1			mn2.2.1	Majjhimanikāye	Majjhimapaṇṇāsapāḷi		2. Bhikkhuvaggo	1. Ambalaṭṭhikarāhulovādasuttaṃ	107	2.0076	2.0083	1.0413	2.0122	romn/s0202m.mul.xml	MN61	https://www.digitalpalireader.online/_dprhtml/index.html?loc=m.1.0.0.1.0.0.m	mn61	Majjhima Nikāya 61	Bhikkhuvagga	Ambalaṭṭhikarāhulovādasutta	Advice to Rāhula at Ambalaṭṭhika	Using the “object lesson” of a cup of water, the Buddha explains to his son, Rāhula, the importance of telling the truth and reflecting on one’s motives.	https://suttacentral.net/mn61	https://suttacentral.net/mn61/pli/ms	https://suttacentral.net/mn61/en/sujato	sc_bilara_data/root/pli/ms/sutta/mn/mn61_root-pli-ms.json	mn 2. 2. 1.	mn-2-2-1	mn-2-2	14	130	0	suttantapiṭake	majjhimanikāyo		2. majjhimapaṇṇāsako		2. bhikkhu vaggo	1. ambalaṭṭhika rāhulovāda suttaṃ	ok
	Majjhima Nikāya	MN	MN71-80	paribbājakavagga			mn2.3.1	Majjhimanikāye	Majjhimapaṇṇāsapāḷi		3. Paribbājakavaggo	1. Tevijjavacchasuttaṃ	185	2.0147	2.0156	1.0481	2.0235	romn/s0202m.mul.xml	MN71	https://www.digitalpalireader.online/_dprhtml/index.html?loc=m.1.0.0.2.0.0.m	mn71	Majjhima Nikāya 71	Paribbājakavagga	Tevijjavacchasutta	To Vacchagotta on the Three Knowledges	The Buddha denies being omniscient, and sets forth the three higher knowledges that form the core of his awakened insight.	https://suttacentral.net/mn71	https://suttacentral.net/mn71/pli/ms	https://suttacentral.net/mn71/en/sujato	sc_bilara_data/root/pli/ms/sutta/mn/mn71_root-pli-ms.json	mn 2. 3. 1.	mn-2-3-1	mn-2-3	14	252	0	suttantapiṭake	majjhimanikāyo		2. majjhimapaṇṇāsako		3. paribbājakavaggo	1. tevijjavacchagotta suttaṃ	ok
	Majjhima Nikāya	MN	MN81-90	rājavagga 1			mn2.4.1	Majjhimanikāye	Majjhimapaṇṇāsapāḷi		4. Rājavaggo	1. Ghaṭikārasuttaṃ	282	2.0235	2.0246	2.0044	2.0373	romn/s0202m.mul.xml	MN81	https://www.digitalpalireader.online/_dprhtml/index.html?loc=m.1.0.0.3.0.0.m	mn81	Majjhima Nikāya 81	Rājavagga	Ghaṭikārasutta	With Ghaṭīkāra	The Buddha relates an unusual account of a past life in the time of the previous Buddha, Kassapa. At that time he was not interested in Dhamma, and had to be forced to go see the Buddha. This discourse is important in understanding the development of the Bodhisattva doctrine.	https://suttacentral.net/mn81	https://suttacentral.net/mn81/pli/ms	https://suttacentral.net/mn81/en/sujato	sc_bilara_data/root/pli/ms/sutta/mn/mn81_root-pli-ms.json	mn 2. 4. 1.	mn-2-4-1	mn-2-4	14	404	0	suttantapiṭake	majjhimanikāyo		2. majjhimapaṇṇāsako		4. rāja vaggo	1. ghaṭīkārasuttaṃ	ok
	Majjhima Nikāya	MN	MN91-100	brāhmaṇavagga 1			mn2.5.1	Majjhimanikāye	Majjhimapaṇṇāsapāḷi		5. Brāhmaṇavaggo	1. Brahmāyusuttaṃ	383	2.0333	2.034	2.0133	2.0527	romn/s0202m.mul.xml	MN91	https://www.digitalpalireader.online/_dprhtml/index.html?loc=m.1.0.0.4.0.0.m	mn91	Majjhima Nikāya 91	Brāhmaṇavagga	Brahmāyusutta	With Brahmāyu	The oldest and most respected brahmin of the age sends a student to examine the Buddha, and he spends several months following his every move before reporting back. Convinced that the Buddha fulfills an ancient prophecy of the Great Man, the brahmin becomes his disciple.	https://suttacentral.net/mn91	https://suttacentral.net/mn91/pli/ms	https://suttacentral.net/mn91/en/sujato	sc_bilara_data/root/pli/ms/sutta/mn/mn91_root-pli-ms.json	mn 2. 5. 1.	mn-2-5-1	mn-2-5	14	576	0	suttantapiṭake	majjhimanikāyo		2. majjhimapaṇṇāsako		5. brāhmaṇavaggo	1. brahmāyusuttaṃ	ok
	Majjhima Nikāya	MN	MN101-152	uparipaṇṇāsapāḷi	uparipaṇṇāsaka 1		mn3.1.1	Majjhimanikāye	Uparipaṇṇāsapāḷi		1. Devadahavaggo	1. Devadahasuttaṃ	1	3.0001	3.0001	2.0214	3.0001	romn/s0203m.mul.xml	MN101	https://www.digitalpalireader.online/_dprhtml/index.html?loc=m.2.0.0.0.0.0.m	mn101	Majjhima Nikāya 101	Devadahavagga	Devadahasutta	At Devadaha	The Buddha tackles a group of Jain ascetics, pressing them on their claim to be practicing to end all suffering by self-mortification. He points out a series of fallacies in their logic, and explains his own middle way.	https://suttacentral.net/mn101	https://suttacentral.net/mn101/pli/ms	https://suttacentral.net/mn101/en/sujato	sc_bilara_data/root/pli/ms/sutta/mn/mn101_root-pli-ms.json	mn 3. 1. 1.	mn-3-1-1	mn-3	15	2	0	suttantapiṭake	majjhimanikāyo		3. uparipaṇṇāsako		1. devadahavaggo	1. devadaha suttaṃ	ok
	Majjhima Nikāya	MN	MN101-110	devadahavagga 1			mn3.1.1	Majjhimanikāye	Uparipaṇṇāsapāḷi		1. Devadahavaggo	1. Devadahasuttaṃ	1	3.0001	3.0001	2.0214	3.0001	romn/s0203m.mul.xml	MN101	https://www.digitalpalireader.online/_dprhtml/index.html?loc=m.2.0.0.0.0.0.m	mn101	Majjhima Nikāya 101	Devadahavagga	Devadahasutta	At Devadaha	The Buddha tackles a group of Jain ascetics, pressing them on their claim to be practicing to end all suffering by self-mortification. He points out a series of fallacies in their logic, and explains his own middle way.	https://suttacentral.net/mn101	https://suttacentral.net/mn101/pli/ms	https://suttacentral.net/mn101/en/sujato	sc_bilara_data/root/pli/ms/sutta/mn/mn101_root-pli-ms.json	mn 3. 1. 1.	mn-3-1-1	mn-3	15	2	0	suttantapiṭake	majjhimanikāyo		3. uparipaṇṇāsako		1. devadahavaggo	1. devadaha suttaṃ	ok
	Majjhima Nikāya	MN	MN111-120	anupadavagga			mn3.2.1	Majjhimanikāye	Uparipaṇṇāsapāḷi		2. Anupadavaggo	1. Anupadasuttaṃ	93	3.0074	3.0073	3.0024	3.0114	romn/s0203m.mul.xml	MN111	https://www.digitalpalireader.online/_dprhtml/index.html?loc=m.2.0.0.1.0.0.m	mn111	Majjhima Nikāya 111	Anupadavagga	Anupadasutta	One by One	The Buddha describes in technical detail the process of insight of Venerable Sāriputta. Many ideas and terms in this text anticipate the Abhidhamma.	https://suttacentral.net/mn111	https://suttacentral.net/mn111/pli/ms	https://suttacentral.net/mn111/en/sujato	sc_bilara_data/root/pli/ms/sutta/mn/mn111_root-pli-ms.json	mn 3. 2. 1.	mn-3-2-1	mn-3-2	15	134	0	suttantapiṭake	majjhimanikāyo		3. uparipaṇṇāsako		2. anupadavaggo	1. anupada suttaṃ	ok
	Majjhima Nikāya	MN	MN121-130	suññatavagga			mn3.3.1	Majjhimanikāye	Uparipaṇṇāsapāḷi		3. Suññatavaggo	1. Cūḷasuññatasuttaṃ	176	3.0146	3.0147	3.0103	3.0225	romn/s0203m.mul.xml	MN121	https://www.digitalpalireader.online/_dprhtml/index.html?loc=m.2.0.0.2.0.0.m	mn121	Majjhima Nikāya 121	Suññatavagga	Cūḷasuññatasutta	The Shorter Discourse on Emptiness	The Buddha describes his own practice of the meditation on emptiness.	https://suttacentral.net/mn121	https://suttacentral.net/mn121/pli/ms	https://suttacentral.net/mn121/en/sujato	sc_bilara_data/root/pli/ms/sutta/mn/mn121_root-pli-ms.json	mn 3. 3. 1.	mn-3-3-1	mn-3-3	15	264	0	suttantapiṭake	majjhimanikāyo		3. uparipaṇṇāsako		3. suññatavaggo	1. cūḷasuññata suttaṃ	ok
	Majjhima Nikāya	MN	MN131-142	vibhaṅgavagga			mn3.4.1	Majjhimanikāye	Uparipaṇṇāsapāḷi		4. Vibhaṅgavaggo	1. Bhaddekarattasuttaṃ	272	3.0225	3.0226	3.0187	3.0347	romn/s0203m.mul.xml	MN131	https://www.digitalpalireader.online/_dprhtml/index.html?loc=m.2.0.0.3.0.0.m	mn131	Majjhima Nikāya 131	Vibhaṅgavagga	Bhaddekarattasutta	One Fine Night	This discourse opens with a short but powerful set of verses extolling the benefits of insight into the here and now, followed by an explanation.	https://suttacentral.net/mn131	https://suttacentral.net/mn131/pli/ms	https://suttacentral.net/mn131/en/sujato	sc_bilara_data/root/pli/ms/sutta/mn/mn131_root-pli-ms.json	mn 3. 4. 1.	mn-3-4-1	mn-3-4	15	398	0	suttantapiṭake	majjhimanikāyo		3. uparipaṇṇāsako		4. vibhaṅgavaggo	1. bhaddekaratta suttaṃ	ok
	Majjhima Nikāya	MN	MN143-152	saḷāyatanavagga 1			mn3.5.1	Majjhimanikāye	Uparipaṇṇāsapāḷi		5. Saḷāyatanavaggo	1. Anāthapiṇḍikovādasuttaṃ	383	3.03	3.0308	3.0257	3.0463	romn/s0203m.mul.xml	MN143	https://www.digitalpalireader.online/_dprhtml/index.html?loc=m.2.0.0.4.0.0.m	mn143	Majjhima Nikāya 143	Saḷāyatanavagga	Anāthapiṇḍikovādasutta	Advice to Anāthapiṇḍika	As the great lay disciple Anāthapiṇḍika lies dying, Venerable Sāriputta visits him and gives a powerful teaching on non-attachment.	https://suttacentral.net/mn143	https://suttacentral.net/mn143/pli/ms	https://suttacentral.net/mn143/en/sujato	sc_bilara_data/root/pli/ms/sutta/mn/mn143_root-pli-ms.json	mn 3. 5. 1.	mn-3-5-1	mn-3-5	15	528	0	suttantapiṭake	majjhimanikāyo		3. uparipaṇṇāsako		5. saḷāyatanavaggo	1. anāthapiṇḍikovādasuttaṃ	ok
	Saṃyutta Nikāya	SN	SN1-11	sagāthāvaggasaṃyuttapāḷi	sagāthāvagga 1		sn1.1.1.1	Saṃyuttanikāyo	Sagāthāvaggo	1. Devatāsaṃyuttaṃ	1. Naḷavaggo	1. Oghataraṇasuttaṃ	1	1.0001	1.0002	1.0001	1.0002	romn/s0301m.mul.xml	SN1.1	https://www.digitalpalireader.online/_dprhtml/index.html?loc=s.0.0.0.0.0.0.m	SN1.1	Saṁyutta Nikāya 1.1	1. Naḷavagga	Oghataraṇasutta	Crossing the Flood	The Buddha crossed the flood of suffering by neither standing nor swimming.	https://suttacentral.net/sn1.1	https://suttacentral.net/sn1.1/pli/ms	https://suttacentral.net/sn1.1/en/sujato	sc_bilara_data/root/pli/ms/sutta/sn/sn1/sn1.1_root-pli-ms.json	sn 1. 1. 1. 1.	sn-1-1-1-1	sn-1	16	2	0	suttantapiṭake	saṃyuttanikāyo	1. sagāthavaggo	1. devatāsaṃyuttaṃ		1. naḷavaggo	1. oghataraṇasuttaṃ	ok
	Saṃyutta Nikāya	SN	SN12-21	nidānavaggasaṃyuttapāḷi	nidānavagga		sn2.1.1.1	Saṃyuttanikāyo	Nidānavaggo	1. Nidānasaṃyuttaṃ	1. Buddhavaggo	1. Paṭiccasamuppādasuttaṃ	1	1.0243	1.0001	2.0001	2.0001	romn/s0302m.mul.xml	SN12.1	https://www.digitalpalireader.online/_dprhtml/index.html?loc=s.1.0.0.0.0.0.m	SN12.1	Saṁyutta Nikāya 12.1	1. Buddhavagga	Paṭiccasamuppādasutta	Dependent Origination	The famous twelve links of dependent origination are spelled out, showing the origin and cessation of suffering dependent on ignorance.	https://suttacentral.net/sn12.1	https://suttacentral.net/sn12.1/pli/ms	https://suttacentral.net/sn12.1/en/sujato	sc_bilara_data/root/pli/ms/sutta/sn/sn12/sn12.1_root-pli-ms.json	sn 2. 1. 1. 1.	sn-2-1-1-1	sn-2	17	2	0	suttantapiṭake	saṃyuttanikāyo	2. nidānavaggo	1. abhisamayasaṃyuttaṃ		1. buddhavaggo	1. paṭiccasamuppādasuttaṃ	ok
