word	pos	position	type	exceptions	notes
parama	any	first	kammadhāraya	paramapattipatta, paramapāsāvinī, paramapāsāvī, paramavisuddhadassī, paramassāsappatta, paramānuttara, paramuggahīta	
parāyana	adj	last	dutiyā tappurisa > bahubbīhi	daṇḍaparāyana, brahmacariyaparāyana	
paricariyā	fem	last	sattamī tappurisa		
paricāga	any	last	chaṭṭhī tappurisa		
paricāraka	adj	last	dutiyā tappurisa		
paricāraka	masc	last	chaṭṭhī tappurisa		
paricita	any	any	tatiyā tappurisa	yathāpabbajjāparicita	
pariccāga	masc	last	catutthī tappurisa		
pariññā	fem	last	chaṭṭhī tappurisa	tīraṇapariññā	
pariññeyya	adj	last	tatiyā tappurisa		
paripūra	adj	last	tatiyā tappurisa		
paribhāvita	any	last	tatiyā tappurisa		
pariyanta	adj	last	tatiyā tappurisa		
pariyādāna	nt	last	chaṭṭhī tappurisa		
pariyāpanna	any	last	sattamī tappurisa		
pariyuṭṭhita	adj	last	tatiyā tappurisa		
pariyesanā	fem	last	catutthī tappurisa	anariyapariyesanā, ariyapariyesanā	
pariyosāna	adj	last	kammadhāraya > bahubbīhi	accantapariyosāna, rāgavinayapariyosāna	eva pariyosāna
parivāra	adj	last	chaṭṭhī tappurisa > bahubbīhi	appaparivāra, dasasataparivāra, mahāparivāra 1, sataparivāra, sahassasahassaparivāra, suciparivāra, setaparivāra	t6 pl
parivāra	masc	last	chaṭṭhī tappurisa	ādhipaccaparivāra, khandhakaparivāra, mahāparivāra 2	t6 pl
parivāsa	any	last	chaṭṭhī tappurisa		
parisa	adj	last	kammadhāraya > bahubbīhi		
parisā	fem	last	chaṭṭhī tappurisa	aṭṭhaparisā, catuparisā, dibbaparisā, sakaparisā, sampattaparisā	t6pl
parisā + a	adj	last	kammadhāraya > bahubbīhi		
parihāna	nt	last	chaṭṭhī tappurisa		
parihāni	fem	last	chaṭṭhī tappurisa		
pariḷāha	masc	last	chaṭṭhī tappurisa | sattamī tappurisa	darathakilamathapariḷāha, vighātapariḷāha 2	
pavāraṇā	fem	last	tatiyā tappurisa	catumāsappaccayapavāraṇā, niccapavāraṇā, punapavāraṇā	
pavedita	adj	last	tatiyā tappurisa		
pasanna	any	last	sattamī tappurisa	aveccappasanna, ubhatopasanna, muddhappasanna, mudhappasanna	
pasaṃsaka	adj	last	dutiyā tappurisa		
pasuta	any	last	sattamī tappurisa		
passaddhi	fem	last	chaṭṭhī tappurisa		
pahāna	nt	last	chaṭṭhī tappurisa		
pahāra	masc	last	tatiyā tappurisa		
pahūta	any	last	pañcamī tappurisa		
pahotika	adj	last	pañcamī tappurisa		
pācīna	any	first	kammadhāraya	pācīnaninna, pācīnapabbhāra, pācīnapoṇa	
pācīnā	any	first	kammadhāraya		
pācīnā	any	first	kammadhāraya	pācīnaninna, pācīnapabbhāra, pācīnapoṇa	
pāṭikaṅkhī	any	last	dutiyā tappurisa		
pātubhāva	masc	last	chaṭṭhī tappurisa		
pādaka	any	any	kammadhāraya		
pāpa	any	first	kammadhāraya		
pitar	masc	last	chaṭṭhī tappurisa		
puñña	any	first	kammadhāraya	puññattha, puññakata, puññakara, puññakiriyā, puññakkhaya, puññakkhetta, puññadhārā, antarāyakara, puññapāpa, puññapāpaphalūpaga, puññapekkha, puññapekkhāna, puññaphala, puññaphalūpajīvī	
puṭa	masc	last	chaṭṭhī tappurisa	tālapuṭa	
putta	masc	last	chaṭṭhī tappurisa	akulaputta, anujātaputta, avajātaputta, ekaputta 1, kaniṭṭhaputta, jeṭṭhaputta, taruṇaputta, duṭṭhaputta, piyaputta, baliputta, sakaputta	
pupphuḷa	any	last	chaṭṭhī tappurisa		
pubba	adj	first	kammadhāraya		before, previous
pubba	adj	last	kammadhāraya	māsapubba	
pubba	noun	first	kammadhāraya	pubbalohita, pubbāpara 1, pubbāsaya	before, previous
pubbaṅgama	any	last	kammadhāraya		
pubbuḷa	any	last	chaṭṭhī tappurisa		
pubbuḷaka	any	last	chaṭṭhī tappurisa		
purakkhata	any	last	tatiyā tappurisa	apurakkhata	
purima	any	first	kammadhāraya	purimakataphala, purimapadalopa, purimasadisa	
purima	any	first	kammadhāraya		
pūti	any	first	kammadhāraya	pūtidehasaya	
pema	any	last	sattamī tappurisa	avigatapema, vigatapema, adhigatapema, niviṭṭhapema, ittarapema	
peyyāla	noun	last	kammadhāraya		
poṇa	adj	last	dutiyā tappurisa	anupubbapoṇa, īsakapoṇa, īsakampoṇa, īsakaṃpoṇa	
posī	adj	last	dutiyā tappurisa		
phala	adj	last	kammadhāraya > bahubbīhi		
phala	nt	last	chaṭṭhī tappurisa	akālaphala, aggaphala 2, ariyaphala, kaṭukapphala 2, kiṃphala 2, tatiyaphala, tiphala, dutiyaphala, navaphala, nānāphala, puttaphala, maggaphala, madhuraphala, rukkhaphala, rukkhaphala 1, sapphala, sāduphala 1, sukhapphala	
phoṭṭhabba	masc	last	chaṭṭhī tappurisa	ekaphoṭṭhabba	
baddha	adj	last	tatiyā tappurisa		
bandhana	adj	last	catutthī tappurisa > bahubbīhi		
bandhanabaddha	adj	last	chaṭṭhī tappurisa		
bala	nt	last	chaṭṭhī tappurisa	bojjhaṅgabala, dasabala 1, ekabala, jaṅghabala, jaṅghābala, mahabbala 2, pañcabalāni, vaṇṇabala, āgatabala	
bahala	adj	first	kammadhāraya > bahubbīhi	bahalamadhukatelamakkhita	
bahala	noun	first	kammadhāraya		
bahu	any	first	kammadhāraya	bāhujañña 1, bāhujañña 2, bāhusacca	
bahulīkāra	adj	last	chaṭṭhī tappurisa		
bahulīkāra	masc	last	chaṭṭhī tappurisa		
bahulīkāra	masc	last	chaṭṭhī tappurisa		
bāhulla	nt	last	chaṭṭhī tappurisa		
bīja	adj	last	kammadhāraya > bahubbīhi		
bīja	nt	last	chaṭṭhī tappurisa | pañcamī tappurisa	pūtibīja	
bubbuḷa	any	last	chaṭṭhī tappurisa		
bojī	any	last	dutiyā tappurisa		
bhadda	any	first	kammadhāraya		
bhaya	nt	last	sattamī tappurisa		
bhāgiya	adj	last	chaṭṭhī tappurisa > bahubbīhi	uddhambhāgiya	
bhāvanā	fem	last	chaṭṭhī tappurisa		
bhūmi	fem	last	chaṭṭhī tappurisa	kappiyabhūmi, nagarabhūmi, nānāsaṃvāsakabhūmi, pañcabhūmi, pāpabhūmi, maṇḍabhūmi, yaññabhūmi, samabhūmi, samānasaṃvāsakabhūmi, sindhusovīrabhūmi	
bherava	adj	last	kammadhāraya > bahubbīhi		
majjha	any	last	chaṭṭhī tappurisa		
matta	adj	last	kammadhāraya	kāveyyamatta	
matta	nt	last	chaṭṭhī tappurisa		
mada	any	last	tatiyā tappurisa	uppannamada, vigatamada, vītamada	
maraṇa	nt	last	chaṭṭhī tappurisa | kammadhāraya | dvanda	adhimuttimaraṇa, anasanamaraṇa	
mala	nt	last	chaṭṭhī tappurisa	kilesamala, timala 2	
mahā	any	first	kammadhāraya		
maṃ	adj	first	alutta dutiyā tappurisa		
mātar	any	last	chaṭṭhī tappurisa	uttarānandamātar, cūḷamātar, janikāmātar, janikāmātū, janimātar, mahāmātar, vijātamātar, sakamātar, samātar	
mānī	adj	last	kammadhāraya iti		
micchā	any	first	kammadhāraya	micchādiṭṭhihata	
missa	any	last	tatiyā tappurisa		
mukha	any	last	x		
muṭṭhi	fem	last	chaṭṭhī tappurisa		
mutta	any	any	pañcamī tappurisa	gomutta, pūtimutta, pūtimuttabhesajja, muttakarīsa, muttagata, muttacāga, muttappaṭibhāna, muttabhāva, muttavatthi, muttacāgī, muttaharītaka, muttasaddha, sādhumutta	
mūla	noun	last	chaṭṭhī tappurisa	cīvaramūla, dinnamūla, pupphamūla, mahāmūla, sukkamūla, syāmamūla	
mūlaka	adj	last	kammadhāraya > bahubbīhi	aṭṭhamūlaka, ekamūlaka, catumūlaka, chamūlaka, timūlaka, dumūlaka, navamūlaka, pañcamūlaka, sattamūlaka	
mokkha	any	last	pañcamī tappurisa	aññamokkha, saggamokkha	
moneyya	nt	last	tatiyā tappurisa		
yaṃ	any	first	kammadhāraya		
yāna	noun	last	chaṭṭhī tappurisa	assayāna, bhaddayāna, yuttayāna, varayāna	
yutta	adj	last	kammadhāraya | tatiyā tappurisa		
yuddha	nt	last	tatiyā tappurisa		
raṭṭha	nt	last	chaṭṭhī tappurisa		
rata	adj	last	sattamī tappurisa		
rati	any	last	sattamī tappurisa	aratirati, khiḍḍārati, sabbarati	
ratta	any	last	sattamī tappurisa		
rasa	masc	last	chaṭṭhī tappurisa	aggarasa, sabbarasa, sādurasa	
rāga	any	last	sattamī tappurisa	adhammarāga, avigatarāga, avītarāga, chandarāga, tibbarāga, nandirāga, nandīrāga, saṅkapparāga, vigatarāga, vītarāga 1, vītarāga 2	
rāgavinibandha	adj	last	sattamī tappurisa > bahubbīhi		
rāsi	any	last	chaṭṭhī tappurisa	mahāpuppharāsi, mahāsāsaparāsi	
ritta	adj	last	pañcamī tappurisa		
rucika	adj	last	kammadhāraya > bahubbīhi		
rūpa	adj	last	kammadhāraya > bahubbīhi		
lakkhaṇa	adj	last	kammadhāraya		
lakkhaṇa	nt	last	chaṭṭhī tappurisa	asukalakkhaṇa, varalakkhaṇa, itthambhūtalakkhaṇa, asukalakkhaṇa, kiṃlakkhaṇa, tathalakkhaṇa, tilakkhaṇa 1, tilakkhaṇa 2, nimittalakkhaṇa, varalakkhaṇa	
lābha	masc	last	chaṭṭhī tappurisa	suladdhalābha, appalābha 2	
lūkha	noun	first	kammadhāraya		
loka	masc	last	chaṭṭhī tappurisa	anekadhātunānādhātuloka, idhaloka, paraloka, paroloka, sabbaloka	
lokika	adj	last	catutthī tappurisa > bahubbīhi		
lopa	any	any	chaṭṭhī tappurisa		
lobha	masc	last	sattamī tappurisa	agiddhilobha, icchālobha, giddhilobha, visamalobha	
loma	adj	last	> bahubbīhi		
lomasa	any	first	kammadhāraya		
loha	any	first	chaṭṭhī tappurisa	lohasīsa, lohapattadhara	
vagga	masc	last	kammadhāraya		
vaṅka	any	first	kammadhāraya		
vaḍḍhaka	any	any	chaṭṭhī tappurisa	ubhatovaḍḍhaka	
vaṇṇa	masc	last	chaṭṭhī tappurisa	aparisuddhavaṇṇa, ādivaṇṇa, āyuvaṇṇa 1, ivaṇṇa, kāḷavaṇṇa, kittivaṇṇa, dibbavaṇṇa, durattavaṇṇa, pakativaṇṇa, parisuddhavaṇṇa, pītakavaṇṇa, bahivaṇṇa, yathābhuccavaṇṇa, visabhāgavaṇṇa, surattavaṇṇa, setavaṇṇa 1	
vaṇṇanā	fem	last	chaṭṭhī tappurisa		
vatta	any	last	sattamī tappurisa	cakkavattiariyavatta, sīlavatta, gahaṭṭhavatta, vivekavatta, cakkavattivatta, bhikkhācariyavatta	
vatthu	nt	last	catutthī tappurisa | chaṭṭhī tappurisa | kammadhāraya	ekavatthu, khettavatthu	
vadha	masc	last	chaṭṭhī tappurisa		
vana	nt	last	kammadhāraya | chaṭṭhī tappurisa	antovana, giñjakasālavana, jetavana, naḷavana	
vasena	ind	last	chaṭṭhī tappurisa > abyayībhāva		
vāda	masc	last	kammadhāraya iti	isivāda, ajitakesakambalavāda, aññātavāda, jātivāda, theravāda 1, paravāda 1, paravāda 2, makkhalivāda	
vādī	any	last	dutiyā tappurisa	akālavādī, aggavādī, kālavādī, evaṃvādī, ucchedavādī, kiriyavādī 1, kiṃvādī, tathāvādī 1, tathāvādī 2, paravādī, puggalavādī, musāvādī, yathāvādī, sassatavādī, suññatavādī, suyuttavādī, aññavādī	
vāma	any	first	kammadhāraya		
vāsa	any	last	sattamī tappurisa	antevāsīvāsa, abrahmacariyavāsa	
vāsika	adj	last	sattamī tappurisa	agarukulavāsika, anantevāsika, santevāsika, sāntevāsika 1, sāntevāsika 2	
vāhana	adj	last	dutiyā tappurisa > bahubbīhi	appavāhana, mahāvāhana, sīghavāhana	
vijaya	noun	last	sattamī tappurisa		
vijānana	nt	last	chaṭṭhī tappurisa		
vijjā	fem	last	chaṭṭhī tappurisa		
viññāṇa	nt	last	sattamī tappurisa	sesaviññāṇa	
vitakka	noun	last	chaṭṭhī tappurisa	akusalavitakka, amaravitakka, uppannavitakka, kusalavitakka, manovitakka	
vinaya	any	last	chaṭṭhī tappurisa		
vinibandha	masc	last	chaṭṭhī tappurisa	saṃyojanavinibandha	
vinīta	adj	last	sattamī tappurisa	nookkācitavinīta, nopaṭipucchāvinīta, yāvatāvinīta	
vipatti	fem	last	chaṭṭhī tappurisa	catuvipatti	
vipanna	adj	last	tatiyā tappurisa		
vipariṇāmavirāganirodha	any	last	chaṭṭhī tappurisa		
viparīta	any	last	pañcamī tappurisa		
vipallāsa	masc	any	chaṭṭhī tappurisa	nacittavipallāsa, nadiṭṭhivipallāsa, nasaññāvipallāsa	
vipāka	masc	last	chaṭṭhī tappurisa	phalavipāka, yaṃvipāka	
vippamutta	any	last	pañcamī tappurisa		
vippayutta	adj	last	pañcamī tappurisa		
vippahīna	any	last	dutiyā tappurisa		
vibbhanta	adj	last	pañcamī tappurisa	aciravibbhanta	
vimutta	adj	last	tatiyā tappurisa		freed by
vimutta	adj	last	tatiyā tappurisa	aññāvimutta, anupādāvimutta, asamayavimutta, ubhatobhāgavimutta, evaṃvimutta, cetovimutta, taṇhāsaṅkhayavimutta, tathāvimutta, tadabhiññāvimutta, paññāvimutta, yathāvimutta, rūpasaṅkhayavimutta, viññāṇasaṅkhayavimutta, vedanāsaṅkhayavimutta, saṅkhārasaṅkhayavimutta, saṅkhāvimutta, saññāsaṅkhayavimutta, saññāsaṅkhāyavimutta, saddhāvimutta, samayavimutta, sammadaññāvimutta, sammāvimutta	free from
vimutta	any	last	pañcamī tappurisa | tatiyā tappurisa	anupādāvimutta, tathāvimutta	
vimutti	fem	last	tatiyā tappurisa | kammadhāraya	cetovimutti 1, cetovimutti 2, vijjāvimutti, samādhipaññāvimutti	
virati	any	last	pañcamī tappurisa		
visaññoga	masc	last	pañcamī tappurisa		
visaṃyutta	adj	last	pañcamī tappurisa		
visaṃyoga	masc	last	pañcamī tappurisa		
vihārī	adj	last	sattamī tappurisa | tatiyā tappurisa	anupubbavihārī, appamāṇavihārī, asammūḷhavihārī, ekavihārī, evaṃvihārī, tabbahulavihārī, pavivittavihārī, yathāvihārī, satatavihārī, saddhivihārī 1, sādhuvihārī	t3 with, t7 in
vihārī	adj	last	sattamī tappurisa		
vītivaṭṭa	adj	last	dutiyā tappurisa		
vītivaṭṭa	adj	last	dutiyā tappurisa		
vītivatta	adj	last	dutiyā tappurisa		
vuddha	any	last	tatiyā tappurisa		
vuddhi	fem	last	chaṭṭhī tappurisa		
vega	masc	last	chaṭṭhī tappurisa		
vedaniya	adj	last	tatiyā tappurisa	duggativedaniya	
vedanīya	adj	last	tatiyā tappurisa		
vepakka	adj	last	sattamī tappurisa		
vepulla	any	last	chaṭṭhī tappurisa		
vemattatā	fem	last	pañcamī tappurisa		
vohāra	adj	last	kammadhāraya > bahubbīhi		
sa	any	first	tatiyā tappurisa		
saka	adj	first	kammadhāraya > bahubbīhi		
saka	noun	first	kammadhāraya		
sakkharā	fem	last	chaṭṭhī tappurisa		
saṅkappa	noun	last	chaṭṭhī tappurisa	akusalasaṅkappa, kusalasaṅkappa, pāpasaṅkappa 2, manasaṅkappa, micchāsaṅkappa 1, sammāsaṅkappa 1	
saṅkilesika	any	first	kammadhāraya		
saṅkhepa	masc	last	chaṭṭhī tappurisa		
saṅgha	masc	last	chaṭṭhī tappurisa	aññasaṅgha, aparājitasaṅgha, ubhatosaṅgha, kammakārakasaṅgha, buddhasaṅgha, vassaṃvuṭṭhasaṅgha	
saṅghāṭa	masc	last	chaṭṭhī tappurisa		
saññā	any	last	sattamī tappurisa	akusalasaññā 1	
saññī	adj	last	kammadhāraya | pañcamī tappurisa | chaṭṭhī tappurisa > bahubbīhi		t5 'perceiving as'. t6 bb 'having the perception of'.
sata	nt	any	digu		
satasahassa	adj	last	kammadhāraya		
satasahassa	nt	last	digu		
sati	fem	last	chaṭṭhī tappurisa	anussaraṇasati, kāyagatāsati, micchāsati 2, sammāsati 1	
satta	adj	last	sattamī tappurisa	adīnasatta, adevasatta, amānasatta	attached
sadisa	any	last	tatiyā tappurisa	visadisa	
sadda	masc	last	chaṭṭhī tappurisa | kammadhāraya	ekasadda	
saddavipariṇāmavirāganirodha	masc	last	chaṭṭhī tappurisa		
sannipāta	masc	last	chaṭṭhī tappurisa	paṭhamasannipāta	
sannibha	adj	last	chaṭṭhī tappurisa		
sannibha	any	last	kammadhāraya		
sappāya	adj	last	catutthī tappurisa		
sappi	nt	last	chaṭṭhī tappurisa		
sabba	masc	first	kammadhāraya	sabbakammakkhaya, sabbajī, sabbaññū 2, sabbadukkhakkhaya, sabbanavaka, sabbanissagga, sabbasaṅkhārasamatha, sabbasaṃyojanakkhaya, sabbupādānakkhaya, sabbūpadhipaṭinissagga, sabbūpadhiparikkhaya, sabbūpadhippaṭinissagga, sabbaratticāra	
sabyatā	any	last	tatiyā tappurisa		
sabhāga	adj	first	kammadhāraya > bahubbīhi		
sama	adj	last	tatiyā tappurisa	samasama 1	
samaya	masc	last	chaṭṭhī tappurisa | kammadhāraya		
samācāra	adj	last	kammadhāraya		
samācāra	masc	last	chaṭṭhī tappurisa	saritabbasamācāra	
samādāna	nt	last	chaṭṭhī tappurisa		
samāna	any	last	tatiyā tappurisa	seyyasamāna	
samāpanna	adj	last	dutiyā tappurisa	ittarasamāpanna	
samāyuta	adj	last	tatiyā tappurisa		
samiddha	adj	last	tatiyā tappurisa	atisamiddha	
samugghāta	masc	last	chaṭṭhī tappurisa		
samuṭṭhāna	any	last	pañcamī tappurisa	ekasamuṭṭhāna, catusamuṭṭhāna 1, tisamuṭṭhāna 1, diṭṭhisamuṭṭhāna, dvisamuṭṭhāna	
samudaya	adj	last	kammadhāraya > bahubbīhi		
samudaya	noun	last	chaṭṭhī tappurisa		
samudda	masc	last	chaṭṭhī tappurisa	parasamudda, puratthimasamudda, mahāsamudda	
samuppatti	any	last	chaṭṭhī tappurisa		
samosaraṇa	adj	last	sattamī tappurisa > bahubbīhi	ekasamosaraṇa	
sampadā	fem	last	chaṭṭhī tappurisa		
sampanna	any	last	tatiyā tappurisa	anākappasampanna	
sampayutta	adj	last	tatiyā tappurisa		
samphassa	any	last	tatiyā tappurisa	adhivacanasamphassa, kharasamphassa, dukkhasamphassa, paṭighasamphassa, sukhasamphassa, mudusamphassa, appaḍaṃsamakasavātātapasarīsapasamphassa	
samphassaja	any	last	tatiyā tappurisa		
sambhava	adj	last	tatiyā tappurisa		
sambhava	masc	last	chaṭṭhī tappurisa		
sambhāra	adj	last	kammadhāraya > bahubbīhi		
sambhāra	noun	last	chaṭṭhī tappurisa		
sambhūta	adj	last	tatiyā tappurisa	attasambhūta	
sammissa	any	last	tatiyā tappurisa		
sammudita	adj	last	tatiyā tappurisa		
saraṇa	adj	last	dutiyā tappurisa > bahubbīhi	anaññasaraṇa	
saraṇa	nt	last	dutiyā tappurisa	tisaraṇa, suvaṇṇasaraṇa	
saraṇagamana	nt	last	dutiyā tappurisa		
sahagata	any	last	tatiyā tappurisa		
sahassa	nt	any	digu	asītisahassa, pañcasahassa 1	
saṃgha	any	last	chaṭṭhī tappurisa		
saṃyata	adj	last	sattamī tappurisa		
saṃyutta	nt	last	tatiyā tappurisa		
saṃyojana	any	last	chaṭṭhī tappurisa	ajjhattasaṃyojana, khīṇasaṃyojana, parikkhīṇabhavasaṃyojana, sabbasaṃyojana, ekasaṃyojana	
saṃvaṇṇetabba	any	first	kammadhāraya		
saṃvattanika	adj	last	catutthī tappurisa	anibbānasaṃvattanika, anupasamasaṃvattanika, asamādhisaṃvattanika	
saṃvuta	any	last	tatiyā tappurisa	cirarattasaṃvuta	
saṃsagga	any	last	tatiyā tappurisa	padasaṃsagga	
saṃsaṭṭha	any	last	tatiyā tappurisa		
saṃsāra	adj	last	kammadhāraya > bahubbīhi		
sāmaññagata	any	last	tatiyā tappurisa	diṭṭhisāmaññagata, samādhisāmaññagata, paññāsāmaññagata, sīlasāmaññagata	
sāmīcika	adj	last	catutthī tappurisa		
sārī	any	last	dutiyā tappurisa | kammadhāraya		
sāruppa	adj	last	catutthī tappurisa		
sālā	fem	last	catutthī tappurisa	ekasālā, kūṭāgārasālā 1, kūṭāgārasālā 2, jarasālā, dvārasālā, paṇṇasālā, migasālā	
sikkhā	any	last	sattamī tappurisa	anupubbasikkhā	
sikkhāsamādāna	nt	last	sattamī tappurisa		
sita	adj	last	dutiyā tappurisa	pathavissita 1, pathavissita 2, paṭhavissita	
sineha	masc	last	sattamī tappurisa	udakasineha, mettāsineha, sinehadosa 1.1	
sīta	any	first	kammadhāraya		
sīla	adj	last	kammadhāraya > bahubbīhi		
sīsaka	adj	last	kammadhāraya > bahubbīhi		
sukka	any	first	kammadhāraya		
sukha	adj	last	kammadhāraya > bahubbīhi	upekkhāsukha 1, kaṇṇasukha, paccuppannasukha, pavivekasukha 2, pītisukha 1, pītisukha 2, samparāyasukha	
sukha	nt	last	chaṭṭhī tappurisa | kammadhāraya	upekkhāsukha 1, pītisukha 1, samparāyasukha	
sucarita	any	last	tatiyā tappurisa		
suci	noun	last	tatiyā tappurisa		
sutta	nt	last	kammadhāraya		
suddha	noun	first	kammadhāraya	suddhanta	
suppaguṇa	any	last	kammadhāraya		
sūka	nt	last	chaṭṭhī tappurisa		
seṭṭha	masc	last	chaṭṭhī tappurisa	buddhaseṭṭha	
seta	adj	first	kammadhāraya > bahubbīhi	setarattanīla	
seta	any	first	kammadhāraya	setarattanīla	
sevita	adj	last	tatiyā tappurisa		
sota	masc	last	chaṭṭhī tappurisa	khīṇasota	stream of
sneha	masc	last	sattamī tappurisa		
hīna	adj	last	tatiyā tappurisa		
heṭṭhā	any	any	chaṭṭhī tappurisa	heṭṭhāgata, heṭṭhāchidda, heṭṭhima, heṭṭhūpapattika	
heṭṭhima	any	first	kammadhāraya		
hetu	ind	last	chaṭṭhī tappurisa > abyayībhāva	kāmarāgābhinivesavinibandhapaligedhapariyuṭṭhānajjhosānahetu, diṭṭhirāgābhinivesavinibandhapaligedhapariyuṭṭhānajjhosānahetu	
