word	pos	position	type	exceptions	notes
ākiṇṇa	adj	first	tatiyā tappurisa	appākiṇṇa, ākiṇṇakammanta	
ākiṇṇa	adj	last	tatiyā tappurisa	appākiṇṇa	
āgamana	nt	last	chaṭṭhī tappurisa	apunāgamana, idhāgamana, gamanāgamana, punāgamana	
ācikkhana	any	last	chaṭṭhī tappurisa		
ātitheyya	nt	last	tatiyā tappurisa		
ādāna	nt	last	chaṭṭhī tappurisa	attādāna	
ādesa	noun	last	chaṭṭhī tappurisa		
ānisaṃsa	adj	last	kammadhāraya		
ānisaṃsa	masc	last	sattamī tappurisa		
ābādha	adj	last	kammadhāraya > bahubbīhi		
ābādha	masc	last	chaṭṭhī tappurisa	visabhāgābādha	
āmukka	any	any	tatiyā tappurisa		
āyatana	nt	last	chaṭṭhī tappurisa	ajjhattikāyatana, khandhadhātuāyatana, khandhāyatana, chaphassāyatana 2, tadāyatana, pañcāyatana, bāhirāyatana 1, bāhirāyatana 2, sabbāyatana, saḷāyatana 1	
ārambha	masc	last	chaṭṭhī tappurisa	mahārambha 1.1, mahārambha 2.1, sabbārambha	
ārammaṇa	adj	last	kammadhāraya > bahubbīhi	ekārammaṇa 2	
ārammaṇa	noun	last	chaṭṭhī tappurisa | kammadhāraya	ekārammaṇa 2	
ārāma	adj	last	sattamī tappurisa		
āruḷha	any	last	dutiyā tappurisa	suttāruḷha	
ārūḷha	any	last	dutiyā tappurisa		
āloka	any	last	chaṭṭhī tappurisa		
āsaya	adj	last	sattamī tappurisa > bahubbīhi		
āsava	any	last	chaṭṭhī tappurisa	akhīṇāsava, khīṇāsava, pahātabbāsava, pubbāsava, vigatāsava, sabbāsava	
āsā	fem	last	sattamī tappurisa		
iṭṭha	any	first	kammadhāraya	iṭṭhāniṭṭha	
indriya	nt	last	chaṭṭhī tappurisa	pañcindriya, anaññātaññassāmītindriya	
ugga	any	last	chaṭṭhī tappurisa		
uju	any	first	kammadhāraya	ujugata, ujumaggānusārī	
uṇha	any	first	kammadhāraya	uṇhābhitatta	
uttama	any	first	kammadhāraya	uttamaṅgaruha, uttamadamathasamathamanuppatta, uttamaggarasadāyaka, uttamapattipatta, uttamappamukhatā	
uttara	any	first	kammadhāraya		
uttari	any	first	kammadhāraya | pañcamī tappurisa		
uddesa	masc	last	chaṭṭhī tappurisa	dasuddesa, samaṇuddesa, vitthāruddesa	
upaga	adj	last	dutiyā tappurisa	akāyūpaga, apuññūpaga, puññūpaga	
upagata	adj	last	dutiyā tappurisa	pubbupagata	
upaṭṭhāka	adj	last	dutiyā tappurisa		
upaṭṭhāka	masc	last	chaṭṭhī tappurisa	aggupaṭṭhāka, gilānupaṭṭhāka 1, cūḷupaṭṭhāka, cūḷūpaṭṭhāka, nāmupaṭṭhāka, patirūpaupaṭṭhāka	
upaddava	masc	last	catutthī tappurisa		
upapatti	fem	last	sattamī tappurisa	ujupapatti, kāmūpapatti 1, jimhupapatti, tatrupapatti, tatrūpapatti, dānūpapatti, bhavūpapatti, saṅkhārupapatti, sukhupapatti, sukhūpapatti	
upari	any	any	chaṭṭhī tappurisa	uparipaṇṇāsaka 1, uparipaṇṇāsaka 2, uparima	
upasamana	adj	last	chaṭṭhī tappurisa > bahubbīhi		
uppāda	masc	last	chaṭṭhī tappurisa	missakuppāda	
uyyuta	adj	last	dutiyā tappurisa	niccuyyuta	
ūna	any	last	tatiyā tappurisa		
eka	adj	first	digu	ekausabhagāmī, ekacittakkhaṇikamagga	
eka	noun	first	digu	ekausabhagāmī, ekacittakkhaṇikamagga	
ekanta	adj	first	kammadhāraya		
