initial	final	correct	wrong	not_in_constr	not_in_lemma	exceptions
j + t	bb	jt > bb	x	x	x	ubbigga 1, ubbigga 2, anubbigga, vibhattabba
j + t	ṭṭh	jt > ṭṭh	x	j + th, jj + t	x	x
j + th	tth	jth > tth	j > t	x	x	x
j + y	jj	jy > jj	y > j	jj + y	x	verajjaka
j + y	gg	jy > jj > gg	j > g	gg	x	x
j + s	kkh	js > kkh	x	x	x	x
						
ja + y	jj	jy > jj	x	x	x	bhojjayāgu
je + y	gg	jey > jj > gg	jy > jj > gg	gg	x	x
jj + t	ṭṭh	jjt > ṭṭh	jt > ṭṭh	jj + th	x	x
jj + y	jj	jjy > jj	y > j	x	x	x
j + ṃ	ñj	jṃ > ñj (metathesis)	jṃ > ñj	x	x	x
						
ñc	ṅk	ñc > ṅk (Kacc 623, 554)	ñc > ṅk	ṅk	x	asaṅkaccika, saṅkaccika
ñj + t	gg	ñjt > gg	jt > gg	x	x	x
						
ṭh + ṃ	ṇṭh	ṭhṃ > ṇṭh (metathesis)	ṭhṃ > ṇṭh	x	x	x
						
ṇ + y	ññ	ṇy > ññ	ṇ > ñ	x	x	x
ṇa + y	ññ	ṇay > ṇy > ññ	ṇ > ñ, ṇy > ññ	x	x	x
ṇṭ	ṇḍ	ṇṭ > ṇḍ	x	x	x	x
						
t + ṃ	nt	tṃ > nt (metathesis)	x	x	x	x
t + y	cc	ty > cc	x	x	x	x
t + y	tt	ty > tt	x	x	x	x
t + s	cch	ts > cch	x	x	x	x
ta + y	cc	tay > ty > cc	ty > cc	cc	x	veyyāvacca
tij	titi	tij > ti (contraction)	ij > i	x	x	atitikhiṇa, nātitikhiṇa
						
n + y	nn	ny > ññ > nn	y > n	x	x	x
n + y	ññ	ny > ññ	n > y	x	x	x
n + s	ṃs	ns > ṃs	x	x	x	x
nī	nāy	ī > āy	x	x	x	panāyati
nhā	nahā	nhā > nahā (epenthesis)	x	x	x	x
nd + n	nn	ndn > nn	x	x	x	x
						
d + ī	jj	dy > jj	x	x	x	x
d + y	jj	dy > jj	d > j	x	x	nānupakhajja
d + c	cc	dc > cc	d > c	d + ch	x	x
d + ch	cch	dch > cch	d > c	x	x	x
d + ch	cch	dch > cch	dc > cc	x	x	x
d + j	jj	dj > jj	d > j	d + jh	x	x
d + jh	jjh	djh > jjh	d > j	x	x	x
d + k	kk	dk > kk	d > k	d + kh	x	x
d + kh	kkh	dkh > kkh	dk > kk	x	x	x
d + g	gg	dg > gg	d > g	d + gh	x	x
d + gh	ggh	dgh > ggh	d > g	x	x	x
d + n	nn	dn > nn	d > n	nd + n	x	x
d + ṭh	ṭṭh	dṭh > ṭṭh	d > ṭ	x	x	x
d + t	tt	dt > tt	d > t	d + th	x	x
d + p	pp	dp > pp	d > p	d + ph	x	x
d + ph	pph	dph > pph	d > p	x	x	x
xd + b	bb	db > bb	d > b	x	x	x
d + bh	bbh	dbh > bbh	d > b	x	x	x
d + m	mm	dm > mm	d > m	x	x	x
xd + y	bb	dy > bb	x	abhi	x	x
d + y	yy	dy > yy	d > y	yy	x	x
d + r	dd	dr > dd	r > d		x	x
d + l	ll	dl > ll	d > l	ll	x	x
d + v	bb	dv > bb	d > b	x	x	x
d + s	ss	ds > ss	d > s	x	x	x
d + s	cch	ds > cch	d > c	x	x	x
d + ṃ	nd	dṃ > nd (metathesis)	ṃ > n	x	x	x
						
d + a + y	jj	day > dy > jj	dy > jj	jjh	x	abyāpajjha 2.2, abyāpajjha 2.1
d + a + y	jjh	day > dy > jjh	dy > jjh	x	x	x
da + y	jj	day > dy > jj	dy > jj	x	x	x
du	dū	u > ū	x	dur	x	dūpadhārita, ussāvabindūpama, dū
dh + t	ddh	dht > ddh	x	ndh + t	x	x
dh + y	jjh	dhy > jjh	x	x	x	x
dh + ṃ	ndh	dhṃ > ndh (metathesis)	dhṃ > ndh	x	x	x
dhi + a	jjh	dhi > dhy > jjh	x	x	x	x
						
p + t	tt	pt > tt	p > t	p + th	x	x
p + th	tth	pth > tth	p > t	x	x	x
p + s	cch	ps > cch	x	x	x	x
pa + i	pe	ai > e	i > e	x	x	x
pā + pā	pi	pā > pi (Kacc 469, 494)	x	x	x	x
pe + t	tt	pet > tt	pt > tt	x	x	vavatthāpetuṃ, attharāpetvā, nivattāpeti
p + y	pp	py > pp	y > p	x	x	x
plu	pil	pl > pil (epenthesis)	x	x	x	x
p + ṃ	mp	pṃ > mp (metathesis)	x	x	x	x
						
xbh + a	mbh	bh > mbh	x	x	x	x
						
bh + y	bbh	bhy > bbh	x	x	x	x
bha + y	bbh	bhy > bbh	x	x	x	x
bhā + y	bbh	bhy > bbh	x	x	x	x
						
m + k	ṅk	mk > ṅk	m > ṅ	m + kh	x	x
