abbhu
abhidaṃ
ada
adā
ādā
adaka
adaṃ
ādaṃ
adaṇḍāsu
adāni
adanti
ādāti
adda
ade
adi
adī
adiṃ
ādima
adīnaṃ
ādisaṃ
ado
adu
adū
ādu
aduṃ
aga
agā
āge
aggo
ago
agu
aha
ahā
āhanti
ahi
ahī
aho
ahū
ajā
aka
akā
akālato
akāle
akaṃ
akampi
akkhā
akkhe
akkhī
ako
akuṃ
ala
ala
alā
aḷā
alaṃ
alassa
alato
ale
alena
ali
alī
āḷi
alito
ālito
alle
alo
āma
āmā
amahaṃ
āmaṃ
amaṇi
amaññaṃ
amatta
amattaṃ
amatte
āme
āmo
aṃsa
aṃsi
aṃso
aṃsu
aṃsū
amu
amuṃ
ana
aṇa
āna
ānā
āṇa
āṇā
ānaṃ
āṇaṃ
anāma
anamhehi
anāmi
ānandanti
ananti
aṇanti
anatthāya
anāvase
anāvasena
ānayo
aṇḍa
aṇḍā
ane
āne
āneti
anha
anhā
aṇhā
āṇī
anīti
aṇṇa
aññanti
aññāti
aṇṇe
āpa
āpā
apaṅgena
apassa
apāyaṃ
ape
āpe
apetaṃ
apete
apettha
āpissa
appa
appe
ara
arā
āra
ārā
araṃ
aramhi
are
āre
ari
arī
āro
arū
asa
asā
āsa
āsā
asaṃ
asanā
asanti
āsanti
asataṃ
ase
āse
asī
āsi
āsī
asiṃ
aso
āso
assasa
assāyaṃ
asse
assū
assunā
asu
āsu
atigo
ato
atta
aṭṭā
attaṃ
atte
attena
aṭṭhāna
atthito
ātu
ātū
ātuṃ
āvāhaṃ
avaṃ
avanī
avase
āvase
avasena
ave
aveti
avi
avī
āvi
āvī
aya
ayā
āya
āyā
āyaṃ
āyamhi
ayanti
āyanti
ayati
āyāti
āyatu
aye
āye
āyena
ayita
ayo
āyū
bāhā
bālā
bali
bha
bhā
bhaṃ
bhu
bhū
bhuṃ
bījā
bila
bilase
byā
cari
cāri
cāro
cātu
cāṭu
ci
cīre
cite
citi
da
dā
daka
daṃ
dāmā
dānā
dāyi
de
dehī
dento
desa
dhi
dhī
dina
dinā
dīnaṃ
dināni
disa
disābhi
disaṃ
diso
diva
dive
do
dohi
dosābhi
dūri
duti
e
edha
elā
elo
em
ena
enā
enassa
enāyaṃ
ene
eno
esanti
ese
esi
esu
eta
eti
etu
ga
gā
gadante
gaṃ
ge
gha
ghi
gu
ha
hā
haṃ
haṃsu
hanti
hāpe
he
hu
icche
ida
iha
iṇa
isa
isanti
isataṃ
ise
isi
isī
isiṃ
issa
ita
itā
itaṃ
ite
īti
ītī
ito
ivaṇṇe
ja
jā
jaṃ
jāna
jani
jha
joto
ka
kā
kala
kalā
kaṃ
kāme
kampi
kāni
kanti
kāri
karo
kata
kāyanti
ke
kha
khe
khu
ki
kīḷa
kīḷī
kimi
kire
ko
kopi
kva
ma
ma
mā
mābhi
mada
madā
madaṃ
mahaṃ
mahāni
maṃ
māneti
māni
maññaṃ
maññanti
manti
manu
māti
matti
me
motu
na
nā
ṇa
ṇā
naha
nāha
nāhu
naṃ
ṇaṃ
nametaṃ
namha
nāni
nato
nattha
naṭṭho
nāva
naya
nāyaṃ
ne
ṇe
nidde
nijā
nīti
ñña
no
ṇo
oda
ohanti
oja
okā
opa
opā
opi
osa
osi
pa
pā
pacchi
pakā
paṃ
paṭhaṃ
pāva
pāyaṃ
pe
petaṃ
pete
pi
pissaṃ
pīti
po
puṃ
pupphanti
rahaṃ
raññaṃ
re
rome
rosanti
sa
sā
sahana
sahe
sahi
sahī
saja
sajā
sajanā
saje
sakā
saṃ
same
sane
santi
sapi
sat
sāti
savo
se
sene
seni
sesi
setu
seva
si
sita
sīti
sito
so
soṇī
soto
ssa
su
sū
sukhi
sukhī
supi
ta
tā
tama
tamā
tame
tanti
taso
tāva
taya
tāya
te
ṭha
ṭhā
ṭhāti
ṭhe
theva
thi
ṭho
ti
tīha
ṭṭhā
tumā
tv
ty
u
uda
udaṃ
uma
umaṃ
ume
ūnā
ura
urā
uru
ūsa
usu
uttaṃ
va
vā
vāhaṃ
vanā
vase
vāti
vāyaṃ
vāyanti
ve
vesā
veso
vetaṃ
veti
vidaṃ
vino
vo
ya
yā
yaṃ
yama
yanti
yati
yāti
yāyanti
yāye
yāyi
ye
yito
yu
sāti
vāpi
otta
anātha
ariṃ
kiñca
māhi
anūpāyaṃ
thunanti
supa
maha
riñca
maññantī
nīyanti
dāhaṃ
apanetaṃ
atiye
nesi
āgamettha
tipadaṃ
saratā
ayasmā
pahaṃ
vatā
vati
khantu
khanto
aku
panti
ajjheti
anissa
avetaṃ
iccha
icchi
dhāva
phalanti
dakkhi
dakkhu
dakkha
disanti
ramāma
ramāmase
amma
assaranti
saranti
assanti
issanti
alamhi
sapa
devarā
ima
matho
appo
mesaṃ
niyanti
vassanti
ovassanti
kiri
ema
apayiṃ
lañca
lañce
pajāna
asīti
cāpa
pabhavanti
pariyāyanti
rājanti
netaṃ
ānetaṃ
setaṃ
taranti
dhāti
sananti
assāto
anāsi
amāyasmā
sasate
ceti
