chA	chB	ch1	ch2	eg	for
l	a	la	a	celaṇḍakena	general
l	ā	la	a	sīlālaṅkāra	general
l	ā	la	ā	kālādīsu	general
l	ā	la	i	sīlāti	general
l	i	la	i	avikalindriyaṃ	general
l	o	la	o	cūḷarāhulovāde	general
l	o	la	u	musal'odukkhalena	general
l	o	lo	a	kallosi	general
l	o	lo	i	akhilo'dha	general
l	o	lo	u	musal'odukkhalena	general
l	u	la	u	bālussannāya	general
l	ū	la	u	phalūpapannaṃ	general
l	ū	lū	a	anabhijjhālūhamasmi	general
ḷ	a	ḷa	a	cūḷantevāsikassa	general
ḷ	ā	ḷa	a	kīḷāvasāne	general
ḷ	ā	ḷa	ā	naḷādayo	general
ḷ	o	ḷo	a	jaḷosi	general
m	a	ṃ	a	ahamasmi	general
m	a	ma	a	mamassa	general
m	a	ma	i	mamedaṃ	general
m	a	mi	a	abhijānāmahaṃ	general
m	ā	ṃ	a	sakimābhinandī	general
m	ā	ṃ	ā	sāvakamāsajja	general
m	ā	ma	a	mamānucchavikaṃ	general
m	ā	ma	ā	kammānubhāvena	general
m	ā	ma	i	carāmāti	iti
m	ā	mā	a	mābhinandi	general
m	ā	mā	ā	āyāmāvuso	general
m	ā	mā	e	metaṃ	general
m	ā	me	a	māyaṃ	general
m	ā		ā	vihāramidha'm'āhu	general
m	b	ṃ	b	garumbhāraṃ	general
m	e	ṃ	e	viññāṇakasiṇameko	general
m	e	ma	e	nāmesa	general
m	e	ma	i	mamedaṃ	general
m	e	mā	e	metamāsado	general
m	e	me	a	me'si	general
m	e	me	e	metaṃ	general
m	e	me	i	imeti	iti
m	e	mi	e	imināvārahām'evāhaṃ	general
m	e		e	idheva'm'eso	general
m	h	ṃ	h	ahuvamhi	general
m	i	ṃ	i	suññamidaṃ	general
m	i	ma	i	nāmime	general
m	i	mi	a	passāmi'ssānubhāvanti	general
m	i		i	midhekacce	general
m	ī	ṃ	ī	evamīdisesu	general
m	ī	mi	i	asmīti	general
m	o	ma	u	sadhammokkaṃsanā	general
m	o	mo	a	saccanāmomhi	general
m	o	mo	e	abhikkamosānaṃ	general
m	o	mo	i	appaṭimo'dha	general
m	p	ṃ	ap	kusacīrampi	api
m	p	ṃ	api	yampicchaṃ	general
m	p		ap	bhavataṇhā'm'pāhaṃ	general
m	u	ṃ	u	ahamupaka	general
m	u	ma	u	dhammuddesā	general
ṃ	d		d	yassa'ṃ'disaṃ	general
ṃ	h	ṃ	ah	yasmiṃ'haṃ	general
ṃ	p	ṃ	ap	sumaṅgalavilāsiniyaṃpi	api
ṃ	s	ṃ	as	kaṃsi	general
ṃ	s	ṃ	ass	yaṃsa	general
ṃ	t	ṃ	it	kiṃti	iti
ṃ	v	ṃ	ev	ekaṃ'va	eva
ṃ	v	ṃ	iv	hatthagataṃva	general
ṃ	y	ṃ		kakusandhaṃyeva	general
n	a	na	a	yenamhi	general
n	a	ni	a	tānassu	general
n	a	no	a	sampann'atthūdha	general
n	a	nu	a	najja	general
n	ā	na	a	panāyye	general
n	ā	na	ā	āraññikenāvuso	general
n	ā	na	i	ānubhāvenāti	iti
