variant	main
kaṇḍakaṭṭhikaṃ	khandhaṭṭhikaṃ
keḷāyikāpi	velāsikāpi
mūlaghacchaṃ	mūlaghaccaṃ
mutoli	putoḷi
paccuṭṭhassanti	paccuṭṭhissanti
padosiyimhā	padūsimhā
pāmuñjasā	samojasā
parihiṃsatthāya	barihisatthāya
pitantaraṃso	citantaraṃso
sakappo	ekatiṃse kappe
sampajjasā	samojasā
saṃsabbati	saṃsappati
sanantica	sanantanaṃ
sāravanaṃ	saravanaṃ
siṅghasotāya	sīghasotāya
suppaṭṭitaṃ	subbaṭṭitaṃ
tarojigucchaṃsārodā	tapojigucchāvādā
thorakāni	dhorakāni
uhacca	ūhacca
upasantapatiso	upasantapadisso
uruddā	urundā
uttamapamukkhatāya	uttamappamukhatāya
uttamasukhatāya	uttamappamukhatāya
vedhamissakena	veṭhamissakena
veghamissakena	veṭhamissakena
vekhamissakena	veṭhamissakena
vigāyāma	viyāyāma
visācitaṃ	visāci
visāvi	visāci
vissukammante	visukammante
vissutakammante	visukammante
vitāyāma	viyāyāma
vivekajapītisukhasukhuma	vivekajapītisukhasukhumasaccasaññā
viyāyamāma	byāyāma
abbhūṇheyya	abbuheyya
abbhūṇhanahetu	abbuhanahetu
abbhūṇhi	abbuhi
aviciṇṇaṃ	adhiciṇṇaṃ
bhāsitaparikantaṃ	bhāsitaparikkantaṃ
chaddeyya	chaḍḍeyya
evamādi	evaṃmānī
atthasamānaṃ	atathaṃ samānaṃ
vaṇassāropīti	vaṇasāropīti
āsiviso	āsīviso
gaṇakamoggalāno	gaṇakamoggallāno
issatte	issatthe
appaṭibandho	appaṭibaddho
virāgutaṃ	virāgunaṃ
kiñcakkhahetu	āmisakiñcikkhahetu
vayabhiññā	vassabhaññā
vikkhitāni	vikkhittāni
piṭṭhikaṇḍakaṃ	piṭṭhiṭṭhikaṃ
ubhantarapaṭodo	odhastapatodo
acchira	acchidaṃ
asammusā	asammuccā
bhitāro	nijigīṃsitāro
dukkhudayaṃ	dukkhudrayaṃ
dukkhundrayaṃ	dukkhudrayaṃ
nicchādeyya	nipphoṭeyya
niccoṭeyya	nipphoṭeyya
ophāresi	upphālesi
palikuṇṭhitvā	palikujjitvā
paṇḍumudikassa	paṇḍupuṭakassa
khārāpaṭicchakampi	khārāpatacchikampi
palālapiṭṭhakampi	palālapīṭhakampi
addhubandhaṃ	adhibandhaṃ
balisamaṃsikampi	baḷisamaṃsikampi
ogahetvā	ogāhitvā
soḷasaṅgulakaṇḍakaṃ	soḷasaṅgulakaṇṭakaṃ
yogācariyānaṃ	yoggācariyānaṃ
kumbhakāranivesane	kumbhakārāvesane
ūrūndaṃ	urundaṃ
urūddhaṃ	urundaṃ
tiṇasantharikaṃ	tiṇasanthārakaṃ
ājānāmā	ājānāmātissa
vilimaṃ	vilimaṃsaṃ
īsakaphaṇe	īsakaṃpoṇe
divasasantette	divasaṃsantatte
paṭipāpeti	paṭivāpeti
sammusā	sammuccā
saṃpuṭīto	saṃphuṭito
sannahi	sannayhi
sapuṭā	pavuṭā
sobhanagarakaṃ	sobhanakaṃ
sobhanagharakaṃ	sobhanakaṃ
ubbayena	abbhayena
uhananti	ūhananti
upaccumbheyya	upasumbheyya
vaṇḍapaṭibaddhāni	vaṇṭapaṭibandhāni
dveḷhakajātā	dvedhikajātā
uppaṭṭethāti	ubbaṭṭethāti
maññītaṃ	maññataṃ
sasaṅkhāraniggayhavāritavataṃ	sasaṅkhāraniggayhavāritagataṃ
sasaṅkhāraniggayhavārivāvataṃ	sasaṅkhāraniggayhavāritagataṃ
saṃkhittamattaṃ	saṃkhittamatthaṃ
vasamaddhagū	vasamanvagū
abbhussukkamāno	abbhussakkamāno
sagāravenāpi	sahācaritena
vājapeyyuṃ	vājapeyyaṃ
ohayissāmi	osāpayissāmi
nikkhīpagāminaṃ	nikkhippagāminaṃ
samupabbuḷho	samupabyūḷho
samajjheganti	samajjhaganti
vammani	dhammani
dhammaniṃ	dhammani
jammaniṃ	dhammani
paccagū	baddhagū
dubbhato	dubbhago
dubbhayo	dubbhago
visukāyikāni	visūkāyikāni
kathajjhāyaṃ	kathaṃ jhāyaṃ
kuppatī	kuppati
nassaratī	na sarati
sahassāna	sahassānaṃ
dudhārī	kuṭhārī
vilaṅgikabhāradvājo	bilaṅgikabhāradvājo
udīriyi	udīrayi
ummaggasataṃ	ummaggapathaṃ
paṃsukuṇḍito	paṃsukunthito
māgato	vāsāyāḷavimāgamā
adrubbhāya	adubbhāya
sobhino	sobhano
assavaṇijā	assavāṇijā
patthapatthamūlakaṃ	patthapatthapulakaṃ
sampahūlehi	sambahūlehi
chaṭṭetukāmā	chaḍḍetukāmā
opucchāpetvā	opuñjāpetvā
vīriyārabbhassa	vīriyārambhassa
sādayati	sādiyati
indakhile	indakhīle
sammacārino	samacārino
rājaggaṃ	rājagghaṃ
bhendiṃ	bheṇḍiṃ
kuladhītāyo	kuladhītaro
dārudhitalikāya	dārudhītalikāya
pariyosāvāpeti	pariyosāpeti
byābāhissantīti	byābādhissantīti
ussaritā	ussāritā
vigaṇetvā	gaṇetvā
asaṅkacchikā	asaṅkaccikā
avassikasaṃkete	avassikasaṅkete
kumbhathuṇikānampi	kumbhathūṇikānampi
pīṭhasaṃghāṭassa	piṭṭhasaṅghāṭassa
sayanīghare	sayanighare
vīṭhe	vidhe
vīthe	vidhe
takkasīlāyaṃ	takkasilāyaṃ
mettiyabhūmmajakā	mettiyabhūmajakā
babbajamayaṃ	pabbajamayaṃ
kotthaḷikāya	kotthaḷiyā
saṃsumāragire	suṃsumāragire
sammanati	sammannati
pallattikāya	pallatthikāya
samatitthikaṃ	samatittikaṃ
sokavassaṃ	sokāvāsaṃ
sokāvassaṃ	sokāvāsaṃ
adhippāyaso	adhippayāso
apadhāvissati	upadhāvissati
yaṃpaccayāya	yaṃpaccayāssa
paṭiviseyya	paṭisisseyya
paliṃkhaṇeyya	palikhaṇeyya
palisanneyya	palimajjeyya
palisajjeyya	palimajjeyya
palipaṭṭheyya	palimajjeyya
palisandeyya	palimajjeyya
palibandheyya	palimajjeyya
guḷīguṇṭhikajātā	kulagaṇṭhikajātā
muñjababbajabhūtā	muñjapabbajabhūtā
anitthiṇṇo	anittiṇṇo
maṭṭhaloṇikāya	bhaṭṭhaloṇikāya
brāhmaññatthaṃ	brahmaññatthaṃ
pasandaṃ	passandaṃ
pāṭheyyakā	pāveyyakā
appagabbā	appagabbhā
verambā	verambhā
sāriputtamoggalānā	sāriputtamoggallānā
vibhajenti	virājenti
sukumālā	sukhumālā
abbhūhetvā	abbuhetvā
diṭṭhagatena	diddhagatena
sañjabbharimakaṃsūti	sañjambharimakaṃsūti
sandhavāni	santhavāni
sandhavajāto	santhavajāto
taṇhamabbhuyha	taṇhamabbuyha
abbhuyha	abbuyha
thāmase	thāmasā
rūpupāyaṃ	rūpupayaṃ
mocantā	cajamānā
rūpatthāya	rūpattāya
abhisaṅkhāyi	abhisaṅkhāsi
kammattānaṃ	kathamattānaṃ
samañcosi	samadhosi
samañcopi	samadhosi
akukkajātaṃ	akukkukajātaṃ
akusajātaṃ	akukkukajātaṃ
akukkujakajātaṃ	akukkukajātaṃ
bubbulūpamā	bubbuḷūpamā
kādalimigapavarapaccattharaṇāni	kadalimigapavarapaccattharaṇāni
gaddūlabandho	gaddulabaddho
pavudhā	pavuṭā
nuyogā	dūteyyapahiṇagamanānuyogāya
nuyogena	dūteyyapahiṇagamanānuyogāya
vipariyādikatena	vimariyādīkatena
anassasiṃ	anassasaṃ
anassāsaṃ	anassasaṃ
anassāsiṃ	anassasaṃ
samatesi	samadhosi
kulaguṇḍikajātā	kulagaṇṭhikajātā
guṇaguṇikajātā	kulagaṇṭhikajātā
kulāguṇḍikajātā	kulagaṇṭhikajātā
abhindeyya	ābhindeyya
akukkuṭakajātaṃ	akukkukajātaṃ
akukkajaṭajātaṃ	akukkukajātaṃ
vinibbhajjeyya	vinibbhujeyya
odhatapatodo	odhastapatodo
odhasatapatodo	odhastapatodo
sevanatthāya	rohanatthāya
ojīrakajāto	ocīrakajāto
odīrakajāto	ocīrakajāto
samanesati	samanvesati
asucigāmakaṇḍato	kaṇṭako
adhippāyoso	adhippayāso
saṅkhattā	saṅghaṭṭana
saṅghattā	saṅghaṭṭana
baḷībaddassa	balībaddassa
abbhasaṃbilāpo	abbhasampilāpo
abbhasaṃvilāpo	abbhasampilāpo
kuṭṭhitaṃ	kuthitaṃ
vigāyissati	virodhayissati
bahupadā	bahuppadā
candimāpabhāya	candimappabhāya
mūlacchinde	mūlacchinno
bhāvanāparipūriṃ	bhāvanāpāripūriṃ
vettabandhanabandhāya	vettabandhanabaddha
pariyātāya	pariyādāya
ārāmaniyādī	ārāmanissayī
vipphaliguhāyaṃ	pippaliguhāyaṃ
uddhattaṃ	uddhataṃ
pakkudhito	pakkuthito
avacamānā	asaṃvadamānā
avādamānā	asaṃvadamānā
veḷamissakena	veḷumissakena
vegamissakena	veḷumissakena
daḷhaddhāpaṃ	daḷhuddhāpaṃ
jātikkhayantadassī	jātikhayantadassī
mahābhiññātaṃ	mahābhiññataṃ
saṃghaṭṭanāsamodhānā	saṅghaṭṭanasamodhānā
saṃghaṭanasamodhānā	saṅghaṭṭanasamodhānā
ajjhaparaṃ	accayāsi
mallikesu	mallesu
vīriyasamādhi	vīriyasamādhipadhānasaṅkhārasamannāgata
paṭihacca	paṭikacca
ānāpānasati	ānāpānassati
asukhāpassayitāni	asukhasayitāni
sajjattharaṇassa	paccattharaṇassa
aciṇṇaṃ	adhiciṇṇaṃ
dukkhanirodhagāminipaṭipadaṃ	dukkhanirodhagāminiṃ paṭipadaṃ
taṇhāsaṃyojanabandhā	taṇhāsaṃyojanā
bhisamūlālaṃ	bhisamuḷālaṃ
vinītagatena	vinipātagatena
bījagāmabhūtagāmasamārabbhā	bījagāmabhūtagāmasamārambhā
itthikumārikāpaṭiggahaṇā	itthikumārikapaṭiggahaṇā
dāsīdāsapaṭiggahaṇā	dāsidāsapaṭiggahaṇā
hatthigavassavaḷavāpaṭiggahaṇā	hatthigavassavaḷavapaṭiggahaṇā
dūteyyapahinagamanānuyogā	dūteyyapahiṇagamanānuyogā
