variant	main
punupeyya	punupessaṃ
sandhave	santhave
vaṃsākaḷīrova	vaṃsakkaḷīrova
vaṃsekaḷīrova	vaṃsakkaḷīrova
saṅghaṭṭamānāni	saṅghaṭṭayantāni
pacchinnapatto	sañchinnapatto
alimpamāno	alippamāno
duvijāno	suvijāno
uparundheti	parirundhati
paṭijānati	paṭijānāti
vaṃsakaḷīrova	vaṃsakkaḷīrova
mavajānati	mavajānāti
supāṇā	suvānā
parihārati	parihīrati
unnametave	uṇṇametave
sandhavato	santhavāto
alimpamānaṃ	alippamānaṃ
nīlagivo	nīlagīvo
padavissito	pathavissito
satamasamānā	satamasnamānā
asucibhāvamassitā	asucibhāvamissitā
lūkharasā	lūkhasā
pātirūpikā	pāṭirūpikā
atthanvayaṃ	ananvayaṃ
attasammāpaṇīdhī	attasammāpaṇidhi
kāraṇḍaṃ	kāraṇḍavaṃ
pithiyyare	pidhiyyare
okkādhāro	ukkādhāro
abbhadhanaṃ	abbhaghanaṃ
saṇiṃ	saṇikaṃ
saṅkhayyakārova	saṅkheyyakāro ca
yadatthiyaṃ	yadatthikaṃ
yadatthitaṃ	yadatthikaṃ
achejji	acchecchi
anāsayāno	anāsisāno
anāsasāno	anāsisāno
paṭhamuppattito	paṭhamuppattiko
senatthena	yenatthena
vecchāmi	bhecchāmi
puññapekho	puññapekkho
samujjapaññassa	samujjupaññassa
kenatthenā	kenattanā
veḷaṭṭhaputto	belaṭṭhaputta
keṇissamiye	keṇiyassa jaṭilassa assame
vivattacchaddo	vivaṭṭacchaddo
sammannesi	samannesi
bhojarājāno	bhogirājāno
mahantakaro	mahattaro
bhunahata	bhūnahu
ginissamāsu	agginisamāsu
adhimanasā	adhimānasā
paripucchiyāno	paripucchamāno
vivasane	vivasāne
rukkhaṃvupativattati	rukkhaṃvupanivattati
attamānaṃ	attamāniṃ
limpatī	lippatī
dviyattesu	viyattesu
viditva	viditvā
nopalimpati	nopalippati
vidiyanti	vādayanti
samohamāgā	pamohamāgā
elambujaṃ	jalambujaṃ
ghaṭṭamānā	ghaṭṭayantā
mantābhāṇī	mantabhāṇī
piyassu	piyā su
akkusaloti	akusaloti
nānāto	nānā te
medhakaṃ	medhagaṃ
sikkhānukiriyanti	sikkhānugīyanti
kutha	kuvaṃ
muḷakassa	aḷakassa
mūḷhakassa	aḷakassa
maḷakassa	aḷakassa
tassito	tasito
dvattiṃsāni	dvattiṃsā
vivattachaddo	vivaṭṭacchado
vissajessati	vissajjessati
purimāhissatiṃ	puraṃ māhissatiṃ
vītaraṃsiṃva	sataraṃsiṃ
samīhāmi	sahissāmi
dhimutto	vimutto
anānuvāyī	anānuyāyī
paṭṭhagūti	paddhagūti
asutaṃmutaṃ	asutaṃ amutaṃ
kiñcinamatthi	kiñcanamatthi
maccudheyyapāraṃ	maccudheyyassa pāraṃ
ñatva	ñatvā
kadarīyaṃ	kadariyaṃ
kaṇḍakavārijaṃ	kaṇḍakaṃ vārijaṃ
byasanaṅgato	byasanaṃgato
nighosaṃ	nigghosaṃ
pupphamivā	pupphamiva
yathākammupage	yathākammūpage
athuṇhaṃ	atuṇhaṃ
kuva	kuvaṃ
tiṇṇakathaṅkatho	tiṇṇakathaṃkatho
saṃkappayattāya	saṃkappayantāya
sumaṃ	sudaṃ
pahīyabhi	pahissati
kāraṃviyaṃ	kārambhiyaṃ
sītavātakadditakalitā	sītavātakīḷitā
nimmissaṃ	nimiyaṃ
vihavihābhinadite	cihacihābhinadite
papajjaṃ	papajjiṃ
saṃsevitabuddhasīlinā	saṃsevitavuddhasīlinā
sallakitena	bahukuṭajasallakikena
veghamissena	veṭhamissena
bodhiyati	heṭhīyati
soḷasapabbedho	soḷasubbedho
apacanīyānaṃ	apaceyyānaṃ
atibhariyāya	atibharitāya
