kenacideva	kenaci + eva
nippapañcārāmassāyaṃ	nippapañcārāmassa + ayaṃ
catūhāvuso	catūhi + āvuso
sāvassā	sā + eva + assā
anatikkamanīyāti	anatikkamanīyā + iti
āyañca	āyaṃ + ca
catūhāvuso	catūhi + āvuso
tīhāvuso	tīhi + āvuso
dvīhāvuso	dvīhi + āvuso
nūname	nūna + ime
hanūname	ha + nūna + ime
paname	pana + ime
hanūname	ha + nūna + ime
navahaṅgehi	navahi + aṅgehi
vuḍḍhihesā	vuḍḍhi + hi + esā
tāvāyaṃ	tāva + ayaṃ
panassāvuso	pana + assa + āvuso
cassānupassati	ca + assa + anupassati
cassānupassatīti	ca + assa + anupassati + iti
tiādinā	iti + ādinā
jhāyīhete	jhāyī + hi + ete
tathāhimaṃ	tathā + hi + imaṃ
atthābhinibbattesuṃ	attha + abhinibbattesuṃ
parisuddhenamhi	parisuddhena + amhi
