kenacideva	kenaci + eva
yamudāyi	yaṃ + udāyi
svepi	so + api
bhāvitamāsiṃsati	bhāvitaṃ + āsiṃsati
noti	no + iti
pādagaṇṭhirahu	pādagaṇṭhi + ahu
yadūpaghātāya	yad + upaghātāya
yadānulomikaṃ	yad + anulomikaṃ
micchaṃ	m + icchaṃ
tissu	iti + assu
yampicchaṃ	yaṃ + api + icchaṃ
namatthi	na + me + atthi
tāpāhaṃ	tā + api + ahaṃ
atthītissa	atthi + iti + assa
jitamhā	jita + amhā
nevasassato	na + eva + sassato
svāssudaṃ	so + assudaṃ
yañcassāhaṃ	yaṃ + ca + assa + ahaṃ
sopāgā	so + upagā
yaṃpāvuso	yaṃ + api + āvuso
vohaṃ	vo + ahaṃ
nevattānaṃ	na + eva + attānaṃ
yaṃnūna	yaṃ + nūna
vodhammā	vo + dhammā
nāmaso	nāma + so
mampi	maṃ + api
jhāyatisu	jhāyati + su
time	ti + ime
sopāga	so + upāga
svajja	so + ajja
yekeci	ye + keci
māssu	mā + ssu
yaṃnūnāhampi	yaṃ + nūna + ahaṃ + api
jalatisu	jalati + su
midhekacce	m + idha + ekacce
āmāvuso	āma + āvuso
yasassiso	yasassi + so
jalatassu	jalati + assu
jhāyatassu	jhāyati + assu
nāvuso	na + āvuso
mahañca	mahaṃ + ca
āmoti	āmo + iti
tyāssa	te + assa
tyassu	te + assu
nevasassataṃ	na + eva + sassataṃ
yeso	yo + eso
piyāmesi	piyā + me + asi
aggohamasmi	aggo + ahaṃ + asmi
dhiratthu	dhi + atthu
nopi	no + api
yañcetaṃ	yaṃ + ca + etaṃ
yañceva	yaṃ + ca + eva
itova	ito + eva
māhevaṃ	mā + hi + evaṃ
aṭṭhāhaṃ	aṭṭha + ahaṃ
nāḷakaraññikiṭāgirināmo	nāḷaka + arañña + kiṭāgiri + nāmo
vihitakaṃno	vihitakaṃ + no
tiādivacanaṃ	iti + ādi + vacanaṃ
appicchassāyaṃ	appicchassa + ayaṃ
santuṭṭhassāyaṃ	santuṭṭhassa + ayaṃ
pavivittassāyaṃ	pavivittassa + ayaṃ
āraddhavīriyassāyaṃ	āraddhavīriyassa + ayaṃ
upaṭṭhitasatissāyaṃ	upaṭṭhitasatissa + ayaṃ
samāhitassāyaṃ	samāhitassa + ayaṃ
nippapañcassāyaṃ	nippapañcassa + ayaṃ
amāhaṃ	ama + ahaṃ
amāhaṃ	amuṃ + ahaṃ
mapi	m + api
nevassu	na + eva + ssu
yidaṃ	y + idaṃ
yañhissa	yaṃ + hi + assa
nāhamasmi	na + ahaṃ + asmi
asuyeva	asu + eva
nayimaṃ	na + imaṃ
nevattabyābādhāya	na + eva + attabyābādhāya
nāpahosiṃ	na + api + ahosiṃ
mābhinandi	mā + abhinandi
yañcāhaṃ	yaṃ + ca + ahaṃ
nevattānukkaṃsessāma	na + eva + attānukkaṃsessāma
yañcāvuso	yaṃ + ca + āvuso
kosu	ko + su
nevattānukkaṃsissāma	na + eva + attānukkaṃsissāma
evaṃbyākho	evaṃ + byā + kho
yampāvuso	yaṃ + api + āvuso
tebhikkhū	te + bhikkhū
yaṃsa	yaṃ + assa
sopikho	so + api + kho
tyāvuso	te + āvuso
alañca	alam + ca
metamāsado	mā + etaṃ + āsado
māhaṃ	mā + ahaṃ
yañcassa	yaṃ + ca + assa
atthānanda	atthi + ānanda
appatissotissa	appatisso + iti + assa
midhekaccaṃ	m + idhekaccaṃ
tamenāññataro	taṃ + ena + aññataro
evaṃbyākhoti	evaṃ + byā + kho + iti
maññantīti	maññanti + iti
seyyaṃsoti	seyyaṃso + iti
pāpiyaṃsoti	pāpiyaṃso + iti
naṅgulīhi	na + aṅgulīhi
yodhapuññañca	yo + idha + puññaṃ + ca
yodhakāme	yo + idha + kāme
yodhataṇhaṃ	yo + idha + taṇhaṃ
devātipadesu	devā + iti + padesu
adhidevātipadesu	adhidevā + iti + padesu
atthetanti	atthi + etaṃ + iti
māheva	mā + hi + eva
sossa	so + assa
santetthekacce	santi + ettha + ekacce
kiñcanatasmiṃ	kiñcanatā + asmiṃ
kirame	kira + ime
atthitevassa	atthi + iti + eva + assa
khajjabhojjarasalābhiruttamaṃ	khajjabhojjarasalābhi + uttamaṃ
middhī	m + iddhī
yantitthiyo	yanti + itthiyo
yaṃpāyasmā	yaṃ + api + āyasmā
vāssa	vā + assa
yampimaṃ	yaṃ + api + imaṃ
apaṇṇakante	apaṇṇakaṃ + te
manubrūhaye	m + anubrūhaye
ādiyeva	ādi + eva
cevuttāsavā	ca + eva + uttāsavā
nevussādeyya	na + eva + ussādeyya
nevussādanā	na + eva + ussādanā
nevubhato	na + eva + ubhato
yāpetāyasmā	yāpetu + āyasmā
evammettha	evaṃ + me + ettha
tenevovādena	tena + eva + ovādena
nevidha	na + eva + idha
nayime	na + ime
cedaṃ	ce + idaṃ
yaṃnūnassāhaṃ	yaṃ + nūna + assa + ahaṃ
mānubyañjanaggāhī	mā + anubyañjanaggāhī
nevāsaṃ	na + eva + āsaṃ
sammāsaṅkappaṃpahaṃkyādīsupi	sammāsaṅkappaṃ + api + ahaṃ + kiṃ + ādīsu + api
tepīdha	te + api + idha
yidanti	idaṃ + iti
panassāti	pana + assa + iti
pabbatassāti	pabbata + assa + iti
ehayyebhiramāmaseti	ehi + ayye + abhiramāmase + iti
ramāmaseti	ramāmase + iti
puratthamatthi	puratthaṃ + atthi
tyāhutiṃ	te + āhutiṃ
tyāyaṃ	te + ayaṃ
yamariyagarahī	yaṃ + ariyagarahī
yamariye	yaṃ + ariye
yamariyaṃ	yaṃ + ariyaṃ
nahanūnimassa	na + ha + nūna + imassa
tyatthu	te + atthu
tyāssudaṃ	ta + assudaṃ
mejja	me + ajja
kome	ko + ime
mañca	maṃ + ca
nāmamhehi	nāma + amhehi
labhatippasādaṃ	labhati + pasādaṃ
labhatippasaṃsanti	labhati + pasaṃsaṃ + iti
yānukampā	yo + anukampā
