abbhu
abhidaṃ
ada
āda
ādā
adaka
adaṃ
ādaṃ
adaṇḍāsu
adāni
adanti
ādāti
adda
ade
adi
adī
adiṃ
ādima
adīnaṃ
ādisaṃ
ado
adu
adū
ādu
aduṃ
aga
agā
āgamettha
āge
aggo
ago
agu
aha
ahā
āhanti
ahi
ahī
aho
ahū
ajā
ajjheti
aka
akā
akālato
akāle
akaṃ
akampi
akkhā
akkhe
akkhī
ako
aku
akuṃ
ala
ala
alā
aḷā
alaṃ
alamhi
alassa
alato
ale
alena
ali
alī
āḷi
alito
ālito
alle
alo
āma
āmā
amahaṃ
āmaṃ
amaṇi
amaññaṃ
amatta
amattaṃ
amatte
amāyasmā
āme
amma
āmo
aṃsa
aṃsi
aṃso
aṃsu
aṃsū
amu
amuṃ
ana
aṇa
āna
ānā
āṇa
āṇā
ānaṃ
āṇaṃ
anama
anāma
anamhehi
anāmi
ānandanti
ananti
aṇanti
anāsi
anātha
anatthāya
anāvase
anāvasena
ānayo
aṇḍa
aṇḍā
ane
āne
ānetaṃ
āneti
anha
anhā
aṇhā
āṇī
anissa
anīti
aṇṇa
aññanti
aññāti
aṇṇe
anūpāyaṃ
āpa
āpā
apanetaṃ
apaṅgena
apassa
apāyaṃ
apayiṃ
ape
āpe
apetaṃ
apete
apettha
āpissa
appa
appe
appo
ara
arā
āra
ārā
araṃ
aramhi
are
āre
ari
arī
ariṃ
āro
arū
asa
asā
āsa
āsā
asaṃ
asanā
asanti
āsanti
asataṃ
ase
āse
asena
asī
āsi
āsī
asiṃ
aso
āso
assanti
assaranti
assasa
assāto
assāyaṃ
asse
assū
assunā
asu
āsu
atigo
atiye
ato
atta
aṭṭā
attaṃ
atte
attena
aṭṭhāna
atthito
ātu
ātū
ātuṃ
āvāhaṃ
avaṃ
avanī
avase
āvase
avasena
avatthu
ave
avetaṃ
aveti
avi
avī
āvi
āvī
aya
ayā
āya
āyā
āyaṃ
āyamhi
ayanti
ayasmā
ayati
āyāti
āyatu
aye
āye
āyena
ayita
āyū
bāhā
bālā
bali
bha
bhā
bhaṃ
bhe
bhu
bhū
bhuṃ
bījā
bila
bilase
byā
cāpa
cari
cāri
cāro
cātu
cāṭu
ceti
ci
cīre
cite
citi
da
dā
dāhaṃ
daka
dakkha
dakkhi
dakkhu
daṃ
dāmā
dānā
dāyi
de
dehī
dento
desa
devarā
dhāti
dhāva
dhi
dhī
dina
dinā
dīnaṃ
dināni
disa
disābhi
disaṃ
disanti
diso
diva
dive
do
dohi
dosābhi
dūri
duti
e
edha
elā
elo
em
ema
ena
enā
enassa
enāyaṃ
ene
eno
esanti
ese
esi
esu
eta
eti
etu
ga
gā
gadante
gaṃ
ge
gha
ghi
gu
ha
hā
haṃ
haṃsu
hanti
hāpe
he
hu
ibhe
iccha
icchi
ida
iha
ima
iṇa
isa
isanti
isataṃ
ise
isi
isī
issa
issanti
ita
itā
itaṃ
ite
ito
ivaṇṇe
ja
jā
jaṃ
jāna
jani
jha
joto
ka
kā
kala
kalā
kaṃ
kāme
kampi
kāni
kanti
kāri
karo
kāyanti
ke
kha
khanto
khantu
khe
khu
ki
kīḷa
kīḷī
kimi
kiñca
kire
kiri
ko
kopi
kva
lāla
lañca
lañce
ma
ma
mā
mābhi
mada
madā
madaṃ
maha
mahaṃ
mahāni
māhi
maṃ
māneti
māni
maññaṃ
maññanti
maññantī
manti
manu
matho
māti
matti
me
mesaṃ
motu
na
nā
ṇa
ṇā
naha
nāha
nāhu
naṃ
ṇaṃ
nametaṃ
namha
nāni
nato
nattha
naṭṭho
nāva
nāyaṃ
ne
ṇe
nesi
netaṃ
nidde
nijā
nīti
niyanti
nīyanti
ñña
no
ṇo
oda
ohanti
oja
okā
opa
opā
opi
opī
osa
osi
otta
ovassanti
pa
pā
pabhavanti
pacchi
pahaṃ
pajāna
pakā
paṃ
panti
pariyāyanti
paṭhaṃ
pāva
pāyaṃ
pe
petaṃ
pete
phalanti
pi
pissaṃ
pīti
po
puṃ
pupphanti
rade
rahaṃ
rājanti
ramāma
ramāmase
raññaṃ
re
riñca
rome
rosanti
ru
sa
sā
sahana
sahe
sahi
sahī
saja
sajā
sajanā
saje
sakā
saṃ
same
sananti
sane
santi
sapa
sapi
saranti
saratā
sasate
sat
sāti
sāti
savo
se
sena
sene
seni
sesi
setaṃ
setu
seva
si
sita
sīti
so
ssa
su
sū
sukhi
sukhī
supa
supi
ta
tā
tama
tamā
tame
tanti
taranti
taso
tāva
taya
tāya
te
ṭha
ṭhā
ṭhāti
ṭhe
theva
thi
ṭho
thunanti
ti
tīha
tipadaṃ
ṭṭhā
tu
tumā
tv
ty
u
uda
udaṃ
uma
umaṃ
ume
ūnā
ura
urā
uru
ūsa
usu
uttaṃ
va
vā
vāhaṃ
vanā
vāpi
vase
vassanti
vatā
vati
vāti
vāyaṃ
vāyanti
ve
vesā
veso
vetaṃ
veti
vidaṃ
vino
vo
ya
yā
yaṃ
yama
yanti
yati
yāti
yāyanti
yāye
yāyi
ye
yito
yu
