mān
ent
ant
tāya
ka
kā
ta
taṃ
āraṃ
ape
anatth
pana
tara
naṃ
taṃ
na
dā
ga
go
hi
nu
āma
tu
yo
ādi
āga
āha
ahu
āhu
aja
api
āpo
are
aru
asi
āyu
cha
dhī
dvi
ehi
eka
ela
esa
esā
eso
ete
eva
icc
iha
imā
ime
iti
iva
taṃ
ādiṃ
ssu
tad
taṃ
umā
utu
yad
vanta
vantaṃ
anati
māno
kena
ānaṃ
yamānaṃ
issā
issati
