pali,class_ource,class_sutta,class_example
attha 2.1,DHP331,nāgavaggo,atthamhi sahāyā
anālaya 1,SN56.11,dhammacakkappavattanasuttaṃ,cāgo paṭinissaggo anālayo
anuttara,SN11.3,dhajaggasuttaṃ,iti'pi so bhagavā arahaṃ sammāsambuddho vijjācaraṇasampanno sugato lokavidū <b>anuttaro</b> purisadammasārathi satthā devamanussānaṃ buddho bhagavā'ti
apara 1,,,aparena samayena buddho
aparena samayena 1,,,aparena samayena buddho
