timestamp,file,line,control,handler,event,ms
2026-09-17T10:23:13.135,gui2/main.py,217,Page,App.on_keyboard,keyboard_event,0.0
2026-09-17T10:23:14.872,gui2/translations_view.py,122,TextField,TranslationsView.search_clicked,submit,1736.3
2026-09-17T10:23:20.874,gui2/main.py,217,Page,App.on_keyboard,keyboard_event,0.0
2026-09-17T10:23:21.433,gui2/main.py,300,Tabs,App._on_tab_activated,click,0.0
2026-09-17T10:23:21.789,gui2/main.py,300,Tabs,App._on_tab_activated,change,38.2
2026-09-17T10:23:22.753,gui2/main.py,217,Page,App.on_keyboard,keyboard_event,0.0
2026-09-17T10:23:23.581,gui2/main.py,217,Page,App.on_keyboard,keyboard_event,0.0
2026-09-17T10:23:23.619,gui2/dpd_fields.py,733,DpdTextField,DpdFields.id_submit,submit,36.6
2026-09-17T10:23:24.209,gui2/main.py,217,Page,App.on_keyboard,keyboard_event,0.0
2026-09-17T10:23:24.780,gui2/dpd_fields.py,740,DpdTextField,DpdFields.lemma_1_change,blur,36.3
2026-09-17T10:23:24.854,gui2/dpd_fields.py,804,DpdTextField,DpdFields.lemma_2_blur,blur,52.6
2026-09-17T10:23:24.939,gui2/dpd_fields.py,824,DpdDropdown,DpdFields.pos_blur,blur,77.3
2026-09-17T10:23:24.952,gui2/dpd_fields.py,865,DpdTextField,DpdFields.grammar_blur,blur,0.0
2026-09-17T10:23:25.461,gui2/main.py,217,Page,App.on_keyboard,keyboard_event,0.0
2026-09-17T10:23:25.866,gui2/main.py,217,Page,App.on_keyboard,keyboard_event,0.0
2026-09-17T10:23:26.083,gui2/main.py,217,Page,App.on_keyboard,keyboard_event,0.0
2026-09-17T10:23:26.301,gui2/main.py,217,Page,App.on_keyboard,keyboard_event,0.0
2026-09-17T10:23:26.303,gui2/dpd_fields.py,885,DpdDropdown,DpdFields.trans_blur,blur,0.0
2026-09-17T10:23:26.497,gui2/main.py,217,Page,App.on_keyboard,keyboard_event,0.0
2026-09-17T10:23:26.688,gui2/main.py,217,Page,App.on_keyboard,keyboard_event,0.0
