ābādhatīti
ābādhatopi
ābādhayethāti
ābādhayitthāti
ābādhenapi
ābādhoti
abalassaṃva
abandhananti
abandhanāti
abandhanoti
abbhācikkhantīti
abbhācikkhimhāti
abbhāhatuḍḍito
abbhakkhānañca
abbhamattaṃva
abbhāmattaṃva
abbhānanti
abbhañca
abbhaññāsinti
abbhaññiṃsūti
abbhantaramassa
abbhanujānātīti
abbheyyāti
abbhokāsagatopi
abbhokāsetināmayi
abbhokāsikopi
abbhokāsova
abbhudāhāsīti
abbhuggacchatīti
abbhutadhammabākulaṃ
abbhutadhammāti
abbhutagāmiñca
abbhutamidaṃ
abbhutañca
abbhutañcāti
abbhuyyāsīti
abbhuyyātoti
abbohārikanti
abbohārikāti
abbuḷhanti
abbūḷhasallāhaṃ
abhabbābhāsanti
abhabbaṭṭhānānīti
abhabbāva
abhabboti
abhabbova
ābhānānattañca
ābhāpi
abhāsinti
abhāsīti
abhāsitthāti
ābhassarādīhi
ābhassarānampi
ābhatāti
abhavenassa
abhavissāti
abhāvitattātissa
abhayanti
abhayaparittaṃ
abhayappattoti
abhayūparatohamasmi
abhejjāssa
abhibhāyatanañhetaṃ
abhibhāyatanānīti
abhibhūtametaṃ
abhidoti
abhigajjameti
abhigajjantiva
abhihārañca
abhiharīyatīti
abhijānāmīti
abhijappādhikaraṇañca
abhijappāti
abhijikañca
abhijjhādomanassanti
abhijjhālunopi
abhijjhampāhaṃ
abhijjhañcāhaṃ
abhijjhāpi
abhijjhāti
ābhijjikañca
abhikkamaneneva
abhikkamapaṭikkamassetaṃ
abhikkamasseva
abhikkamathāyasmanto
abhikkamatipi
abhikkamatīti
abhikkamāvuso
abhikkamayeva
abhikkamoti
abhikkantatarañca
abhikkanteti
abhikkhaṇampi
abhinandanamaṭṭhamaṃ
abhinandañca
abhinandīti
abhinandunti
abhinanduntivākyaṃ
abhinetipi
abhiṇhamupadissare
abhiṇhapaccavekkhaṇapāṭhaṃ
abhinibbajjayātha
abhinibbattissathāti
abhinibbhijjeyyunti
abhinīhāramūlakaṃ
abhinimanteyyāmapi
abhinimmināhīti
abhinimmineyyāmāti
abhinipajjantipīti
abhinipajjatipi
abhinipajjatipīti
abhinipajjeyyāti
abhinipajjissantipi
abhinipajjissantipīti
abhinipajjissatipi
abhinipajjissatipīti
abhinipajjitunti
abhinippīḷesīti
abhinisīdantipi
abhinisīdasīti
abhinisīdatipi
abhinisīdeyyāti
abhinisīdissantipi
abhinisīdissatipi
abhinisīdissatīti
abhinisīditunti
abhinivesañca
abhinivesāyāti
ābhiñjikañca
abhiññātāti
abhiññatthañceva
abhiññāyāhaṃ
abhiññeyyapariññeyyaṃ
abhiññeyyoti
abhipatthayanti
abhipatthitanti
abhipatthitāti
abhippasannoti
abhippasīdissatīti
abhippavuṭṭhoti
abhiramāmīti
abhiramantīti
abhiramatāyasmā
abhiramatīti
abhiramāyye
abhirameyyāmahaṃ
abhirameyyañcāhaṃ
abhiramissāmahaṃ
abhiramissatīti
abhiramīti
abhiratīti
abhiratiyāti
abhiruhāmāti
abhiruhāmāyya
abhiruhathāti
abhiruhāti
abhiruhissāmīti
abhiruhissantīti
abhisajjitunti
ābhisamācārikampi
ābhisamācārikatatiyavāro
ābhisamācārikopi
abhisambuddhāti
abhisambuddhoti
abhisambuddhotipi
abhisamessasīti
abhisamitoti
abhisamparāyañca
abhisamparāyañcāti
abhisamparāyanti
abhisamparāyoti
abhisandantova
abhisandentova
abhisaṅgīti
abhisaṅkhareyyanti
abhisaṅkhareyyāti
abhisantāpeyyanti
abhisapāmāti
abhisapatīti
abhisapissatīti
abhisāpoyaṃ
abhisattova
abhisiñceyyunti
abhisiñcissāmīti
abhisiñcissantīti
abhisittāti
abhisittoti
abhitthaveyyanti
abhiuyyāsīti
abhivādanapaccuṭṭhānaañjalikammasāmīcikammacīvarapiṇḍapātasenāsanagilānapaccayabhesajjaparikkhārānuppadānenāti
abhivādanapaccuṭṭhānaañjalikammasāmīcikammānīti
abhivaḍḍhaṃva
abhivaḍḍhantīti
abhivaḍḍheyyunti
abhivādentīti
abhivādeyyāmapi
abhivaggenapi
abhivassatīti
abhivaṭṭaṃva
abhivaṭṭhaṃva
abhivissatthoti
abhivuṭṭhaṃva
abhiyaṃsveva
abhiyanteva
abhiyuñjissatīti
abhogavāva
abhogova
abhuñjahaṃ
abhūtanti
abhūtavacanañca
abhūtavādītipi
abhūtenāti
abhūtenāyasmā
abrahmacārinīti
abrahmacārinoti
abrahmacariyanti
abrahmacariyavāsāti
abrahmacariyavāsāva
abrāhmaṇanti
abrāhmaṇāva
abrāhmaṇimpi
abrāhmaṇinti
abyābajjhagāmiñca
abyābajjhampi
abyābajjhaṃyeva
abyābajjhañca
abyābajjhaparamāhaṃ
abyābajjhaparamatāyāti
abyābajjhāpi
abyābajjhāti
abyābajjhehipi
abyākatameva
abyākatañca
abyākatanti
abyākatavatthūsūti
abyāpādañce
abyāpādavitakkampi
abyāpādavitakkañce
abyāpādoti
abyāpajjādhimuttoti
abyāpajjhagāmiñca
abyāpajjhañca
abyāpajjhaparamatāyāti
abyāpannacittāpi
abyattoti
acalāti
ācāmabhakkhāpi
ācāmabhakkhopi
ācamanakumbhinti
ācamanapādukanti
ācamanasarāvakanti
ācamehīti
ācāmehīti
ācametuṃ
acārihaṃ
acarimhāti
acarinti
ācarissantīti
ācarissatīti
acarīti
ācariyabhariyāti
ācariyadhananti
ācariyamahayugāpi
ācariyampi
ācariyāti
ācariyehīti
ācariyoti
ācariyupajjhāyavattādīni
ācariyūpakārā
acavanadhammaṃyeva
acavanadhammanti
ācayagāmiñca
ācayopi
accaṅkusova
accantapariyosānāti
accantasuddhīti
accāraddhavīriyādhikaraṇañca
