index	chA	chB	ch1	ch2	eg	weight
142	h	u	hu	a	vatthu'jjhācārā	3
143	h	ū	hū	e	bhikkhū'va	3
144	h	ū	hu	i	sampannatth'ūdha	3
145	h	ū	hu	u	bahūpāyāsā	3
146	ī	p	ī	ap	bhaginīpi	3
147	i	p	i	ap	tīṇipi	2
148	ī	t	i	it	hotīti	3
149	ī	t	ī	it	suppaṭinissaggīti	3
150	ī	v	ī	ev	añjanīva	3
151	i	y	i		ti'y'aggaḷā	4
152	ī	y	ī		ussoḷhī'y'eva	4
153	j	ā	ja	a	ajjāhaṃ	3
154	j	a	ja	a	bhesajj'atthañca	4
155	j	ā	jā	ā	kasivaṇijjādīni	3
156	j	ā	jā	a	rājāhaṃ	3
157	j	ā	ja	ā	samajjādi	3
158	j	ā	jā	i	rājātiādimāha	3
159	j	a	jiṃ	a	bhuñj'ahaṃ	3
160	j	e	ja	e	ajjekadivasaṃ	3
161	j	ī	ja	i	rāj'īsayo	3
162	j	i	ji	a	nikūji'haṃ	3
163	j	ī	jī	a	sabbajīsmīti	3
164	j	j		j	rūpa'j'jhāne	4
165	j	j	j		yatasaṅkappa'j'jhāyīti	3
166	j	o	jo	a	suddhasaṅkhārapuñjo'yaṃ	3
167	j	ū	ja	u	bījūpamena	3
168	k	ā	kā	a	ārakāssa	3
169	k	ā	ka	ā	orabbhikādīsu	3
170	k	a	kā	a	padak'asma	4
171	k	ā	kā	ā	pāduk'āruyha	3
172	k	a	ka	a	sakalik'aggi	4
173	k	ā	ka	a	savitakk'āvitakka	3
174	k	ā	ka	i	ajanakāti	3
175	k	ā	kā	i	gaṇikā'va	3
176	k	i	ka	i	jeṭṭhakitthiyo	3
177	k	ī	kī	i	kikīva	3
178	k	k		k	citta'k'khaṇiko	4
179	k	k	k		upadhi'k'khayaṃ	3
180	k	o	ka	o	ek'obhāsajāto	3
181	k	o	ko	a	ekomhi	3
182	k	o	ko	u	pāṭik'odumbarīceva	3
183	k	u	ka	u	ekucchaṅgena	3
184	k	ū	ka	u	khajjopanakūpamā	3
185	k	y	ke	a	ky'assa	3
186	l	ā	lā	a	abbūḷhasall'āhaṃ	3
187	l	a	la	a	cel'aṇḍakena	4
188	ḷ	a	ḷa	a	cūḷ'antevāsikassa	4
189	l	ā	la	ā	kālādīsu	3
190	ḷ	ā	ḷa	a	kīḷāvasāne	3
191	ḷ	ā	ḷa	ā	naḷādayo	3
192	l	ā	la	a	sīlālaṅkāra	3
193	l	ā	la	i	sīlāti	3
194	l	ā	le	ā	phal'āsāva	4
195	l	i	la	i	avikalindriyaṃ	3
196	l	ī	lī	i	kalī'va	3
197	l	o	la	o	cūḷarāhulovāde	3
198	ḷ	o	ḷa	u	guḷ'odaka	3
199	l	o	la	u	musal'odukkhalena	3
200	ḷ	o	ḷo	a	jaḷosi	3
201	l	o	lo	a	kallosi	3
202	l	o	lo	i	akhilo'dha	3
203	l	o	lo	u	musal'odukkhalena	3
204	l	u	la	u	bāl'ussannāya	3
205	l	ū	la	u	phal'ūpapannaṃ	3
206	l	ū	lū	a	anabhijjhālūhamasmi	3
207	m	a		a	bālena'm'avijānatā	4
208	m	ā		ā	vihāramidha'm'āhu	4
209	m	a	ṃ	a	aham'asmi	2
210	m	ā	ṃ	a	sakimābhinandī	3
211	m	ā	ṃ	ā	sāvakamāsajja	3
212	m	ā	mā	ā	āyāmāvuso	3
213	m	a	mā	a	brahm'ajjadiṭṭho	3
214	m	ā	ma	ā	kammānubhāvena	3
215	m	ā	mā	a	mābhinandi	3
216	m	ā	ma	a	mamānucchavikaṃ	3
217	m	a	ma	a	mam'assa	4
218	m	a	ma	e	mama'sā	3
219	m	ā	mā	e	metaṃ	3
220	m	ā	ma	i	carāmāti	3
221	m	a	ma	i	mamedaṃ	3
222	m	a	maṃ	a	cittassūpasam'ajjhagaṃ	3
223	m	ā	maṃ	a	khem'ābhipassaṃ	3
224	m	ā	me	a	māyaṃ	3
225	m	a	mi	a	abhijānāmahaṃ	3
226	m	a	mo	a	pañcam'atthi	3
227	m	b	ṃ	b	garumbhāraṃ	3
228	ṃ	d		d	yassa'ṃ'disaṃ	4
229	m	e		e	idheva'm'eso	4
230	m	e	ṃ	e	viññāṇakasiṇameko	3
231	m	e	mā	e	metamāsado	3
232	m	e	ma	e	nāmesa	3
233	m	e	ma	i	mamedaṃ	3
234	m	e	me	a	me'si	3
235	m	e	me	e	metaṃ	3
236	m	e	me	i	imeti	3
237	m	e	mi	e	imināvārahām'evāhaṃ	3
238	ṃ	h	ṃ	ah	yasmiṃ'haṃ	3
239	m	h	ṃ	h	ahuvamhi	3
240	m	i		i	midhekacce	4
241	m	ī	ṃ	ī	evamīdisesu	3
242	m	i	ṃ	i	suññamidaṃ	3
243	m	i	ma	i	nāmime	3
