index	chA	chB	ch1	ch2	eg	weight
584	y	o	yo	i	tayo'me	3
585	y	ū	aṃ	u	kukkucciy'ūpachinde	3
586	y	u	ya	u	ācariy'upajjhāyānaṃ	3
587	y	ū	yā	u	chāy'ūdaka	3
588	r	a		a	dhi'r'atthumaṃ	4
589	h	u	hu	i	dhiratthu'maṃ	3
590	p	i	pa	i	catuddīp'issaro	3
591	p	o	pa	o	dīp'obhāsopi	3
592	m	o	ma	o	jalitabyām'obhāsaṃ	3
593	t	o	ta	u	paritt'odakassa	3
594	r	o	ra	u	yugandhar'oditaṃ	3
595	h	a	haṃ	a	kath'ajja	3
596	h	o	ho	e	ubho'tthamaparājitāti	3
597	ṇ	o	ṇa	o	pasāraṇ'okāsaṃ	3
598	ñ	i	ñe	i	maññ'idaṃ	3
599	s	u	si	u	maṃsapes'upamā	3
600	s	ū	si	u	maṃsapes'ūpamā	3
601	j	u	jā	u	pabbajj'upasampadā	3
602	t	i	tu	i	dhāt'indriyāni	3
603	t	ī	tu	ī	dhāt'īritā	3
604	t	ū	tu	ū	dhīt'ūrū	3
605	n	ī	ni	ī	bhikkhun'īritaṃ	3
606	n	ū	nī	ū	rājīn'ūrū	3
